사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,장항선,배방,7434,7058,7434,7058
202001,장항선,봉명,6613,6311,6613,6311
202001,장항선,신창,8991,8059,8991,8059
202001,장항선,쌍용,12167,11442,12167,11442
202001,장항선,아산,21752,17977,21752,17977
202001,장항선,온양온천,42584,42196,42584,42196
202002,장항선,배방,5782,5743,5782,5743
202002,장항선,봉명,5033,4792,5033,4792
202002,장항선,신창,5803,6093,5803,6093
202002,장항선,쌍용,9615,8999,9615,8999
202002,장항선,아산,16988,14728,16988,14728
202002,장항선,온양온천,25352,25872,25352,25872
202003,장항선,배방,3930,4109,3930,4109
202003,장항선,봉명,3573,3412,3573,3412
202003,장항선,신창,4320,4677,4320,4677
202003,장항선,쌍용,6384,5938,6384,5938
202003,장항선,아산,10116,8946,10116,8946
202003,장항선,온양온천,16183,16487,16183,16487
202004,장항선,배방,4792,4836,4792,4836
202004,장항선,봉명,3963,3855,3963,3855
202004,장항선,신창,5618,6132,5618,6132
202004,장항선,쌍용,7703,7186,7703,7186
202004,장항선,아산,12838,11248,12838,11248
202004,장항선,온양온천,19832,20369,19832,20369
202005,장항선,배방,7674,7811,7674,7811
202005,장항선,봉명,5818,5722,5818,5722
202005,장항선,신창,8939,10161,8939,10161
202005,장항선,쌍용,12019,11468,12019,11468
202005,장항선,아산,21563,18111,21563,18111
202005,장항선,온양온천,31712,31745,31712,31745
202006,장항선,배방,6426,6632,6426,6632
202006,장항선,봉명,4814,4623,4814,4623
202006,장항선,신창,7883,8818,7883,8818
202006,장항선,쌍용,9659,9264,9659,9264
202006,장항선,아산,18683,15822,18683,15822
202006,장항선,온양온천,24903,25097,24903,25097
202007,장항선,배방,6493,6765,6493,6765
202007,장항선,봉명,5169,4987,5169,4987
202007,장항선,신창,7448,7777,7448,7777
202007,장항선,쌍용,9804,9536,9804,9536
202007,장항선,아산,18871,16051,18871,16051
202007,장항선,온양온천,27300,27200,27300,27200
202008,장항선,배방,6430,6586,6430,6586
202008,장항선,봉명,4970,4976,4970,4976
202008,장항선,신창,7364,7616,7364,7616
202008,장항선,쌍용,9600,9055,9600,9055
202008,장항선,아산,19319,16956,19319,16956
202008,장항선,온양온천,26833,27239,26833,27239
202009,장항선,배방,5312,5512,5312,5512
202009,장항선,봉명,3793,3577,3793,3577
202009,장항선,신창,6709,7073,6709,7073
202009,장항선,쌍용,7894,7652,7894,7652
202009,장항선,아산,14580,12815,14580,12815
202009,장항선,온양온천,20621,20809,20621,20809
202010,장항선,배방,7347,7603,7347,7603
202010,장항선,봉명,5177,5083,5177,5083
202010,장항선,신창,9466,10634,9466,10634
202010,장항선,쌍용,10758,10773,10758,10773
202010,장항선,아산,22401,18383,22401,18383
202010,장항선,온양온천,31299,30804,31299,30804
202011,장항선,배방,6778,7042,6778,7042
202011,장항선,봉명,4989,4924,4989,4924
202011,장항선,신창,8530,10707,8530,10707
202011,장항선,쌍용,10601,10165,10601,10165
202011,장항선,아산,22270,18235,22270,18235
202011,장항선,온양온천,28365,29066,28365,29066
202012,장항선,배방,4420,4601,4420,4601
202012,장항선,봉명,3634,3477,3634,3477
202012,장항선,신창,5535,5592,5535,5592
202012,장항선,쌍용,6892,6581,6892,6581
202012,장항선,아산,13630,11450,13630,11450
202012,장항선,온양온천,18167,18691,18167,18691
