사용월,호선명,지하철역,승차총승객수,하차총승객수
202001,1호선,동대문,299826,319224
202001,1호선,동묘앞,201491,210572
202001,1호선,서울역,1304813,1218162
202001,1호선,시청,600933,608809
202001,1호선,신설동,359967,350250
202001,1호선,제기동,474037,488424
202001,1호선,종각,1045122,1008975
202001,1호선,종로3가,778142,739750
202001,1호선,종로5가,618605,616001
202001,1호선,청량리,556636,565090
202002,1호선,동대문,223137,225554
202002,1호선,동묘앞,140296,147438
202002,1호선,서울역,918283,868745
202002,1호선,시청,481149,486640
202002,1호선,신설동,297053,290231
202002,1호선,제기동,323760,327021
202002,1호선,종각,831756,809981
202002,1호선,종로3가,562143,532330
202002,1호선,종로5가,457195,457731
202002,1호선,청량리,398713,397476
202003,1호선,동대문,198267,194298
202003,1호선,동묘앞,133799,140711
202003,1호선,서울역,692093,655058
202003,1호선,시청,394219,401549
202003,1호선,신설동,262554,257892
202003,1호선,제기동,290964,297209
202003,1호선,종각,660371,649148
202003,1호선,종로3가,456009,430887
202003,1호선,종로5가,398961,402752
202003,1호선,청량리,358246,355188
202004,1호선,동대문,222773,224822
202004,1호선,동묘앞,158332,168711
202004,1호선,서울역,772932,741557
202004,1호선,시청,390004,391334
202004,1호선,신설동,277479,273758
202004,1호선,제기동,334466,341985
202004,1호선,종각,708351,690543
202004,1호선,종로3가,508765,480773
202004,1호선,종로5가,436526,438179
202004,1호선,청량리,400670,398342
202005,1호선,동대문,238577,244287
202005,1호선,동묘앞,166989,176439
202005,1호선,서울역,847721,802861
202005,1호선,시청,411915,414055
202005,1호선,신설동,290484,288655
202005,1호선,제기동,346296,354975
202005,1호선,종각,743303,726140
202005,1호선,종로3가,541002,507273
202005,1호선,종로5가,470629,471107
202005,1호선,청량리,420707,419087
202006,1호선,동대문,247393,252113
202006,1호선,동묘앞,170081,179344
202006,1호선,서울역,929658,886086
202006,1호선,시청,461629,469420
202006,1호선,신설동,319925,317949
202006,1호선,제기동,354459,362931
202006,1호선,종각,837445,825978
202006,1호선,종로3가,566429,529367
202006,1호선,종로5가,493771,495426
202006,1호선,청량리,443973,441736
202007,1호선,동대문,259005,264901
202007,1호선,동묘앞,176041,185287
202007,1호선,서울역,1014076,973305
202007,1호선,시청,494934,507346
202007,1호선,신설동,331684,329159
202007,1호선,제기동,375694,383744
202007,1호선,종각,918718,906271
202007,1호선,종로3가,638721,601192
202007,1호선,종로5가,529093,534404
202007,1호선,청량리,471395,467474
202008,1호선,동대문,201447,202438
202008,1호선,동묘앞,136135,142064
202008,1호선,서울역,797065,757793
202008,1호선,시청,387806,388401
202008,1호선,신설동,256217,254153
202008,1호선,제기동,307209,314634
202008,1호선,종각,693096,681866
202008,1호선,종로3가,484019,454164
202008,1호선,종로5가,407125,409532
202008,1호선,청량리,383865,380733
202009,1호선,동대문,217104,215392
202009,1호선,동묘앞,153674,159371
202009,1호선,서울역,722519,704509
202009,1호선,시청,383633,381945
202009,1호선,신설동,266422,263792
202009,1호선,제기동,357357,371458
202009,1호선,종각,617491,606122
202009,1호선,종로3가,441557,406031
202009,1호선,종로5가,418251,414934
202009,1호선,청량리,412710,413957
202010,1호선,동대문,239480,244649
202010,1호선,동묘앞,177698,185719
202010,1호선,서울역,858336,812351
202010,1호선,시청,424087,430121
202010,1호선,신설동,290773,289651
202010,1호선,제기동,367132,375856
202010,1호선,종각,726583,718981
202010,1호선,종로3가,516644,476747
202010,1호선,종로5가,450988,454459
202010,1호선,청량리,430684,428864
202011,1호선,동대문,233880,234652
202011,1호선,동묘앞,163074,170382
202011,1호선,서울역,897558,852595
202011,1호선,시청,458261,460089
202011,1호선,신설동,297410,282781
202011,1호선,제기동,363876,369772
202011,1호선,종각,765207,745692
202011,1호선,종로3가,525837,485472
202011,1호선,종로5가,449830,448896
202011,1호선,청량리,426946,425926
202012,1호선,동대문,206002,195230
202012,1호선,동묘앞,144558,149459
202012,1호선,서울역,717701,680103
202012,1호선,시청,388966,385181
202012,1호선,신설동,263646,259628
202012,1호선,제기동,318117,325047
202012,1호선,종각,603136,580805
202012,1호선,종로3가,415710,379336
202012,1호선,종로5가,404810,401065
202012,1호선,청량리,378352,378707
