사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,4호선,길음,513646,486241,513646,486241
202001,4호선,남태령,30809,26813,30809,26813
202001,4호선,노원,506842,579059,506842,579059
202001,4호선,당고개,301886,277381,301886,277381
202001,4호선,동대문,518765,530143,518765,530143
202001,4호선,동대문역사문화공원,482662,434620,482662,434620
202001,4호선,동작,53308,55895,53308,55895
202001,4호선,명동,759624,810893,759624,810893
202001,4호선,미아,377472,356289,377472,356289
202001,4호선,미아사거리,704566,686030,704566,686030
202001,4호선,사당,655061,558795,655061,558795
202001,4호선,삼각지,117370,133084,117370,133084
202001,4호선,상계,477178,429832,477178,429832
202001,4호선,서울역,326890,536875,326890,536875
202001,4호선,성신여대입구,524748,503542,524748,503542
202001,4호선,수유,865516,863493,865516,863493
202001,4호선,숙대입구,336631,331453,336631,331453
202001,4호선,신용산,404305,421051,404305,421051
202001,4호선,쌍문,751803,678380,751803,678380
202001,4호선,이촌,199700,217851,199700,217851
202001,4호선,창동,667463,710646,667463,710646
202001,4호선,총신대입구,500640,548668,500640,548668
202001,4호선,충무로,711240,728896,711240,728896
202001,4호선,한성대입구,333381,320890,333381,320890
202001,4호선,혜화,880249,897819,880249,897819
202001,4호선,회현,656581,698634,656581,698634
202002,4호선,길음,411451,392812,411451,392812
202002,4호선,남태령,23615,20587,23615,20587
202002,4호선,노원,406997,463235,406997,463235
202002,4호선,당고개,248045,228565,248045,228565
202002,4호선,동대문,412338,426701,412338,426701
202002,4호선,동대문역사문화공원,356182,330475,356182,330475
202002,4호선,동작,41846,43570,41846,43570
202002,4호선,명동,509254,537616,509254,537616
202002,4호선,미아,312086,296066,312086,296066
202002,4호선,미아사거리,573806,558504,573806,558504
202002,4호선,사당,516822,436097,516822,436097
202002,4호선,삼각지,99348,109263,99348,109263
202002,4호선,상계,392802,355718,392802,355718
202002,4호선,서울역,266935,375582,266935,375582
202002,4호선,성신여대입구,398725,379571,398725,379571
202002,4호선,수유,715309,715189,715309,715189
202002,4호선,숙대입구,274906,272584,274906,272584
202002,4호선,신용산,323822,336859,323822,336859
202002,4호선,쌍문,624232,567112,624232,567112
202002,4호선,이촌,138971,155619,138971,155619
202002,4호선,창동,534288,568727,534288,568727
202002,4호선,총신대입구,398738,437871,398738,437871
202002,4호선,충무로,590308,607838,590308,607838
202002,4호선,한성대입구,267743,258025,267743,258025
202002,4호선,혜화,635608,648414,635608,648414
202002,4호선,회현,489143,521294,489143,521294
202003,4호선,길음,362209,345129,362209,345129
202003,4호선,남태령,17688,15000,17688,15000
202003,4호선,노원,350413,397270,350413,397270
202003,4호선,당고개,227090,209580,227090,209580
202003,4호선,동대문,379935,393599,379935,393599
202003,4호선,동대문역사문화공원,279923,265611,279923,265611
202003,4호선,동작,41671,43526,41671,43526
202003,4호선,명동,306701,318723,306701,318723
202003,4호선,미아,284857,273538,284857,273538
202003,4호선,미아사거리,519516,506150,519516,506150
202003,4호선,사당,439544,371093,439544,371093
202003,4호선,삼각지,87025,93668,87025,93668
202003,4호선,상계,359074,328855,359074,328855
202003,4호선,서울역,207333,253217,207333,253217
202003,4호선,성신여대입구,354113,338651,354113,338651
202003,4호선,수유,656794,655776,656794,655776
202003,4호선,숙대입구,235839,233519,235839,233519
202003,4호선,신용산,277465,290078,277465,290078
202003,4호선,쌍문,573346,522786,573346,522786
202003,4호선,이촌,108757,125970,108757,125970
202003,4호선,창동,480878,514226,480878,514226
202003,4호선,총신대입구,341097,376618,341097,376618
202003,4호선,충무로,515559,535618,515559,535618
202003,4호선,한성대입구,235481,229291,235481,229291
202003,4호선,혜화,495676,502675,495676,502675
202003,4호선,회현,414022,442774,414022,442774
202004,4호선,길음,382909,360560,382909,360560
202004,4호선,남태령,20442,17211,20442,17211
202004,4호선,노원,374708,426938,374708,426938
202004,4호선,당고개,240711,220759,240711,220759
202004,4호선,동대문,414123,424893,414123,424893
202004,4호선,동대문역사문화공원,290418,275304,290418,275304
202004,4호선,동작,49083,51262,49083,51262
202004,4호선,명동,316329,333479,316329,333479
202004,4호선,미아,297515,283872,297515,283872
202004,4호선,미아사거리,548399,531594,548399,531594
202004,4호선,사당,476071,405327,476071,405327
202004,4호선,삼각지,89363,98089,89363,98089
202004,4호선,상계,376226,340776,376226,340776
202004,4호선,서울역,219050,289931,219050,289931
202004,4호선,성신여대입구,377673,360648,377673,360648
202004,4호선,수유,681403,675583,681403,675583
202004,4호선,숙대입구,246771,244793,246771,244793
202004,4호선,신용산,290114,304395,290114,304395
202004,4호선,쌍문,597600,535127,597600,535127
202004,4호선,이촌,119050,135629,119050,135629
202004,4호선,창동,505241,535060,505241,535060
202004,4호선,총신대입구,369012,404521,369012,404521
202004,4호선,충무로,515411,540769,515411,540769
202004,4호선,한성대입구,249640,246650,249640,246650
202004,4호선,혜화,540687,551397,540687,551397
202004,4호선,회현,451880,485346,451880,485346
202005,4호선,길음,400027,381008,400027,381008
202005,4호선,남태령,22723,19615,22723,19615
202005,4호선,노원,388584,442780,388584,442780
202005,4호선,당고개,250823,229313,250823,229313
202005,4호선,동대문,436743,441663,436743,441663
202005,4호선,동대문역사문화공원,300271,282174,300271,282174
202005,4호선,동작,52956,55304,52956,55304
202005,4호선,명동,339916,358594,339916,358594
202005,4호선,미아,307694,294813,307694,294813
202005,4호선,미아사거리,568535,554615,568535,554615
202005,4호선,사당,496057,424261,496057,424261
202005,4호선,삼각지,91749,100388,91749,100388
202005,4호선,상계,388068,352266,388068,352266
202005,4호선,서울역,221817,307125,221817,307125
202005,4호선,성신여대입구,397362,381834,397362,381834
202005,4호선,수유,690927,682867,690927,682867
202005,4호선,숙대입구,258306,253903,258306,253903
202005,4호선,신용산,301631,313495,301631,313495
202005,4호선,쌍문,604636,545169,604636,545169
202005,4호선,이촌,134345,153816,134345,153816
202005,4호선,창동,530474,563636,530474,563636
202005,4호선,총신대입구,388516,427393,388516,427393
202005,4호선,충무로,527255,549889,527255,549889
202005,4호선,한성대입구,264318,261185,264318,261185
202005,4호선,혜화,591108,601646,591108,601646
