사용월,호선명,지하철역,승차총승객수,하차총승객수
202001,경강선,경기광주,166494,156532
202001,경강선,곤지암,46283,44723
202001,경강선,부발,43313,38799
202001,경강선,삼동,53490,46672
202001,경강선,세종대왕릉,6712,6588
202001,경강선,신둔도예촌,27113,24960
202001,경강선,여주,44443,44557
202001,경강선,이매,25945,21951
202001,경강선,이천,62266,66348
202001,경강선,초월,63308,60121
202001,경강선,판교,106825,105272
202002,경강선,경기광주,133725,126797
202002,경강선,곤지암,34075,32949
202002,경강선,부발,31747,28669
202002,경강선,삼동,45870,40766
202002,경강선,세종대왕릉,4662,4423
202002,경강선,신둔도예촌,20665,19048
202002,경강선,여주,31200,31314
202002,경강선,이매,20275,17752
202002,경강선,이천,44949,47558
202002,경강선,초월,50966,48972
202002,경강선,판교,89550,87824
202003,경강선,경기광주,112151,106680
202003,경강선,곤지암,28757,28523
202003,경강선,부발,27313,25011
202003,경강선,삼동,38248,35004
202003,경강선,세종대왕릉,4195,4026
202003,경강선,신둔도예촌,17153,16148
202003,경강선,여주,25027,25171
202003,경강선,이매,15992,13587
202003,경강선,이천,36737,38951
202003,경강선,초월,43158,42965
202003,경강선,판교,71115,68384
202004,경강선,경기광주,125265,118182
202004,경강선,곤지암,33448,33035
202004,경강선,부발,32809,29287
202004,경강선,삼동,41559,36891
202004,경강선,세종대왕릉,5169,5173
202004,경강선,신둔도예촌,19580,18238
202004,경강선,여주,31549,32724
202004,경강선,이매,18757,15901
202004,경강선,이천,42406,45311
202004,경강선,초월,49457,47695
202004,경강선,판교,77851,75604
202005,경강선,경기광주,134646,128000
202005,경강선,곤지암,37757,37288
202005,경강선,부발,33827,31210
202005,경강선,삼동,43483,39206
202005,경강선,세종대왕릉,5628,5598
202005,경강선,신둔도예촌,21303,19645
202005,경강선,여주,37167,37193
202005,경강선,이매,21315,17773
202005,경강선,이천,46898,49603
202005,경강선,초월,52970,50691
202005,경강선,판교,82656,80100
202006,경강선,경기광주,150478,143253
202006,경강선,곤지암,44971,43570
202006,경강선,부발,36475,32934
202006,경강선,삼동,50076,45266
202006,경강선,세종대왕릉,5813,5777
202006,경강선,신둔도예촌,23828,21941
202006,경강선,여주,41687,41589
202006,경강선,이매,23999,20527
202006,경강선,이천,48255,51102
202006,경강선,초월,59375,57304
202006,경강선,판교,95343,93141
202007,경강선,경기광주,162553,152469
202007,경강선,곤지암,46222,44967
202007,경강선,부발,38961,35216
202007,경강선,삼동,53934,48160
202007,경강선,세종대왕릉,6141,6041
202007,경강선,신둔도예촌,25609,23517
202007,경강선,여주,45807,45265
202007,경강선,이매,25443,21771
202007,경강선,이천,52485,55262
202007,경강선,초월,63990,60667
202007,경강선,판교,103328,102101
202008,경강선,경기광주,127327,120455
202008,경강선,곤지암,34492,34159
202008,경강선,부발,27444,25420
202008,경강선,삼동,42492,38449
202008,경강선,세종대왕릉,4286,4148
202008,경강선,신둔도예촌,25666,25252
202008,경강선,여주,27991,28659
202008,경강선,이매,18983,16724
202008,경강선,이천,36844,38910
202008,경강선,초월,51730,49720
202008,경강선,판교,80212,78944
202009,경강선,경기광주,127124,121834
202009,경강선,곤지암,36824,37026
202009,경강선,부발,32389,29031
202009,경강선,삼동,42143,38052
202009,경강선,세종대왕릉,4926,5092
202009,경강선,신둔도예촌,20253,19240
202009,경강선,여주,30211,32437
202009,경강선,이매,18990,16320
202009,경강선,이천,41122,43894
202009,경강선,초월,53638,51863
202009,경강선,판교,76927,74683
202010,경강선,경기광주,144539,136129
202010,경강선,곤지암,48180,47633
202010,경강선,부발,38044,35029
202010,경강선,삼동,48427,43049
202010,경강선,세종대왕릉,6378,6564
202010,경강선,신둔도예촌,25705,23617
202010,경강선,여주,45816,44615
202010,경강선,이매,22965,20103
202010,경강선,이천,50095,52934
202010,경강선,초월,61619,58052
202010,경강선,판교,88944,87713
202011,경강선,경기광주,147102,139329
202011,경강선,곤지암,48190,46982
202011,경강선,부발,39409,36038
202011,경강선,삼동,49966,44523
202011,경강선,세종대왕릉,5601,5536
202011,경강선,신둔도예촌,27140,24632
202011,경강선,여주,45513,44796
202011,경강선,이매,23191,20549
202011,경강선,이천,48708,51977
202011,경강선,초월,63126,60461
202011,경강선,판교,94382,92404
202012,경강선,경기광주,123003,119059
202012,경강선,곤지암,36598,35658
202012,경강선,부발,33063,29011
202012,경강선,삼동,42098,39410
202012,경강선,세종대왕릉,4412,4263
202012,경강선,신둔도예촌,20344,19428
202012,경강선,여주,28101,29131
202012,경강선,이매,17926,15744
202012,경강선,이천,39954,42279
202012,경강선,초월,53646,52669
202012,경강선,판교,78719,75081
