사용월,호선명,지하철역,승차총승객수,하차총승객수
202001,경부선,가산디지털단지,427860,495041
202001,경부선,관악,183861,168676
202001,경부선,광명,74887,57522
202001,경부선,구로,441605,448732
202001,경부선,군포,173294,169118
202001,경부선,금정,624026,640714
202001,경부선,금천구청,284830,274854
202001,경부선,남영,235607,247650
202001,경부선,노량진,255648,242153
202001,경부선,당정,153840,144564
202001,경부선,대방,331921,336653
202001,경부선,독산,393039,407097
202001,경부선,두정,110161,112141
202001,경부선,명학,213336,205005
202001,경부선,병점,341585,340551
202001,경부선,서동탄,40319,32823
202001,경부선,서울역,161515,37465
202001,경부선,서정리,120316,121956
202001,경부선,석수,252010,216933
202001,경부선,성균관대,338701,334819
202001,경부선,성환,76729,77057
202001,경부선,세류,81894,75996
202001,경부선,세마,62520,55100
202001,경부선,송탄,97898,93934
202001,경부선,수원,923644,987058
202001,경부선,신길,223878,187235
202001,경부선,신도림,91059,92688
202001,경부선,안양,552386,557731
202001,경부선,영등포,1083182,1125296
202001,경부선,오산,226802,225336
202001,경부선,오산대,66064,57346
202001,경부선,용산,915355,941430
202001,경부선,의왕,213551,207016
202001,경부선,지제,57875,51640
202001,경부선,직산,18703,18077
202001,경부선,진위,35654,30306
202001,경부선,천안,130616,136094
202001,경부선,평택,284353,279090
202001,경부선,화서,181392,172894
202002,경부선,가산디지털단지,382866,430896
202002,경부선,관악,142703,130852
202002,경부선,광명,57570,47366
202002,경부선,구로,356717,363203
202002,경부선,군포,145646,145294
202002,경부선,금정,507519,518631
202002,경부선,금천구청,228890,223023
202002,경부선,남영,197158,207175
202002,경부선,노량진,185529,182674
202002,경부선,당정,122874,116787
202002,경부선,대방,268798,273943
202002,경부선,독산,336744,352625
202002,경부선,두정,81241,81617
202002,경부선,명학,178302,174641
202002,경부선,병점,255057,250775
202002,경부선,서동탄,30760,24352
202002,경부선,서울역,92509,26355
202002,경부선,서정리,92347,89600
202002,경부선,석수,203220,177214
202002,경부선,성균관대,264007,258994
202002,경부선,성환,55604,55391
202002,경부선,세류,60608,55621
202002,경부선,세마,45485,40940
202002,경부선,송탄,71295,67947
202002,경부선,수원,618312,662531
202002,경부선,신길,184664,154211
202002,경부선,신도림,76706,75270
202002,경부선,안양,426277,425328
202002,경부선,영등포,762982,798041
202002,경부선,오산,165310,162654
202002,경부선,오산대,49633,44090
202002,경부선,용산,632698,650457
202002,경부선,의왕,176238,173348
202002,경부선,지제,42609,38586
202002,경부선,직산,13436,13165
202002,경부선,진위,27668,23826
202002,경부선,천안,82572,84411
202002,경부선,평택,194079,187779
202002,경부선,화서,141441,136033
202003,경부선,가산디지털단지,335182,380786
202003,경부선,관악,127838,116852
202003,경부선,광명,46103,40109
202003,경부선,구로,313588,315739
202003,경부선,군포,138709,140012
202003,경부선,금정,463220,475695
202003,경부선,금천구청,205222,201955
202003,경부선,남영,172923,182356
202003,경부선,노량진,156807,155769
202003,경부선,당정,108696,104574
202003,경부선,대방,230787,234583
202003,경부선,독산,313372,327620
202003,경부선,두정,63502,63217
202003,경부선,명학,167610,164376
202003,경부선,병점,219289,214637
202003,경부선,서동탄,26839,21560
202003,경부선,서울역,55016,19000
202003,경부선,서정리,83695,82078
202003,경부선,석수,183502,159824
202003,경부선,성균관대,231568,227742
202003,경부선,성환,45781,45574
202003,경부선,세류,51742,47749
202003,경부선,세마,40007,36766
202003,경부선,송탄,61379,58645
202003,경부선,수원,518070,558365
202003,경부선,신길,168474,140992
202003,경부선,신도림,70608,68093
202003,경부선,안양,368388,370856
202003,경부선,영등포,626775,652901
202003,경부선,오산,144109,142676
202003,경부선,오산대,45239,39610
202003,경부선,용산,509937,524759
202003,경부선,의왕,160139,159153
