사용월,호선명,지하철역,승차총승객수,하차총승객수
202001,경인선,간석,149848,141816
202001,경인선,개봉,536769,537243
202001,경인선,구일,159451,159724
202001,경인선,도원,81519,83681
202001,경인선,도화,95125,85312
202001,경인선,동암,398497,398528
202001,경인선,동인천,370305,352889
202001,경인선,백운,188186,182724
202001,경인선,부개,212974,198610
202001,경인선,부천,871881,883491
202001,경인선,부평,818195,889324
202001,경인선,소사,239335,227769
202001,경인선,송내,708819,696462
202001,경인선,역곡,681675,670484
202001,경인선,오류동,296180,275275
202001,경인선,온수,159614,157126
202001,경인선,인천,81535,62332
202001,경인선,제물포,245560,230894
202001,경인선,주안,501976,453121
202001,경인선,중동,226418,212309
202002,경인선,간석,117860,111258
202002,경인선,개봉,421915,426836
202002,경인선,구일,122569,124258
202002,경인선,도원,53975,54997
202002,경인선,도화,74048,66084
202002,경인선,동암,312424,312081
202002,경인선,동인천,280527,265355
202002,경인선,백운,144610,142532
202002,경인선,부개,168895,158443
202002,경인선,부천,634184,636589
202002,경인선,부평,612395,660874
202002,경인선,소사,183409,174275
202002,경인선,송내,580568,573205
202002,경인선,역곡,545528,539510
202002,경인선,오류동,234099,222454
202002,경인선,온수,124082,123867
202002,경인선,인천,53597,39509
202002,경인선,제물포,196154,184100
202002,경인선,주안,392271,356706
202002,경인선,중동,180238,169438
202003,경인선,간석,102984,96964
202003,경인선,개봉,373494,378727
202003,경인선,구일,106358,108476
202003,경인선,도원,46376,47718
202003,경인선,도화,65849,58279
202003,경인선,동암,283082,281908
202003,경인선,동인천,249920,236195
202003,경인선,백운,126214,124462
202003,경인선,부개,150630,141953
202003,경인선,부천,595558,598984
202003,경인선,부평,515492,544558
202003,경인선,소사,167646,156859
202003,경인선,송내,531683,524727
202003,경인선,역곡,493816,488799
202003,경인선,오류동,208306,196170
202003,경인선,온수,107308,105724
202003,경인선,인천,50004,37625
202003,경인선,제물포,170498,160081
202003,경인선,주안,347341,319002
202003,경인선,중동,163478,153632
202004,경인선,간석,110519,104185
202004,경인선,개봉,405461,408867
202004,경인선,구일,116599,118182
202004,경인선,도원,51589,52475
202004,경인선,도화,71189,63326
202004,경인선,동암,302597,302219
202004,경인선,동인천,269689,256355
202004,경인선,백운,135753,133907
202004,경인선,부개,162342,152977
202004,경인선,부천,642279,652536
202004,경인선,부평,577937,625635
202004,경인선,소사,183041,172575
202004,경인선,송내,554082,546628
202004,경인선,역곡,524620,519783
202004,경인선,오류동,222672,209876
202004,경인선,온수,117430,116229
202004,경인선,인천,57761,44794
202004,경인선,제물포,185400,174182
202004,경인선,주안,372204,340404
202004,경인선,중동,174977,164756
202005,경인선,간석,114462,108525
202005,경인선,개봉,427604,436340
202005,경인선,구일,124012,126742
202005,경인선,도원,59110,60555
202005,경인선,도화,72304,64876
202005,경인선,동암,308883,309217
202005,경인선,동인천,276370,263244
202005,경인선,백운,142424,141058
202005,경인선,부개,166258,155933
202005,경인선,부천,660339,667402
202005,경인선,부평,588076,634216
202005,경인선,소사,190992,181384
202005,경인선,송내,562272,560493
202005,경인선,역곡,545779,541696
202005,경인선,오류동,234036,222021
202005,경인선,온수,125374,123741
202005,경인선,인천,64189,50824
202005,경인선,제물포,197934,185167
202005,경인선,주안,376071,341849
202005,경인선,중동,181564,171324
202006,경인선,간석,124878,118695
202006,경인선,개봉,461159,468931
202006,경인선,구일,139200,142508
202006,경인선,도원,73211,74660
202006,경인선,도화,78853,71707
202006,경인선,동암,331891,331755
202006,경인선,동인천,296085,282454
202006,경인선,백운,156036,153459
202006,경인선,부개,180507,169929
202006,경인선,부천,688614,692623
202006,경인선,부평,610236,656936
202006,경인선,소사,202735,192088
202006,경인선,송내,606923,605406
202006,경인선,역곡,587391,581645
202006,경인선,오류동,252989,239406
202006,경인선,온수,145569,142841
202006,경인선,인천,60066,44934
202006,경인선,제물포,225087,211031
202006,경인선,주안,409856,374417
202006,경인선,중동,195603,183893
202007,경인선,간석,134980,127952
202007,경인선,개봉,497720,502778
202007,경인선,구일,146477,149941
202007,경인선,도원,78391,79590
202007,경인선,도화,85663,77088
202007,경인선,동암,355219,355603
202007,경인선,동인천,323389,307274
202007,경인선,백운,167974,164810
202007,경인선,부개,195521,183393
202007,경인선,부천,754513,760685
202007,경인선,부평,680770,738075
202007,경인선,소사,213253,204064
202007,경인선,송내,655881,650898
202007,경인선,역곡,624427,615566
202007,경인선,오류동,269769,252293
202007,경인선,온수,157627,153508
202007,경인선,인천,69654,52774
202007,경인선,제물포,238253,222699
202007,경인선,주안,444990,402912
202007,경인선,중동,210228,198164
202008,경인선,간석,108401,103590
202008,경인선,개봉,404654,410083
202008,경인선,구일,119779,124095
202008,경인선,도원,57448,58341
202008,경인선,도화,69806,62928
202008,경인선,동암,291511,292453
202008,경인선,동인천,262415,249632
202008,경인선,백운,136138,133562
202008,경인선,부개,159084,149601
202008,경인선,부천,624304,629914
202008,경인선,부평,560563,601472
202008,경인선,소사,176563,168181
202008,경인선,송내,525365,522164
202008,경인선,역곡,503964,500047
202008,경인선,오류동,219956,206678
202008,경인선,온수,124322,121275
202008,경인선,인천,60432,46346
202008,경인선,제물포,189475,178810
202008,경인선,주안,357931,325612
202008,경인선,중동,172297,162823
202009,경인선,간석,109008,104372
202009,경인선,개봉,409718,420342
202009,경인선,구일,116222,119439
202009,경인선,도원,59369,60503
202009,경인선,도화,70270,63677
202009,경인선,동암,296237,297964
202009,경인선,동인천,260044,247691
202009,경인선,백운,137386,136440
202009,경인선,부개,160717,151405
202009,경인선,부천,617350,624761
202009,경인선,부평,535156,573661
202009,경인선,소사,180860,174279
202009,경인선,송내,524465,523681
202009,경인선,역곡,512950,508505
202009,경인선,오류동,223532,210105
202009,경인선,온수,127507,124393
202009,경인선,인천,61525,46708
202009,경인선,제물포,188624,178920
202009,경인선,주안,349883,319353
202009,경인선,중동,174181,166108
202010,경인선,간석,121000,114253
202010,경인선,개봉,453259,458727
202010,경인선,구일,137036,140176
202010,경인선,도원,68644,69645
202010,경인선,도화,78088,70532
202010,경인선,동암,324401,324315
202010,경인선,동인천,290330,275098
202010,경인선,백운,151207,147645
202010,경인선,부개,176503,164671
202010,경인선,부천,684381,690998
202010,경인선,부평,611320,667258
202010,경인선,소사,202212,191824
202010,경인선,송내,584848,581375
202010,경인선,역곡,588993,576633
202010,경인선,오류동,246008,228760
202010,경인선,온수,148141,141218
202010,경인선,인천,78311,60770
202010,경인선,제물포,221673,207755
202010,경인선,주안,396753,359925
202010,경인선,중동,190716,179355
202011,경인선,간석,121523,115191
202011,경인선,개봉,458321,468628
202011,경인선,구일,164094,178043
202011,경인선,도원,68688,69681
202011,경인선,도화,78307,71152
202011,경인선,동암,324142,324857
202011,경인선,동인천,285420,270916
202011,경인선,백운,151557,149926
202011,경인선,부개,176945,166660
202011,경인선,부천,684231,690271
202011,경인선,부평,602211,651232
202011,경인선,소사,202227,193599
202011,경인선,송내,595564,593462
202011,경인선,역곡,597769,588070
202011,경인선,오류동,249440,233533
202011,경인선,온수,148129,142799
202011,경인선,인천,67696,50488
202011,경인선,제물포,223963,211340
202011,경인선,주안,398154,363486
202011,경인선,중동,193552,183411
202012,경인선,간석,105711,101548
202012,경인선,개봉,402656,418280
202012,경인선,구일,112804,117260
202012,경인선,도원,54166,55693
202012,경인선,도화,73984,68358
202012,경인선,동암,287900,291298
202012,경인선,동인천,249267,239181
202012,경인선,백운,132009,131803
202012,경인선,부개,157608,150249
202012,경인선,부천,608034,615185
202012,경인선,부평,527891,558879
202012,경인선,소사,179288,166895
202012,경인선,송내,514128,515215
202012,경인선,역곡,507825,507312
202012,경인선,오류동,222313,212443
202012,경인선,온수,120953,119217
202012,경인선,인천,56809,41733
202012,경인선,제물포,186721,178539
202012,경인선,주안,342687,314749
202012,경인선,중동,171291,164041
