사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,경춘선,가평,41435,42831,41435,42831
202001,경춘선,갈매,64185,54654,64185,54654
202001,경춘선,강촌,7784,7399,7784,7399
202001,경춘선,굴봉산,2822,3237,2822,3237
202001,경춘선,금곡,35956,33879,35956,33879
202001,경춘선,김유정,6861,7370,6861,7370
202001,경춘선,남춘천,60699,62878,60699,62878
202001,경춘선,대성리,12148,12164,12148,12164
202001,경춘선,마석,86490,84242,86490,84242
202001,경춘선,백양리,6420,6118,6420,6118
202001,경춘선,별내,59557,58081,59557,58081
202001,경춘선,사릉,77626,73204,77626,73204
202001,경춘선,상천,5426,5091,5426,5091
202001,경춘선,신내,30505,31305,30505,31305
202001,경춘선,천마산,35760,32833,35760,32833
202001,경춘선,청평,43692,41705,43692,41705
202001,경춘선,춘천,34399,30739,34399,30739
202001,경춘선,퇴계원,85370,78002,85370,78002
202001,경춘선,평내호평,136422,132647,136422,132647
202002,경춘선,가평,29874,30364,29874,30364
202002,경춘선,갈매,54885,46896,54885,46896
202002,경춘선,강촌,5705,5580,5705,5580
202002,경춘선,굴봉산,1970,2121,1970,2121
202002,경춘선,금곡,28927,27394,28927,27394
202002,경춘선,김유정,4749,4933,4749,4933
202002,경춘선,남춘천,40501,41836,40501,41836
202002,경춘선,대성리,8975,8584,8975,8584
202002,경춘선,마석,66273,64846,66273,64846
202002,경춘선,백양리,3851,3562,3851,3562
202002,경춘선,별내,47428,46275,47428,46275
202002,경춘선,사릉,63890,60730,63890,60730
202002,경춘선,상천,3821,3684,3821,3684
202002,경춘선,신내,24948,25431,24948,25431
202002,경춘선,천마산,27854,25194,27854,25194
202002,경춘선,청평,30014,28703,30014,28703
202002,경춘선,춘천,21796,19889,21796,19889
202002,경춘선,퇴계원,69249,64147,69249,64147
202002,경춘선,평내호평,109491,107911,109491,107911
202003,경춘선,가평,21414,21590,21414,21590
202003,경춘선,갈매,51438,44757,51438,44757
202003,경춘선,강촌,5003,4972,5003,4972
202003,경춘선,굴봉산,1814,1890,1814,1890
202003,경춘선,금곡,27391,25780,27391,25780
202003,경춘선,김유정,3672,3735,3672,3735
202003,경춘선,남춘천,32202,33417,32202,33417
202003,경춘선,대성리,7557,7034,7557,7034
202003,경춘선,마석,58489,57230,58489,57230
202003,경춘선,백양리,1220,1086,1220,1086
202003,경춘선,별내,42496,42236,42496,42236
202003,경춘선,사릉,59492,57311,59492,57311
202003,경춘선,상천,4216,4045,4216,4045
202003,경춘선,신내,22572,23445,22572,23445
202003,경춘선,천마산,25929,24064,25929,24064
202003,경춘선,청평,21779,21737,21779,21737
202003,경춘선,춘천,17243,15984,17243,15984
202003,경춘선,퇴계원,63736,58542,63736,58542
202003,경춘선,평내호평,94798,93530,94798,93530
202004,경춘선,가평,27938,28942,27938,28942
202004,경춘선,갈매,54817,47571,54817,47571
202004,경춘선,강촌,7680,7701,7680,7701
202004,경춘선,굴봉산,3604,3687,3604,3687
202004,경춘선,금곡,28288,26818,28288,26818
202004,경춘선,김유정,5569,6010,5569,6010
202004,경춘선,남춘천,39619,41512,39619,41512
202004,경춘선,대성리,10769,10239,10769,10239
202004,경춘선,마석,66901,65337,66901,65337
202004,경춘선,백양리,2069,2123,2069,2123
202004,경춘선,별내,46416,45568,46416,45568
202004,경춘선,사릉,64124,60481,64124,60481
202004,경춘선,상천,7038,6642,7038,6642
202004,경춘선,신내,25189,25781,25189,25781
202004,경춘선,천마산,29504,27776,29504,27776
202004,경춘선,청평,28419,28919,28419,28919
202004,경춘선,춘천,22499,20111,22499,20111
202004,경춘선,퇴계원,67600,62047,67600,62047
202004,경춘선,평내호평,104693,102933,104693,102933
202005,경춘선,가평,33631,33899,33631,33899
202005,경춘선,갈매,56755,49412,56755,49412
202005,경춘선,강촌,8695,8348,8695,8348
202005,경춘선,굴봉산,3876,3848,3876,3848
202005,경춘선,금곡,29665,28173,29665,28173
202005,경춘선,김유정,6210,6762,6210,6762
202005,경춘선,남춘천,45030,46715,45030,46715
202005,경춘선,대성리,11155,10494,11155,10494
202005,경춘선,마석,73480,71882,73480,71882
202005,경춘선,백양리,2271,2182,2271,2182
202005,경춘선,별내,49859,48635,49859,48635
202005,경춘선,사릉,67666,64012,67666,64012
202005,경춘선,상천,6849,6555,6849,6555
202005,경춘선,신내,26755,26758,26755,26758
202005,경춘선,천마산,31095,29115,31095,29115
202005,경춘선,청평,32804,33260,32804,33260
202005,경춘선,춘천,27232,24054,27232,24054
202005,경춘선,퇴계원,71204,65024,71204,65024
202005,경춘선,평내호평,112445,110065,112445,110065
202006,경춘선,가평,34816,35687,34816,35687
202006,경춘선,갈매,63868,54661,63868,54661
202006,경춘선,강촌,8567,8693,8567,8693
202006,경춘선,굴봉산,3202,3225,3202,3225
202006,경춘선,금곡,31907,30061,31907,30061
202006,경춘선,김유정,5572,5663,5572,5663
202006,경춘선,남춘천,46665,47975,46665,47975
202006,경춘선,대성리,10750,9756,10750,9756
202006,경춘선,마석,78998,76556,78998,76556
202006,경춘선,백양리,2248,2281,2248,2281
202006,경춘선,별내,55601,53948,55601,53948
202006,경춘선,사릉,75429,70851,75429,70851
202006,경춘선,상천,5738,5631,5738,5631
202006,경춘선,신내,30907,31249,30907,31249
202006,경춘선,천마산,33193,30580,33193,30580
202006,경춘선,청평,33981,34694,33981,34694
202006,경춘선,춘천,27303,24921,27303,24921
202006,경춘선,퇴계원,77587,70836,77587,70836
202006,경춘선,평내호평,125657,122381,125657,122381
202007,경춘선,가평,51810,54380,51810,54380
202007,경춘선,갈매,68863,58729,68863,58729
202007,경춘선,강촌,11946,11193,11946,11193
202007,경춘선,굴봉산,3416,3213,3416,3213
202007,경춘선,금곡,33619,31807,33619,31807
202007,경춘선,김유정,6442,7008,6442,7008
202007,경춘선,남춘천,53308,54967,53308,54967
202007,경춘선,대성리,16112,15300,16112,15300
202007,경춘선,마석,85676,83227,85676,83227
202007,경춘선,백양리,2848,2727,2848,2727
202007,경춘선,별내,59576,57524,59576,57524
202007,경춘선,사릉,79779,74348,79779,74348
202007,경춘선,상천,5832,5640,5832,5640
202007,경춘선,신내,34312,33978,34312,33978
202007,경춘선,천마산,35315,32655,35315,32655
202007,경춘선,청평,42628,42868,42628,42868
202007,경춘선,춘천,29367,26583,29367,26583
202007,경춘선,퇴계원,83341,75599,83341,75599
202007,경춘선,평내호평,134923,131381,134923,131381
202008,경춘선,가평,38297,38015,38297,38015
202008,경춘선,갈매,54186,46815,54186,46815
202008,경춘선,강촌,8496,7885,8496,7885
202008,경춘선,굴봉산,2755,2425,2755,2425
202008,경춘선,금곡,27224,25551,27224,25551
202008,경춘선,김유정,4704,4850,4704,4850
202008,경춘선,남춘천,40978,42744,40978,42744
202008,경춘선,대성리,13117,11718,13117,11718
202008,경춘선,마석,67157,64973,67157,64973
202008,경춘선,백양리,2488,2286,2488,2286
202008,경춘선,별내,48173,46380,48173,46380
202008,경춘선,사릉,63634,59583,63634,59583
202008,경춘선,상천,4251,4042,4251,4042
202008,경춘선,신내,25583,26240,25583,26240
202008,경춘선,천마산,27975,25984,27975,25984
202008,경춘선,청평,33069,31828,33069,31828
202008,경춘선,춘천,23274,21290,23274,21290
202008,경춘선,퇴계원,66799,60981,66799,60981
202008,경춘선,평내호평,106513,104021,106513,104021
202009,경춘선,가평,27220,28726,27220,28726
202009,경춘선,갈매,55512,48044,55512,48044
202009,경춘선,강촌,7190,7556,7190,7556
202009,경춘선,굴봉산,2516,2452,2516,2452
202009,경춘선,금곡,28693,27317,28693,27317
202009,경춘선,김유정,4759,5339,4759,5339
202009,경춘선,남춘천,39345,40383,39345,40383
202009,경춘선,대성리,9524,8719,9524,8719
202009,경춘선,마석,69825,68768,69825,68768
202009,경춘선,백양리,1536,1503,1536,1503
202009,경춘선,별내,49893,48153,49893,48153
202009,경춘선,사릉,66370,63179,66370,63179
202009,경춘선,상천,6002,5901,6002,5901
202009,경춘선,신내,27488,28405,27488,28405
202009,경춘선,천마산,29970,28406,29970,28406
202009,경춘선,청평,27637,28477,27637,28477
202009,경춘선,춘천,23418,21289,23418,21289
202009,경춘선,퇴계원,68425,62843,68425,62843
