사용월,호선명,지하철역,승차총승객수,하차총승객수
202001,분당선,가천대,164926,185727
202001,분당선,강남구청,232896,268122
202001,분당선,개포동,87299,90604
202001,분당선,구룡,35189,34469
202001,분당선,구성,120906,120657
202001,분당선,기흥,240034,227615
202001,분당선,대모산입구,80871,74767
202001,분당선,도곡,163793,163896
202001,분당선,망포,334479,309680
202001,분당선,매교,54925,55896
202001,분당선,매탄권선,108226,101224
202001,분당선,모란,520939,529706
202001,분당선,미금,415599,442299
202001,분당선,보정,63201,53740
202001,분당선,복정,8,0
202001,분당선,상갈,137713,127158
202001,분당선,서울숲,199399,201070
202001,분당선,서현,679667,685919
202001,분당선,선릉,304472,490466
202001,분당선,선정릉,194767,207089
202001,분당선,수내,338156,336957
202001,분당선,수서,345081,353947
202001,분당선,수원,201864,142865
202001,분당선,수원시청,281032,314840
202001,분당선,신갈,119245,115200
202001,분당선,압구정로데오,397330,450101
202001,분당선,야탑,693345,730468
202001,분당선,영통,215124,217122
202001,분당선,오리,305183,258899
202001,분당선,이매,139872,134582
202001,분당선,정자,424163,451768
202001,분당선,죽전,345107,377065
202001,분당선,청명,103333,95601
202001,분당선,태평,335909,329087
202001,분당선,한티,357810,376500
202002,분당선,가천대,124709,144514
202002,분당선,강남구청,197573,227307
202002,분당선,개포동,68650,72694
202002,분당선,구룡,29550,28949
202002,분당선,구성,94152,94381
202002,분당선,기흥,187970,178071
202002,분당선,대모산입구,66424,61423
202002,분당선,도곡,128521,131388
202002,분당선,망포,266375,250296
202002,분당선,매교,42233,42392
202002,분당선,매탄권선,84472,79403
202002,분당선,모란,413760,417536
202002,분당선,미금,321719,342537
202002,분당선,보정,48213,40759
202002,분당선,복정,10,0
202002,분당선,상갈,105770,98054
202002,분당선,서울숲,171653,173232
202002,분당선,서현,532229,539062
202002,분당선,선릉,271093,432404
202002,분당선,선정릉,168007,180663
202002,분당선,수내,263420,263167
202002,분당선,수서,269263,274131
202002,분당선,수원,149569,103368
202002,분당선,수원시청,216056,242267
202002,분당선,신갈,90958,87993
202002,분당선,압구정로데오,327173,369898
202002,분당선,야탑,530611,557810
202002,분당선,영통,160633,163593
202002,분당선,오리,240857,204234
202002,분당선,이매,106889,102620
202002,분당선,정자,341811,365414
202002,분당선,죽전,262934,285516
202002,분당선,청명,79496,74025
202002,분당선,태평,271507,265357
202002,분당선,한티,273422,291717
202003,분당선,가천대,107754,125980
202003,분당선,강남구청,164507,190905
202003,분당선,개포동,53282,57146
202003,분당선,구룡,22133,22305
202003,분당선,구성,75812,77760
202003,분당선,기흥,153790,146197
202003,분당선,대모산입구,57831,53881
202003,분당선,도곡,104039,105797
202003,분당선,망포,223783,211671
202003,분당선,매교,36567,36771
202003,분당선,매탄권선,72346,67952
