사용월,호선명,지하철역,승차총승객수,하차총승객수
202001,우이신설선,4.19민주묘지,61816,58669
202001,우이신설선,가오리,95064,93227
202001,우이신설선,보문,35578,36039
202001,우이신설선,북한산보국문,135056,126478
202001,우이신설선,북한산우이,56998,50646
202001,우이신설선,삼양,46747,50392
202001,우이신설선,삼양사거리,57197,58721
202001,우이신설선,성신여대입구,81412,90922
202001,우이신설선,솔밭공원,55870,53819
202001,우이신설선,솔샘,133679,123204
202001,우이신설선,신설동,47677,47993
202001,우이신설선,정릉,101163,93805
202001,우이신설선,화계,78302,73947
202002,우이신설선,4.19민주묘지,49715,48447
202002,우이신설선,가오리,76061,75948
202002,우이신설선,보문,28215,29222
202002,우이신설선,북한산보국문,109394,105093
202002,우이신설선,북한산우이,44722,39342
202002,우이신설선,삼양,37311,41581
202002,우이신설선,삼양사거리,45669,46997
202002,우이신설선,성신여대입구,59333,66014
202002,우이신설선,솔밭공원,44668,43725
202002,우이신설선,솔샘,109997,103282
202002,우이신설선,신설동,40827,41406
202002,우이신설선,정릉,79972,75919
202002,우이신설선,화계,62328,58949
202003,우이신설선,4.19민주묘지,45444,44278
202003,우이신설선,가오리,68228,68840
202003,우이신설선,보문,25777,26669
202003,우이신설선,북한산보국문,97438,94174
202003,우이신설선,북한산우이,42383,38439
202003,우이신설선,삼양,35147,38215
202003,우이신설선,삼양사거리,41101,42160
202003,우이신설선,성신여대입구,51566,58539
202003,우이신설선,솔밭공원,40185,39716
202003,우이신설선,솔샘,98441,92325
202003,우이신설선,신설동,38855,38583
202003,우이신설선,정릉,72965,69759
202003,우이신설선,화계,56876,54003
202004,우이신설선,4.19민주묘지,51169,49029
202004,우이신설선,가오리,73610,72275
202004,우이신설선,보문,27725,28064
202004,우이신설선,북한산보국문,104266,98828
202004,우이신설선,북한산우이,52875,49163
202004,우이신설선,삼양,37893,41084
202004,우이신설선,삼양사거리,44985,45547
202004,우이신설선,성신여대입구,55209,63814
202004,우이신설선,솔밭공원,42545,41166
202004,우이신설선,솔샘,104224,96286
202004,우이신설선,신설동,39839,40146
202004,우이신설선,정릉,80325,74796
202004,우이신설선,화계,60543,56701
202005,우이신설선,4.19민주묘지,54942,53413
202005,우이신설선,가오리,76544,75198
202005,우이신설선,보문,28686,29011
202005,우이신설선,북한산보국문,109553,104664
202005,우이신설선,북한산우이,51748,48072
202005,우이신설선,삼양,41775,44426
202005,우이신설선,삼양사거리,46724,47546
202005,우이신설선,성신여대입구,58649,67936
202005,우이신설선,솔밭공원,45068,43253
202005,우이신설선,솔샘,108332,100312
202005,우이신설선,신설동,41869,41755
202005,우이신설선,정릉,84624,78867
202005,우이신설선,화계,62157,57918
202006,우이신설선,4.19민주묘지,58365,56744
202006,우이신설선,가오리,84631,83493
202006,우이신설선,보문,31581,32226
202006,우이신설선,북한산보국문,120305,115446
202006,우이신설선,북한산우이,53276,48424
202006,우이신설선,삼양,42272,45305
202006,우이신설선,삼양사거리,50745,51385
202006,우이신설선,성신여대입구,63676,71979
202006,우이신설선,솔밭공원,50017,48675
202006,우이신설선,솔샘,122166,113614
202006,우이신설선,신설동,47465,47287
202006,우이신설선,정릉,91575,86479
202006,우이신설선,화계,68534,63400
202007,우이신설선,4.19민주묘지,61880,59773
202007,우이신설선,가오리,90421,88214
202007,우이신설선,보문,33576,34047
202007,우이신설선,북한산보국문,129064,122160
202007,우이신설선,북한산우이,59168,54180
202007,우이신설선,삼양,44879,47619
202007,우이신설선,삼양사거리,54029,55009
202007,우이신설선,성신여대입구,69878,79081
202007,우이신설선,솔밭공원,53877,51887
202007,우이신설선,솔샘,130629,120063
202007,우이신설선,신설동,50497,49825
202007,우이신설선,정릉,99058,91826
202007,우이신설선,화계,74293,67913
202008,우이신설선,4.19민주묘지,49149,48047
202008,우이신설선,가오리,72725,71478
202008,우이신설선,보문,26745,27101
202008,우이신설선,북한산보국문,100590,95952
202008,우이신설선,북한산우이,46903,42772
202008,우이신설선,삼양,35965,38338
202008,우이신설선,삼양사거리,44198,44630
202008,우이신설선,성신여대입구,54061,60645
202008,우이신설선,솔밭공원,43149,41908
202008,우이신설선,솔샘,102194,94428
202008,우이신설선,신설동,39389,38911
202008,우이신설선,정릉,77883,72370
202008,우이신설선,화계,59652,55789
202009,우이신설선,4.19민주묘지,51212,49751
202009,우이신설선,가오리,73805,73994
202009,우이신설선,보문,27692,28011
202009,우이신설선,북한산보국문,104039,99971
