사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
2020-10-01,1호선,동대문,6187,6468,12655
2020-10-01,1호선,동묘앞,4415,4773,9188
2020-10-01,1호선,서울역,13090,14290,27380
2020-10-01,1호선,시청,2989,2955,5944
2020-10-01,1호선,신설동,3386,3300,6686
2020-10-01,1호선,제기동,3450,3186,6636
2020-10-01,1호선,종각,5570,5352,10922
2020-10-01,1호선,종로3가,5882,5659,11541
2020-10-01,1호선,종로5가,2706,2761,5467
2020-10-01,1호선,청량리,6567,6637,13204
2020-10-01,2호선,강남,12788,13138,25926
2020-10-01,2호선,강변,12684,12278,24962
2020-10-01,2호선,건대입구,12463,14426,26889
2020-10-01,2호선,교대,3611,3997,7608
2020-10-01,2호선,구로디지털단지,12584,12252,24836
2020-10-01,2호선,구의,5723,5661,11384
2020-10-01,2호선,낙성대,7260,6801,14061
2020-10-01,2호선,당산,4491,4775,9266
2020-10-01,2호선,대림,9541,10223,19764
2020-10-01,2호선,도림천,279,211,490
2020-10-01,2호선,동대문역사문화공원,3833,4373,8206
2020-10-01,2호선,뚝섬,3344,3277,6621
2020-10-01,2호선,문래,3064,3111,6175
2020-10-01,2호선,방배,2640,2720,5360
2020-10-01,2호선,봉천,6287,5914,12201
2020-10-01,2호선,사당,9147,9941,19088
2020-10-01,2호선,삼성,6951,6599,13550
2020-10-01,2호선,상왕십리,3300,3105,6405
2020-10-01,2호선,서울대입구,12314,12168,24482
2020-10-01,2호선,서초,2324,1969,4293
2020-10-01,2호선,선릉,4606,3980,8586
2020-10-01,2호선,성수,4160,4684,8844
2020-10-01,2호선,시청,2118,1605,3723
2020-10-01,2호선,신답,356,351,707
2020-10-01,2호선,신당,3968,4073,8041
2020-10-01,2호선,신대방,8911,8726,17637
2020-10-01,2호선,신도림,11620,11656,23276
2020-10-01,2호선,신림,19920,19600,39520
2020-10-01,2호선,신설동,896,841,1737
2020-10-01,2호선,신정네거리,2543,2554,5097
2020-10-01,2호선,신촌,7922,8245,16167
2020-10-01,2호선,아현,2519,2472,4991
2020-10-01,2호선,양천구청,1646,1681,3327
2020-10-01,2호선,역삼,3635,3911,7546
2020-10-01,2호선,영등포구청,3464,3458,6922
2020-10-01,2호선,왕십리,4532,3957,8489
2020-10-01,2호선,용답,1047,931,1978
2020-10-01,2호선,용두,546,510,1056
2020-10-01,2호선,을지로3가,1984,2124,4108
2020-10-01,2호선,을지로4가,1029,907,1936
2020-10-01,2호선,을지로입구,4508,4211,8719
2020-10-01,2호선,이대,2821,2763,5584
2020-10-01,2호선,잠실,19345,18020,37365
2020-10-01,2호선,잠실나루,2516,2506,5022
2020-10-01,2호선,잠실새내,4417,5003,9420
2020-10-01,2호선,종합운동장,1514,1632,3146
2020-10-01,2호선,충정로,1917,1852,3769
2020-10-01,2호선,한양대,1127,1217,2344
2020-10-01,2호선,합정,7392,8347,15739
2020-10-01,2호선,홍대입구,17447,19864,37311
2020-10-01,3호선,가락시장,1738,1711,3449
2020-10-01,3호선,경복궁,5440,6358,11798
2020-10-01,3호선,경찰병원,1413,1352,2765
2020-10-01,3호선,고속터미널,13060,13451,26511
2020-10-01,3호선,교대,1234,813,2047
2020-10-01,3호선,구파발,6130,6215,12345
2020-10-01,3호선,금호,2459,2229,4688
2020-10-01,3호선,남부터미널,6259,6259,12518
2020-10-01,3호선,녹번,3685,3358,7043
2020-10-01,3호선,대청,2055,1950,4005
2020-10-01,3호선,대치,2686,2488,5174
2020-10-01,3호선,도곡,888,846,1734
2020-10-01,3호선,독립문,2362,2420,4782
2020-10-01,3호선,동대입구,2150,2593,4743
2020-10-01,3호선,매봉,1620,1579,3199
2020-10-01,3호선,무악재,1100,1142,2242
2020-10-01,3호선,불광,4688,5237,9925
2020-10-01,3호선,수서,4701,4626,9327
2020-10-01,3호선,신사,4228,4923,9151
2020-10-01,3호선,안국,4036,4638,8674
2020-10-01,3호선,압구정,3936,4080,8016
2020-10-01,3호선,약수,3521,3322,6843
2020-10-01,3호선,양재,4618,5308,9926
2020-10-01,3호선,연신내,12634,11966,24600
2020-10-01,3호선,오금,1283,1215,2498
2020-10-01,3호선,옥수,2677,2602,5279
2020-10-01,3호선,을지로3가,881,979,1860
2020-10-01,3호선,일원,1582,1641,3223
2020-10-01,3호선,잠원,1192,1147,2339
2020-10-01,3호선,종로3가,1396,2282,3678
2020-10-01,3호선,지축,917,915,1832
2020-10-01,3호선,학여울,374,311,685
2020-10-01,3호선,홍제,5246,4857,10103
2020-10-01,4호선,길음,5559,5289,10848
2020-10-01,4호선,남태령,300,283,583
2020-10-01,4호선,노원,5902,6824,12726
2020-10-01,4호선,당고개,4745,4484,9229
2020-10-01,4호선,동대문,2299,2017,4316
2020-10-01,4호선,동대문역사문화공원,4471,4183,8654
2020-10-01,4호선,동작,1113,1062,2175
2020-10-01,4호선,명동,6439,6998,13437
2020-10-01,4호선,미아,5117,4627,9744
2020-10-01,4호선,미아사거리,8785,8363,17148
2020-10-01,4호선,사당,7051,6266,13317
2020-10-01,4호선,삼각지,698,898,1596
2020-10-01,4호선,상계,6208,5684,11892
2020-10-01,4호선,서울역,2273,4947,7220
2020-10-01,4호선,성신여대입구,6140,5779,11919
2020-10-01,4호선,수유,11781,11636,23417
2020-10-01,4호선,숙대입구,2791,2609,5400
2020-10-01,4호선,신용산,3044,3212,6256
2020-10-01,4호선,쌍문,9307,8202,17509
2020-10-01,4호선,이촌,1609,1859,3468
2020-10-01,4호선,창동,7753,7939,15692
2020-10-01,4호선,총신대입구,4808,5284,10092
2020-10-01,4호선,충무로,4164,4159,8323
2020-10-01,4호선,한성대입구,4098,3958,8056
2020-10-01,4호선,혜화,7996,8536,16532
2020-10-01,4호선,회현,1977,1996,3973
2020-10-01,5호선,강동,4947,4632,9579
2020-10-01,5호선,개롱,1495,1594,3089
2020-10-01,5호선,개화산,1781,1627,3408
2020-10-01,5호선,거여,1953,1924,3877
2020-10-01,5호선,고덕,1846,1752,3598
2020-10-01,5호선,공덕,2037,2027,4064
