노선명,역명,승차총승객수,하차총승객수,승하차총승객수
1호선,동대문,198267,194298,392565
1호선,동묘앞,133799,140711,274510
1호선,서울역,692093,655058,1347151
1호선,시청,394219,401549,795768
1호선,신설동,262554,257892,520446
1호선,제기동,290964,297209,588173
1호선,종각,660371,649148,1309519
1호선,종로3가,456009,430887,886896
1호선,종로5가,398961,402752,801713
1호선,청량리(서울시립대입구),358246,355188,713434
2호선,강남,1584964,1600196,3185160
2호선,강변(동서울터미널),561769,551066,1112835
2호선,건대입구,624271,672116,1296387
2호선,교대(법원.검찰청),638488,712022,1350510
2호선,구로디지털단지,1146217,1152682,2298899
2호선,구의(광진구청),452537,442308,894845
2호선,낙성대,151990,146716,298706
2호선,낙성대(강감찬),344803,332396,677199
2호선,당산,364495,421506,786001
2호선,대림(구로구청),444354,448047,892401
2호선,도림천,21989,23290,45279
2호선,동대문역사문화공원,65087,72467,137554
2호선,동대문역사문화공원(DDP),142344,158077,300421
2호선,뚝섬,384288,416837,801125
2호선,문래,386239,396025,782264
2호선,방배,299660,309328,608988
2호선,봉천,449521,417188,866709
2호선,사당,655411,713108,1368519
2호선,삼성(무역센터),885140,908645,1793785
2호선,상왕십리,250825,241172,491997
2호선,서울대입구(관악구청),870228,840704,1710932
2호선,서초,384843,384583,769426
2호선,선릉,1075510,964103,2039613
2호선,성수,643968,704735,1348703
2호선,시청,458982,463219,922201
2호선,신답,30179,34182,64361
2호선,신당,250562,259451,510013
2호선,신대방,492031,472728,964759
2호선,신도림,852207,828716,1680923
2호선,신림,1210238,1171056,2381294
2호선,신설동,57508,59527,117035
2호선,신정네거리,164877,172780,337657
2호선,신촌,582931,608011,1190942
2호선,아현,167689,161356,329045
2호선,양천구청,114565,120586,235151
2호선,역삼,940216,1039338,1979554
2호선,영등포구청,431426,438065,869491
2호선,왕십리(성동구청),287788,242301,530089
2호선,용답,45718,45338,91056
2호선,용두(동대문구청),42068,44106,86174
2호선,을지로3가,397342,397889,795231
2호선,을지로4가,240367,238716,479083
2호선,을지로입구,697495,719505,1417000
2호선,이대,194298,201793,396091
2호선,잠실(송파구청),1183152,1157161,2340313
2호선,잠실나루,252124,244246,496370
2호선,잠실새내,363054,364740,727794
2호선,종합운동장,116437,124057,240494
