사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
2020-11-02,1호선,동대문,11519,11770,23289
2020-11-02,1호선,동묘앞,8260,8719,16979
2020-11-02,1호선,서울역,43237,41172,84409
2020-11-02,1호선,시청,22234,22211,44445
2020-11-02,1호선,신설동,14700,14083,28783
2020-11-02,1호선,제기동,18516,19141,37657
2020-11-02,1호선,종각,37878,36956,74834
2020-11-02,1호선,종로3가,24854,22790,47644
2020-11-02,1호선,종로5가,22186,22290,44476
2020-11-02,1호선,청량리,21524,21438,42962
2020-11-02,2호선,강남,84650,84220,168870
2020-11-02,2호선,강변,32378,32127,64505
2020-11-02,2호선,건대입구,33597,36084,69681
2020-11-02,2호선,교대,34835,39319,74154
2020-11-02,2호선,구로디지털단지,63746,63870,127616
2020-11-02,2호선,구의,23476,23148,46624
2020-11-02,2호선,낙성대,27451,26640,54091
2020-11-02,2호선,당산,19810,22949,42759
2020-11-02,2호선,대림,26299,26748,53047
2020-11-02,2호선,도림천,1273,1355,2628
2020-11-02,2호선,동대문역사문화공원,11851,13348,25199
2020-11-02,2호선,뚝섬,20498,22059,42557
2020-11-02,2호선,문래,22047,22442,44489
2020-11-02,2호선,방배,18814,19731,38545
2020-11-02,2호선,봉천,25008,22974,47982
2020-11-02,2호선,사당,36472,40800,77272
2020-11-02,2호선,삼성,51605,53090,104695
2020-11-02,2호선,상왕십리,14160,13745,27905
2020-11-02,2호선,서울대입구,48265,47330,95595
2020-11-02,2호선,서초,22431,22286,44717
2020-11-02,2호선,선릉,57953,52184,110137
2020-11-02,2호선,성수,33678,36670,70348
2020-11-02,2호선,시청,24095,23740,47835
2020-11-02,2호선,신답,1610,1849,3459
2020-11-02,2호선,신당,13816,14108,27924
2020-11-02,2호선,신대방,26962,25929,52891
2020-11-02,2호선,신도림,48921,47737,96658
2020-11-02,2호선,신림,63324,60990,124314
2020-11-02,2호선,신설동,3305,3137,6442
2020-11-02,2호선,신정네거리,10260,10515,20775
2020-11-02,2호선,신촌,31851,33350,65201
2020-11-02,2호선,아현,10200,9844,20044
2020-11-02,2호선,양천구청,6985,7283,14268
2020-11-02,2호선,역삼,51111,56800,107911
2020-11-02,2호선,영등포구청,23731,24073,47804
2020-11-02,2호선,왕십리,15837,12840,28677
2020-11-02,2호선,용답,2511,2438,4949
2020-11-02,2호선,용두,2250,2337,4587
2020-11-02,2호선,을지로3가,21520,21136,42656
2020-11-02,2호선,을지로4가,13348,13262,26610
2020-11-02,2호선,을지로입구,39926,40707,80633
2020-11-02,2호선,이대,12913,13731,26644
2020-11-02,2호선,잠실,64541,65148,129689
2020-11-02,2호선,잠실나루,14994,14713,29707
2020-11-02,2호선,잠실새내,20390,20455,40845
2020-11-02,2호선,종합운동장,9876,12008,21884
2020-11-02,2호선,충정로,10574,11162,21736
2020-11-02,2호선,한양대,8227,9386,17613
2020-11-02,2호선,합정,28820,30174,58994
2020-11-02,2호선,홍대입구,47331,49908,97239
2020-11-02,3호선,가락시장,9315,9157,18472
2020-11-02,3호선,경복궁,19675,19687,39362
2020-11-02,3호선,경찰병원,7850,7964,15814
2020-11-02,3호선,고속터미널,38183,36597,74780
2020-11-02,3호선,교대,14483,9742,24225
2020-11-02,3호선,구파발,21412,20119,41531
2020-11-02,3호선,금호,8430,7736,16166
2020-11-02,3호선,남부터미널,29503,30416,59919
2020-11-02,3호선,녹번,15248,13877,29125
