노선명,역명,승차총승객수,하차총승객수,승하차총승객수
1호선,동대문,217104,215392,432496
1호선,동묘앞,153674,159371,313045
1호선,서울역,722519,704509,1427028
1호선,시청,383633,381945,765578
1호선,신설동,266422,263792,530214
1호선,제기동,357357,371458,728815
1호선,종각,617491,606122,1223613
1호선,종로3가,441557,406031,847588
1호선,종로5가,418251,414934,833185
1호선,청량리(서울시립대입구),412710,413957,826667
2호선,강남,1435431,1429431,2864862
2호선,강변(동서울터미널),555149,566833,1121982
2호선,건대입구,587084,636564,1223648
2호선,교대(법원.검찰청),629680,708858,1338538
2호선,구로디지털단지,1153715,1154630,2308345
2호선,구의(광진구청),439283,427816,867099
2호선,낙성대(강감찬),517238,491473,1008711
2호선,당산,356625,413415,770040
2호선,대림(구로구청),486042,495692,981734
2호선,도림천,25050,26192,51242
2호선,동대문역사문화공원(DDP),214942,240553,455495
2호선,뚝섬,373792,405852,779644
2호선,문래,394960,405402,800362
2호선,방배,317035,326966,644001
2호선,봉천,469182,430282,899464
2호선,사당,662110,721354,1383464
2호선,삼성(무역센터),907021,921670,1828691
2호선,상왕십리,258303,249524,507827
2호선,서울대입구(관악구청),880182,846442,1726624
2호선,서초,396711,392398,789109
2호선,선릉,1034767,923949,1958716
2호선,성수,624889,688545,1313434
2호선,시청,432442,426128,858570
2호선,신답,29216,33805,63021
2호선,신당,263294,267414,530708
2호선,신대방,509081,488245,997326
2호선,신도림,912376,885129,1797505
2호선,신림,1203238,1152057,2355295
2호선,신설동,59699,58691,118390
2호선,신정네거리,183021,189438,372459
2호선,신촌,542195,565870,1108065
2호선,아현,190368,181659,372027
2호선,양천구청,122274,129868,252142
2호선,역삼,911971,1002721,1914692
2호선,영등포구청,435828,442081,877909
2호선,왕십리(성동구청),286425,232719,519144
2호선,용답,49230,47522,96752
2호선,용두(동대문구청),46058,48674,94732
2호선,을지로3가,376159,375010,751169
2호선,을지로4가,250005,247462,497467
2호선,을지로입구,693644,708637,1402281
2호선,이대,214168,220847,435015
2호선,잠실(송파구청),1118853,1112887,2231740
2호선,잠실나루,266036,258193,524229
2호선,잠실새내,359344,362187,721531
2호선,종합운동장,125272,134039,259311
2호선,충정로(경기대입구),193948,203013,396961
2호선,한양대,134834,144045,278879
2호선,합정,535676,563264,1098940
2호선,홍대입구,813432,864179,1677611
3호선,가락시장,174193,171470,345663
3호선,경복궁(정부서울청사),319318,311091,630409
3호선,경찰병원,142730,142380,285110
3호선,고속터미널,659007,695110,1354117
3호선,교대(법원.검찰청),259655,170993,430648
3호선,구파발,385145,362103,747248
3호선,금호,153267,142468,295735
3호선,남부터미널(예술의전당),523037,546215,1069252
3호선,녹번,279459,252199,531658
3호선,대청,178539,162538,341077
3호선,대치,184974,182535,367509
3호선,도곡,98218,98794,197012
3호선,독립문,132240,135724,267964
3호선,동대입구,134717,140486,275203
3호선,매봉,222164,210759,432923
3호선,무악재,72686,73110,145796
3호선,불광,309336,330325,639661
3호선,수서,293828,302301,596129
3호선,신사,535123,570759,1105882
3호선,안국,323255,333944,657199
3호선,압구정,581184,620802,1201986
3호선,약수,242652,238096,480748
3호선,양재(서초구청),712619,766348,1478967
3호선,연신내,715676,670568,1386244
3호선,오금,117439,105072,222511
3호선,옥수,169362,175179,344541
3호선,을지로3가,191279,200167,391446
3호선,일원,175336,172423,347759
3호선,잠원,99866,98332,198198
3호선,종로3가,179099,209513,388612
3호선,지축,61279,60345,121624
3호선,충무로,15,0,15
3호선,학여울,31689,32363,64052
3호선,홍제,327386,311949,639335
4호선,길음,375240,362840,738080
4호선,남태령,21727,18750,40477
4호선,노원,340754,383835,724589
4호선,당고개,238857,218620,457477
4호선,동대문,389863,396807,786670
4호선,동대문역사문화공원(DDP),272068,255124,527192
4호선,동작(현충원),48645,50228,98873
4호선,명동,311441,325226,636667
4호선,미아(서울사이버대학),293755,282860,576615
4호선,미아사거리,525940,513847,1039787
4호선,사당,437626,371108,808734
4호선,삼각지,84962,92791,177753
4호선,상계,365002,336031,701033
4호선,서울역,198754,262218,460972
4호선,성신여대입구(돈암),354568,340492,695060
4호선,수유(강북구청),645225,636572,1281797
4호선,숙대입구(갈월),237051,232709,469760
4호선,신용산,274230,290443,564673
4호선,쌍문,565204,513525,1078729
4호선,이촌(국립중앙박물관),124656,141554,266210
4호선,창동,491710,522361,1014071
4호선,총신대입구(이수),358263,390610,748873
4호선,충무로,499401,518586,1017987
4호선,한성대입구(삼선교),248257,242921,491178
4호선,혜화,534185,533154,1067339
4호선,회현(남대문시장),417490,438911,856401
5호선,강동,360403,330849,691252
5호선,개롱,116138,120756,236894
5호선,개화산,97507,92813,190320
5호선,거여,148840,140468,289308
5호선,고덕,161029,158436,319465
5호선,공덕,257394,275834,533228
5호선,광나루(장신대),236905,214469,451374
5호선,광화문(세종문화회관),530700,554838,1085538
5호선,군자(능동),204577,219357,423934
5호선,굽은다리(강동구민회관앞),171291,161455,332746
5호선,길동,142367,148916,291283
5호선,김포공항,112169,113739,225908
5호선,까치산,558597,532722,1091319
5호선,답십리,301746,275564,577310
5호선,동대문역사문화공원(DDP),53796,61599,115395
5호선,둔촌동,150379,151419,301798
5호선,마곡,164713,159755,324468
5호선,마장,108914,101920,210834
5호선,마천,107581,107509,215090
5호선,마포,263022,272012,535034
5호선,명일,151701,157350,309051
