사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수,평일주말
20200104,우이신설선,북한산보국문,5117,4407,9524,주말
20200104,1호선,서울역,48376,46823,95199,주말
20200104,1호선,시청,22370,23449,45819,주말
20200104,1호선,종각,35345,33183,68528,주말
20200104,1호선,종로3가,34613,33921,68534,주말
20200104,1호선,종로5가,26307,26355,52662,주말
20200104,1호선,동대문,13392,15219,28611,주말
20200104,1호선,신설동,12452,11889,24341,주말
20200104,1호선,제기동,19719,20500,40219,주말
20200104,3호선,오금,4725,4208,8933,주말
20200104,1호선,청량리,24388,24906,49294,주말
20200104,1호선,동묘앞,13077,13909,26986,주말
20200104,2호선,시청,13824,11463,25287,주말
20200104,2호선,을지로입구,39435,38072,77507,주말
20200104,2호선,을지로3가,13929,13706,27635,주말
20200104,2호선,을지로4가,10390,10581,20971,주말
20200104,2호선,동대문역사문화공원,15562,17194,32756,주말
20200104,2호선,신당,12282,13130,25412,주말
20200104,2호선,상왕십리,10909,10135,21044,주말
20200104,2호선,왕십리,16356,14475,30831,주말
20200104,2호선,한양대,5302,5392,10694,주말
20200104,2호선,뚝섬,12705,12880,25585,주말
20200104,2호선,성수,16731,18223,34954,주말
20200104,2호선,건대입구,43701,49696,93397,주말
20200104,2호선,구의,18989,17942,36931,주말
20200104,2호선,강변,41804,40949,82753,주말
20200104,2호선,잠실나루,9862,9510,19372,주말
20200104,2호선,잠실,81999,77313,159312,주말
20200104,2호선,잠실새내,20706,21959,42665,주말
20200104,2호선,종합운동장,8787,9524,18311,주말
20200104,2호선,삼성,45421,45965,91386,주말
20200104,2호선,선릉,30318,27003,57321,주말
20200104,2호선,역삼,22999,24662,47661,주말
20200104,2호선,강남,87333,93257,180590,주말
20200104,2호선,교대,22148,25326,47474,주말
20200104,2호선,서초,13931,12945,26876,주말
20200104,2호선,방배,12266,12551,24817,주말
20200104,2호선,사당,39197,42750,81947,주말
20200104,2호선,낙성대,24473,22402,46875,주말
20200104,2호선,서울대입구,43847,42868,86715,주말
20200104,2호선,봉천,20304,18491,38795,주말
20200104,2호선,신림,60576,58649,119225,주말
20200104,2호선,신대방,22971,21815,44786,주말
20200104,2호선,구로디지털단지,44203,43499,87702,주말
20200104,2호선,대림,23421,24746,48167,주말
20200104,2호선,신도림,54259,54953,109212,주말
20200104,2호선,문래,12699,13012,25711,주말
20200104,2호선,영등포구청,14544,14770,29314,주말
20200104,2호선,당산,15038,16330,31368,주말
20200104,2호선,합정,31544,34922,66466,주말
20200104,2호선,홍대입구,90634,102811,193445,주말
20200104,2호선,신촌,44931,46748,91679,주말
20200104,2호선,이대,14489,14887,29376,주말
20200104,2호선,아현,8452,7894,16346,주말
20200104,2호선,충정로,7232,7460,14692,주말
20200104,2호선,용답,2251,2108,4359,주말
20200104,2호선,신답,1201,1237,2438,주말
20200104,2호선,신설동,4569,4221,8790,주말
20200104,2호선,도림천,888,913,1801,주말
20200104,2호선,양천구청,5414,5292,10706,주말
20200104,2호선,신정네거리,8245,8304,16549,주말
