,사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
0,20200101,2호선,용두,1130,1156,2286
1,20200101,2호선,신정네거리,4384,4549,8933
2,20200101,2호선,양천구청,2766,2916,5682
3,20200101,2호선,도림천,347,380,727
4,20200101,2호선,신설동,2161,1988,4149
5,20200101,2호선,신답,605,710,1315
6,20200101,2호선,용답,1548,1643,3191
7,20200101,2호선,충정로,3886,3739,7625
8,20200101,2호선,아현,4475,4575,9050
9,20200101,2호선,이대,8803,9724,18527
10,20200101,2호선,신촌,25420,23862,49282
11,20200101,2호선,홍대입구,69202,61962,131164
12,20200101,2호선,합정,16947,16707,33654
13,20200101,2호선,당산,7613,8759,16372
14,20200101,2호선,영등포구청,6594,6644,13238
15,20200101,2호선,문래,5998,6303,12301
16,20200101,2호선,신도림,26096,26716,52812
17,20200101,2호선,대림,16429,17443,33872
18,20200101,2호선,구로디지털단지,25130,25859,50989
19,20200101,2호선,신대방,14808,14965,29773
20,20200101,2호선,신림,36826,37845,74671
21,20200101,2호선,봉천,11289,11536,22825
22,20200101,2호선,서울대입구,23793,25781,49574
23,20200101,2호선,낙성대,13222,14468,27690
24,20200101,2호선,사당,18983,20297,39280
25,20200101,2호선,방배,5397,5875,11272
26,20200101,2호선,서초,4819,4304,9123
27,20200101,2호선,교대,9262,10245,19507
28,20200101,2호선,강남,39231,36768,75999
29,20200101,2호선,역삼,10755,10997,21752
30,20200101,2호선,선릉,11749,9965,21714
31,20200101,2호선,삼성,25168,23880,49048
32,20200101,2호선,종합운동장,4585,4599,9184
33,20200101,2호선,잠실새내,11199,11150,22349
34,20200101,2호선,잠실,53799,48425,102224
35,20200101,2호선,잠실나루,5165,5247,10412
36,20200101,2호선,강변,26220,25509,51729
37,20200101,2호선,구의,10741,10802,21543
38,20200101,2호선,건대입구,29289,29008,58297
39,20200101,2호선,성수,9037,9685,18722
40,20200101,2호선,뚝섬,5904,6277,12181
41,20200101,2호선,한양대,2367,2567,4934
42,20200101,2호선,왕십리,9553,8463,18016
43,20200101,2호선,상왕십리,5947,6058,12005
44,20200101,2호선,신당,7007,7796,14803
45,20200101,2호선,동대문역사문화공원,12705,13550,26255
46,20200101,2호선,을지로4가,4055,4033,8088
47,20200101,2호선,을지로3가,8612,8672,17284
48,20200101,2호선,을지로입구,29241,27367,56608
49,20200101,2호선,시청,8725,5943,14668
50,20200102,2호선,시청,30321,28535,58856
51,20200102,2호선,을지로입구,57339,57431,114770
52,20200102,2호선,을지로3가,26307,26176,52483
53,20200102,2호선,을지로4가,15313,15329,30642
54,20200102,2호선,동대문역사문화공원,18148,21538,39686
