,사용일자,노선명,역명,승차총승객수,하차총승객수,승하차총승객수
0,20200101,7호선,부평구청,4647,3983,8630
1,20200101,7호선,굴포천,4424,4720,9144
2,20200101,7호선,삼산체육관,2094,2043,4137
3,20200101,7호선,상동,7062,6914,13976
4,20200101,7호선,부천시청,5832,5755,11587
5,20200101,7호선,신중동,5575,5614,11189
6,20200101,7호선,춘의,3384,3295,6679
7,20200101,7호선,부천종합운동장,2195,1906,4101
8,20200101,7호선,까치울,3294,3282,6576
9,20200101,7호선,온수(성공회대입구),3687,4049,7736
10,20200101,7호선,천왕,3948,4009,7957
11,20200101,7호선,광명사거리,13125,13078,26203
12,20200101,7호선,철산,10109,10483,20592
13,20200101,7호선,가산디지털단지,11215,10506,21721
14,20200101,7호선,남구로,7947,7748,15695
15,20200101,7호선,대림(구로구청),8976,8590,17566
16,20200101,7호선,신풍,5497,5349,10846
17,20200101,7호선,보라매,3585,3783,7368
18,20200101,7호선,신대방삼거리,7029,7086,14115
19,20200101,7호선,장승배기,4565,4692,9257
20,20200101,7호선,상도,4627,5089,9716
21,20200101,7호선,숭실대입구(살피재),5030,5654,10684
22,20200101,7호선,남성,5026,5232,10258
23,20200101,7호선,이수,7439,7441,14880
24,20200101,7호선,내방,4137,4217,8354
25,20200101,7호선,고속터미널,12492,8223,20715
26,20200101,7호선,반포,2709,2716,5425
27,20200101,7호선,논현,5385,5505,10890
28,20200101,7호선,학동,4954,4441,9395
29,20200101,7호선,강남구청,3549,3802,7351
30,20200101,7호선,청담,5780,6240,12020
31,20200101,7호선,뚝섬유원지,4087,3983,8070
32,20200101,7호선,건대입구,8665,9179,17844
33,20200101,7호선,어린이대공원(세종대),5557,5607,11164
34,20200101,7호선,군자(능동),7162,5506,12668
35,20200101,7호선,중곡,4468,4313,8781
36,20200101,7호선,용마산,3000,3095,6095
37,20200101,7호선,사가정,8084,8016,16100
38,20200101,7호선,면목,7131,7299,14430
39,20200101,7호선,상봉(시외버스터미널),8539,8004,16543
40,20200101,7호선,중화,5154,5209,10363
41,20200101,7호선,먹골,4750,4810,9560
42,20200101,7호선,태릉입구,4074,3803,7877
43,20200101,7호선,공릉(서울과학기술대),5622,5847,11469
44,20200101,7호선,하계,8542,8370,16912
45,20200101,7호선,중계,6414,6157,12571
46,20200101,7호선,노원,9371,9960,19331
47,20200101,7호선,마들,5578,5435,11013
48,20200101,7호선,수락산,6448,6564,13012
49,20200101,7호선,도봉산,4028,5811,9839
50,20200101,7호선,장암,919,524,1443
51,20200102,7호선,장암,2585,832,3417
52,20200102,7호선,도봉산,9587,10966,20553
53,20200102,7호선,수락산,13676,13631,27307
54,20200102,7호선,마들,13244,12600,25844
55,20200102,7호선,노원,23653,24935,48588
56,20200102,7호선,중계,16312,14863,31175
57,20200102,7호선,하계,20011,19001,39012
58,20200102,7호선,공릉(서울과학기술대),12852,12726,25578
59,20200102,7호선,태릉입구,8800,8277,17077
60,20200102,7호선,먹골,11138,10878,22016
61,20200102,7호선,중화,12234,11796,24030
62,20200102,7호선,상봉(시외버스터미널),18478,17539,36017
63,20200102,7호선,면목,16517,16077,32594
64,20200102,7호선,사가정,16914,16854,33768
65,20200102,7호선,용마산,6500,6037,12537
66,20200102,7호선,중곡,10749,9974,20723
67,20200102,7호선,군자(능동),15815,12596,28411
68,20200102,7호선,어린이대공원(세종대),12742,12743,25485
69,20200102,7호선,건대입구,15499,16705,32204
70,20200102,7호선,뚝섬유원지,7903,7593,15496
71,20200102,7호선,청담,22667,25402,48069
72,20200102,7호선,강남구청,17578,19535,37113
73,20200102,7호선,학동,25655,27954,53609
74,20200102,7호선,논현,22503,24636,47139
75,20200102,7호선,반포,6680,6615,13295
76,20200102,7호선,고속터미널,21345,17051,38396
77,20200102,7호선,내방,15677,16096,31773
78,20200102,7호선,이수,17758,17655,35413
79,20200102,7호선,남성,12702,11879,24581
80,20200102,7호선,숭실대입구(살피재),13711,14010,27721
81,20200102,7호선,상도,11816,11687,23503
82,20200102,7호선,장승배기,11356,11132,22488
83,20200102,7호선,신대방삼거리,18174,17493,35667
84,20200102,7호선,보라매,10195,10428,20623
85,20200102,7호선,신풍,12217,11524,23741
86,20200102,7호선,대림(구로구청),9694,9550,19244
87,20200102,7호선,남구로,18259,19214,37473
88,20200102,7호선,가산디지털단지,48928,49299,98227
89,20200102,7호선,철산,25304,25710,51014
90,20200102,7호선,광명사거리,26911,26027,52938
91,20200102,7호선,천왕,11013,9918,20931
92,20200102,7호선,온수(성공회대입구),11343,10733,22076
93,20200102,7호선,까치울,7929,7466,15395
94,20200102,7호선,부천종합운동장,5069,4196,9265
95,20200102,7호선,춘의,10439,10300,20739
96,20200102,7호선,신중동,16345,15856,32201
97,20200102,7호선,부천시청,13710,13654,27364
98,20200102,7호선,상동,15154,15620,30774
99,20200102,7호선,삼산체육관,5666,5145,10811
100,20200102,7호선,굴포천,10057,10608,20665
101,20200102,7호선,부평구청,13146,10593,23739
102,20200103,7호선,장암,2628,923,3551
103,20200103,7호선,도봉산,9913,11344,21257
104,20200103,7호선,수락산,14310,14000,28310
105,20200103,7호선,마들,13813,12836,26649
106,20200103,7호선,노원,24845,27051,51896
107,20200103,7호선,중계,17199,15308,32507
108,20200103,7호선,하계,21131,19527,40658
109,20200103,7호선,공릉(서울과학기술대),14148,14225,28373
110,20200103,7호선,태릉입구,9386,8505,17891
111,20200103,7호선,먹골,11852,11380,23232
112,20200103,7호선,중화,12907,12390,25297
113,20200103,7호선,상봉(시외버스터미널),19547,18694,38241
114,20200103,7호선,면목,17486,16759,34245
115,20200103,7호선,사가정,17753,17613,35366
116,20200103,7호선,용마산,6766,6394,13160
117,20200103,7호선,중곡,11291,10432,21723
118,20200103,7호선,군자(능동),16640,13007,29647
119,20200103,7호선,어린이대공원(세종대),14464,13749,28213
120,20200103,7호선,건대입구,16666,18131,34797
121,20200103,7호선,뚝섬유원지,7894,7599,15493
122,20200103,7호선,청담,23418,26570,49988
123,20200103,7호선,강남구청,17800,20226,38026
124,20200103,7호선,학동,27005,29192,56197
125,20200103,7호선,논현,23466,26338,49804
126,20200103,7호선,반포,7188,6929,14117
127,20200103,7호선,고속터미널,23341,18503,41844
128,20200103,7호선,내방,16485,16844,33329
129,20200103,7호선,이수,19298,19425,38723
130,20200103,7호선,남성,13164,11945,25109
131,20200103,7호선,숭실대입구(살피재),14955,14627,29582
132,20200103,7호선,상도,12652,11909,24561
133,20200103,7호선,장승배기,12209,11678,23887
134,20200103,7호선,신대방삼거리,19114,18007,37121
135,20200103,7호선,보라매,10822,10720,21542
136,20200103,7호선,신풍,12886,12096,24982
137,20200103,7호선,대림(구로구청),9996,10364,20360
138,20200103,7호선,남구로,18340,19948,38288
139,20200103,7호선,가산디지털단지,49822,50314,100136
140,20200103,7호선,철산,26700,27641,54341
141,20200103,7호선,광명사거리,28429,27558,55987
142,20200103,7호선,천왕,11613,10203,21816
143,20200103,7호선,온수(성공회대입구),11551,10822,22373
144,20200103,7호선,까치울,8228,7600,15828
145,20200103,7호선,부천종합운동장,5305,4296,9601
146,20200103,7호선,춘의,10829,10433,21262
147,20200103,7호선,신중동,17138,17266,34404
148,20200103,7호선,부천시청,14542,14424,28966
149,20200103,7호선,상동,16247,17011,33258
150,20200103,7호선,삼산체육관,5796,5119,10915
151,20200103,7호선,굴포천,10353,10974,21327
152,20200103,7호선,부평구청,13627,10865,24492
153,20200104,7호선,장암,1745,940,2685
154,20200104,7호선,도봉산,7218,9552,16770
155,20200104,7호선,수락산,11288,10857,22145
156,20200104,7호선,마들,9585,8821,18406
157,20200104,7호선,노원,18491,19957,38448
158,20200104,7호선,중계,11792,10692,22484
159,20200104,7호선,하계,15493,14405,29898
160,20200104,7호선,공릉(서울과학기술대),9999,9971,19970
161,20200104,7호선,태릉입구,7466,6535,14001
162,20200104,7호선,먹골,9252,8668,17920
163,20200104,7호선,중화,9023,8622,17645
164,20200104,7호선,상봉(시외버스터미널),15094,14458,29552
165,20200104,7호선,면목,12724,11932,24656
166,20200104,7호선,사가정,13796,13253,27049
167,20200104,7호선,용마산,4792,4753,9545
168,20200104,7호선,중곡,7748,7120,14868
169,20200104,7호선,군자(능동),12375,9163,21538
170,20200104,7호선,어린이대공원(세종대),15874,16199,32073
171,20200104,7호선,건대입구,14751,16074,30825
172,20200104,7호선,뚝섬유원지,6361,6172,12533
173,20200104,7호선,청담,13076,14074,27150
174,20200104,7호선,강남구청,10654,11757,22411
175,20200104,7호선,학동,12661,13501,26162
176,20200104,7호선,논현,13150,14924,28074
177,20200104,7호선,반포,5390,4961,10351
178,20200104,7호선,고속터미널,20839,16063,36902
179,20200104,7호선,내방,8939,8754,17693
180,20200104,7호선,이수,14563,14005,28568
181,20200104,7호선,남성,9052,8368,17420
182,20200104,7호선,숭실대입구(살피재),9716,9325,19041
183,20200104,7호선,상도,8671,7923,16594
184,20200104,7호선,장승배기,8369,8014,16383
185,20200104,7호선,신대방삼거리,12761,11817,24578
186,20200104,7호선,보라매,6873,6626,13499
187,20200104,7호선,신풍,9202,8877,18079
188,20200104,7호선,대림(구로구청),9491,10265,19756
189,20200104,7호선,남구로,10329,10855,21184
190,20200104,7호선,가산디지털단지,17112,15715,32827
191,20200104,7호선,철산,19128,19505,38633
192,20200104,7호선,광명사거리,21627,21533,43160
193,20200104,7호선,천왕,7212,6562,13774
194,20200104,7호선,온수(성공회대입구),6371,6461,12832
195,20200104,7호선,까치울,5799,5570,11369
196,20200104,7호선,부천종합운동장,3544,3097,6641
197,20200104,7호선,춘의,5727,5402,11129
198,20200104,7호선,신중동,11750,11874,23624
199,20200104,7호선,부천시청,10937,10631,21568
200,20200104,7호선,상동,12824,13057,25881
201,20200104,7호선,삼산체육관,4264,3842,8106
202,20200104,7호선,굴포천,7352,7540,14892
203,20200104,7호선,부평구청,8606,7259,15865
204,20200105,7호선,장암,1337,818,2155
205,20200105,7호선,도봉산,5601,8192,13793
206,20200105,7호선,수락산,9126,9084,18210
207,20200105,7호선,마들,6303,5763,12066
208,20200105,7호선,노원,13460,13603,27063
209,20200105,7호선,중계,9149,8514,17663
210,20200105,7호선,하계,11447,10923,22370
211,20200105,7호선,공릉(서울과학기술대),7314,7521,14835
212,20200105,7호선,태릉입구,5339,4890,10229
213,20200105,7호선,먹골,6267,6103,12370
214,20200105,7호선,중화,6932,6813,13745
215,20200105,7호선,상봉(시외버스터미널),11236,10633,21869
216,20200105,7호선,면목,9378,9199,18577
217,20200105,7호선,사가정,10089,9881,19970
218,20200105,7호선,용마산,3602,3917,7519
219,20200105,7호선,중곡,5982,5558,11540
220,20200105,7호선,군자(능동),9107,6953,16060
221,20200105,7호선,어린이대공원(세종대),8892,9003,17895
222,20200105,7호선,건대입구,10431,10958,21389
223,20200105,7호선,뚝섬유원지,5379,5294,10673
224,20200105,7호선,청담,7722,8097,15819
225,20200105,7호선,강남구청,6065,6442,12507
226,20200105,7호선,학동,8589,8785,17374
