,사용일자,노선명,역명,승차총승객수,하차총승객수,승하차총승객수
0,20200101,우이신설선,신설동,892,828,1720
1,20200101,우이신설선,보문,917,855,1772
2,20200101,우이신설선,성신여대입구(돈암),2010,2363,4373
3,20200101,우이신설선,정릉,2096,1989,4085
4,20200101,우이신설선,북한산보국문,2945,2849,5794
5,20200101,우이신설선,솔샘,2477,2272,4749
6,20200101,우이신설선,삼양사거리,1288,1316,2604
7,20200101,우이신설선,삼양,1113,1188,2301
8,20200101,우이신설선,화계,1789,1690,3479
9,20200101,우이신설선,가오리,2041,1974,4015
10,20200101,우이신설선,4.19민주묘지,1504,1352,2856
11,20200101,우이신설선,솔밭공원,1201,1209,2410
12,20200101,우이신설선,북한산우이,3048,2766,5814
13,20200102,우이신설선,북한산우이,2558,2282,4840
14,20200102,우이신설선,솔밭공원,2436,2375,4811
15,20200102,우이신설선,4.19민주묘지,2734,2560,5294
16,20200102,우이신설선,가오리,4228,4157,8385
17,20200102,우이신설선,화계,3420,3275,6695
18,20200102,우이신설선,삼양,2151,2234,4385
19,20200102,우이신설선,삼양사거리,2526,2638,5164
20,20200102,우이신설선,솔샘,6085,5705,11790
21,20200102,우이신설선,북한산보국문,5997,5731,11728
22,20200102,우이신설선,정릉,4494,4137,8631
23,20200102,우이신설선,성신여대입구(돈암),3632,4176,7808
24,20200102,우이신설선,보문,1597,1564,3161
25,20200102,우이신설선,신설동,2144,2148,4292
26,20200103,우이신설선,삼양,2188,2308,4496
27,20200103,우이신설선,삼양사거리,2643,2710,5353
28,20200103,우이신설선,솔샘,6338,5658,11996
29,20200103,우이신설선,북한산보국문,6470,5956,12426
30,20200103,우이신설선,신설동,2227,2259,4486
31,20200103,우이신설선,보문,1570,1587,3157
32,20200103,우이신설선,성신여대입구(돈암),3740,4298,8038
33,20200103,우이신설선,정릉,4819,4382,9201
34,20200103,우이신설선,북한산우이,2477,2140,4617
35,20200103,우이신설선,솔밭공원,2550,2489,5039
36,20200103,우이신설선,4.19민주묘지,2924,2752,5676
37,20200103,우이신설선,가오리,4409,4168,8577
38,20200103,우이신설선,화계,3557,3288,6845
