사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,6호선,고려대(종암),202802,194434,202802,194434
202001,6호선,공덕,454614,443517,454614,443517
202001,6호선,광흥창(서강),227904,222906,227904,222906
202001,6호선,구산,182127,138888,182127,138888
202001,6호선,녹사평(용산구청),121789,123111,121789,123111
202001,6호선,대흥(서강대앞),203368,212006,203368,212006
202001,6호선,독바위,67550,70459,67550,70459
202001,6호선,돌곶이,209918,196312,209918,196312
202001,6호선,동묘앞,198787,203494,198787,203494
202001,6호선,디지털미디어시티,329001,357326,329001,357326
202001,6호선,마포구청,346601,310667,346601,310667
202001,6호선,망원,341715,369939,341715,369939
202001,6호선,버티고개,55451,52830,55451,52830
202001,6호선,보문,176560,160608,176560,160608
202001,6호선,봉화산(서울의료원),234547,211696,234547,211696
202001,6호선,불광,113479,111679,113479,111679
202001,6호선,삼각지,148395,128259,148395,128259
202001,6호선,상수,228236,258108,228236,258108
202001,6호선,상월곡(한국과학기술연구원),152512,136629,152512,136629
202001,6호선,새절(신사),314291,297151,314291,297151
202001,6호선,석계,305623,312246,305623,312246
202001,6호선,신내,5,0,5,0
202001,6호선,신당,202758,207906,202758,207906
202001,6호선,안암(고대병원앞),270044,268279,270044,268279
202001,6호선,약수,90109,92087,90109,92087
202001,6호선,역촌,94360,106615,94360,106615
202001,6호선,연신내,12,0,12,0
202001,6호선,월곡(동덕여대),286621,278590,286621,278590
202001,6호선,월드컵경기장(성산),115445,120625,115445,120625
202001,6호선,응암,419832,413473,419832,413473
202001,6호선,이태원,311108,341898,311108,341898
202001,6호선,증산(명지대앞),244683,235466,244683,235466
202001,6호선,창신,83998,67006,83998,67006
202001,6호선,청구,90873,98572,90873,98572
202001,6호선,태릉입구,128640,146424,128640,146424
202001,6호선,한강진,177006,208661,177006,208661
202001,6호선,합정,331129,317975,331129,317975
202001,6호선,화랑대(서울여대입구),287250,217398,287250,217398
202001,6호선,효창공원앞,167717,151657,167717,151657
202002,6호선,고려대(종암),161418,156038,161418,156038
202002,6호선,공덕,384312,377152,384312,377152
202002,6호선,광흥창(서강),186395,182427,186395,182427
202002,6호선,구산,150062,113145,150062,113145
