사용일자,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202001,수인분당선,가천대,164926,185727,164926,185727
202001,수인분당선,강남구청,232896,268122,232896,268122
202001,수인분당선,개포동,87299,90604,87299,90604
202001,수인분당선,구룡,35189,34469,35189,34469
202001,수인분당선,구성,120906,120657,120906,120657
202001,수인분당선,기흥,240034,227615,240034,227615
202001,수인분당선,남동인더스파크,48179,52625,48179,52625
202001,수인분당선,달월,1646,1141,1646,1141
202001,수인분당선,대모산입구,80871,74767,80871,74767
202001,수인분당선,도곡,163793,163896,163793,163896
202001,수인분당선,망포,334479,309680,334479,309680
202001,수인분당선,매교,54925,55896,54925,55896
202001,수인분당선,매탄권선,108226,101224,108226,101224
202001,수인분당선,모란,520939,529706,520939,529706
202001,수인분당선,미금,415599,442299,415599,442299
202001,수인분당선,보정,63201,53740,63201,53740
202001,수인분당선,복정,8,0,8,0
202001,수인분당선,상갈,137713,127158,137713,127158
202001,수인분당선,서울숲,199399,201070,199399,201070
202001,수인분당선,서현,679667,685919,679667,685919
202001,수인분당선,선릉,304472,490466,304472,490466
202001,수인분당선,선정릉,194767,207089,194767,207089
202001,수인분당선,소래포구,104352,96437,104352,96437
202001,수인분당선,송도,61032,56808,61032,56808
202001,수인분당선,수내,338156,336957,338156,336957
202001,수인분당선,수서,345081,353947,345081,353947
202001,수인분당선,수원,201864,142865,201864,142865
202001,수인분당선,수원시청,281032,314840,281032,314840
202001,수인분당선,숭의,86840,81088,86840,81088
202001,수인분당선,신갈,119245,115200,119245,115200
202001,수인분당선,신포,39906,41517,39906,41517
202001,수인분당선,압구정로데오,397330,450101,397330,450101
202001,수인분당선,야탑,693345,730468,693345,730468
202001,수인분당선,연수,110991,111814,110991,111814
202001,수인분당선,영통,215124,217122,215124,217122
202001,수인분당선,오리,305183,258899,305183,258899
202001,수인분당선,원인재,101895,103423,101895,103423
202001,수인분당선,월곶,56354,52852,56354,52852
202001,수인분당선,이매,139872,134582,139872,134582
202001,수인분당선,인천,22473,37540,22473,37540
202001,수인분당선,인천논현,137742,144612,137742,144612
202001,수인분당선,인하대,119925,113201,119925,113201
202001,수인분당선,정자,424163,451768,424163,451768
202001,수인분당선,죽전,345107,377065,345107,377065
202001,수인분당선,청명,103333,95601,103333,95601
202001,수인분당선,태평,335909,329087,335909,329087
202001,수인분당선,한티,357810,376500,357810,376500
202001,수인분당선,호구포,82314,82541,82314,82541
202002,수인분당선,가천대,124709,144514,124709,144514
202002,수인분당선,강남구청,197573,227307,197573,227307
202002,수인분당선,개포동,68650,72694,68650,72694
202002,수인분당선,구룡,29550,28949,29550,28949
202002,수인분당선,구성,94152,94381,94152,94381
202002,수인분당선,기흥,187970,178071,187970,178071
202002,수인분당선,남동인더스파크,45903,50439,45903,50439
202002,수인분당선,달월,1496,1005,1496,1005
202002,수인분당선,대모산입구,66424,61423,66424,61423
202002,수인분당선,도곡,128521,131388,128521,131388
202002,수인분당선,망포,266375,250296,266375,250296
202002,수인분당선,매교,42233,42392,42233,42392
202002,수인분당선,매탄권선,84472,79403,84472,79403
202002,수인분당선,모란,413760,417536,413760,417536
202002,수인분당선,미금,321719,342537,321719,342537
202002,수인분당선,보정,48213,40759,48213,40759
202002,수인분당선,복정,10,0,10,0
202002,수인분당선,상갈,105770,98054,105770,98054
202002,수인분당선,서울숲,171653,173232,171653,173232
202002,수인분당선,서현,532229,539062,532229,539062
202002,수인분당선,선릉,271093,432404,271093,432404
