사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,5호선,강동,79208,76041,155249
202101,5호선,개롱,25210,26740,51950
202101,5호선,개화산,22421,22976,45397
202101,5호선,거여,31095,30481,61576
202101,5호선,고덕,34689,33989,68678
202101,5호선,공덕,38313,39832,78145
202101,5호선,광나루,57004,55035,112039
202101,5호선,광화문,77687,76445,154132
202101,5호선,군자,50222,55341,105563
202101,5호선,굽은다리,42684,40660,83344
202101,5호선,길동,36641,38569,75210
202101,5호선,김포공항,48620,46502,95122
202101,5호선,까치산,130717,128982,259699
202101,5호선,답십리,62361,58424,120785
202101,5호선,동대문역사문화공원,6315,7714,14029
202101,5호선,둔촌동,37323,37611,74934
202101,5호선,마곡,27282,27026,54308
202101,5호선,마장,24841,24353,49194
202101,5호선,마천,27521,28830,56351
202101,5호선,마포,40929,41592,82521
202101,5호선,명일,34256,34781,69037
202101,5호선,목동,65300,67642,132942
202101,5호선,미사,58763,58437,117200
202101,5호선,발산,68070,70860,138930
202101,5호선,방이,30039,29449,59488
202101,5호선,방화,29598,28802,58400
202101,5호선,상일동,60149,56746,116895
202101,5호선,서대문,39945,39284,79229
202101,5호선,송정,30732,30706,61438
202101,5호선,신금호,25135,26106,51241
202101,5호선,신길,14799,16869,31668
202101,5호선,신정,54164,47542,101706
202101,5호선,아차산,77132,77907,155039
202101,5호선,애오개,22508,22694,45202
202101,5호선,양평,22045,22372,44417
202101,5호선,여의나루,26200,25995,52195
202101,5호선,여의도,46352,49279,95631
202101,5호선,영등포구청,11687,11606,23293
202101,5호선,영등포시장,39241,41075,80316
202101,5호선,오금,13011,12319,25330
202101,5호선,오목교,98782,102106,200888
202101,5호선,올림픽공원,16589,14850,31439
202101,5호선,왕십리,20697,23599,44296
202101,5호선,우장산,55361,56611,111972
202101,5호선,을지로4가,15911,16797,32708
202101,5호선,장한평,63493,63727,127220
202101,5호선,종로3가,54517,52399,106916
202101,5호선,천호,103593,98114,201707
202101,5호선,청구,15443,14360,29803
202101,5호선,충정로,11617,11586,23203
202101,5호선,하남풍산,21591,23542,45133
202101,5호선,행당,33402,29915,63317
202101,5호선,화곡,118946,112717,231663
202102,5호선,강동,73323,70520,143843
202102,5호선,개롱,24442,25893,50335
202102,5호선,개화산,21592,21859,43451
202102,5호선,거여,29868,28943,58811
202102,5호선,고덕,33190,32454,65644
202102,5호선,공덕,37508,39208,76716
202102,5호선,광나루,58048,56467,114515
202102,5호선,광화문,86517,85840,172357
202102,5호선,군자,47629,53072,100701
