사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,1호선,가능,31769,30354,62123
202101,1호선,가산디지털단지,36125,49894,86019
202101,1호선,간석,26005,24727,50732
202101,1호선,개봉,98194,98465,196659
202101,1호선,관악,35999,33853,69852
202101,1호선,광명,14803,11627,26430
202101,1호선,광운대,34912,34907,69819
202101,1호선,구로,78692,79979,158671
202101,1호선,구일,25443,24782,50225
202101,1호선,군포,28022,26866,54888
202101,1호선,금정,108951,111752,220703
202101,1호선,금천구청,49583,49447,99030
202101,1호선,남영,32781,35470,68251
202101,1호선,노량진,48256,46787,95043
202101,1호선,녹양,20833,20110,40943
202101,1호선,녹천,21601,18786,40387
202101,1호선,당정,23917,23508,47425
202101,1호선,대방,45806,47306,93112
202101,1호선,덕계,12227,11348,23575
202101,1호선,덕정,24733,24452,49185
202101,1호선,도봉,28355,26970,55325
202101,1호선,도봉산,60817,40638,101455
202101,1호선,도원,12888,13148,26036
202101,1호선,도화,19042,17761,36803
202101,1호선,독산,50639,51687,102326
202101,1호선,동대문,68231,67172,135403
202101,1호선,동두천,9068,10761,19829
202101,1호선,동두천중앙,15678,15627,31305
202101,1호선,동묘앞,84741,87190,171931
202101,1호선,동암,79012,79231,158243
202101,1호선,동인천,71005,68954,139959
202101,1호선,두정,28675,30294,58969
202101,1호선,망월사,33582,34740,68322
202101,1호선,명학,29866,28925,58791
202101,1호선,방학,46308,45384,91692
202101,1호선,배방,5305,5558,10863
202101,1호선,백운,33023,32619,65642
202101,1호선,병점,67750,71003,138753
202101,1호선,보산,9430,9106,18536
202101,1호선,봉명,4572,4457,9029
202101,1호선,부개,38042,36385,74427
202101,1호선,부천,182165,182986,365151
202101,1호선,부평,179462,190021,369483
202101,1호선,서동탄,5881,5723,11604
202101,1호선,서빙고,7463,7168,14631
202101,1호선,서울,192014,156893,348907
202101,1호선,서정리,34229,38168,72397
202101,1호선,석계,40320,43203,83523
202101,1호선,석수,41530,40337,81867
202101,1호선,성균관대,58699,60345,119044
202101,1호선,성환,17383,18208,35591
202101,1호선,세류,14867,15238,30105
202101,1호선,세마,12010,10912,22922
202101,1호선,소사,46738,44168,90906
202101,1호선,소요산,22134,19269,41403
202101,1호선,송내,107357,105879,213236
202101,1호선,송탄,26628,26591,53219
202101,1호선,수원,223972,230843,454815
202101,1호선,시청,50268,48833,99101
202101,1호선,신길,38942,33231,72173
202101,1호선,신도림,15528,15884,31412
202101,1호선,신설동,59499,58590,118089
202101,1호선,신이문,39113,36318,75431
202101,1호선,신창,5866,5911,11777
202101,1호선,쌍용,8944,8126,17070
202101,1호선,아산,17644,14818,32462
202101,1호선,안양,105814,104655,210469
202101,1호선,양주,35350,34233,69583
