사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,8호선,가락시장,147969,162281,310250
202101,8호선,강동구청,199064,208600,407664
202101,8호선,남한산성입구,248040,232001,480041
202101,8호선,단대오거리,198220,192152,390372
202101,8호선,모란,81506,58676,140182
202101,8호선,몽촌토성,102742,106144,208886
202101,8호선,문정,429069,444248,873317
202101,8호선,복정,189485,166777,356262
202101,8호선,산성,123288,124547,247835
202101,8호선,석촌,139084,157946,297030
202101,8호선,송파,143858,145885,289743
202101,8호선,수진,96413,89087,185500
202101,8호선,신흥,86501,91951,178452
202101,8호선,암사,343720,310632,654352
202101,8호선,잠실,246358,270478,516836
202101,8호선,장지,319876,313449,633325
202101,8호선,천호,276273,310729,587002
202102,8호선,가락시장,145839,160101,305940
202102,8호선,강동구청,191384,199587,390971
202102,8호선,남한산성입구,237489,219032,456521
202102,8호선,단대오거리,185391,180252,365643
202102,8호선,모란,79560,59658,139218
202102,8호선,몽촌토성,98904,102033,200937
202102,8호선,문정,401479,418535,820014
202102,8호선,복정,184776,159791,344567
202102,8호선,산성,116964,117110,234074
202102,8호선,석촌,136258,156839,293097
202102,8호선,송파,139150,141212,280362
202102,8호선,수진,92034,84498,176532
202102,8호선,신흥,80837,87310,168147
202102,8호선,암사,337437,301953,639390
202102,8호선,잠실,247046,277135,524181
202102,8호선,장지,303838,293975,597813
202102,8호선,천호,273320,310536,583856
202103,8호선,가락시장,177140,197362,374502
202103,8호선,강동구청,237637,246897,484534
202103,8호선,남한산성입구,306684,281404,588088
202103,8호선,단대오거리,234220,227167,461387
202103,8호선,모란,102527,79137,181664
202103,8호선,몽촌토성,127873,132175,260048
202103,8호선,문정,500792,526474,1027266
202103,8호선,복정,257869,221821,479690
202103,8호선,산성,146556,147215,293771
202103,8호선,석촌,170922,197558,368480
202103,8호선,송파,177311,177640,354951
202103,8호선,수진,113745,105045,218790
202103,8호선,신흥,99967,105642,205609
202103,8호선,암사,427025,378886,805911
202103,8호선,잠실,299078,345270,644348
202103,8호선,장지,385800,371627,757427
202103,8호선,천호,336107,383955,720062
202104,8호선,가락시장,172488,191227,363715
