사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,4호선,경마공원,6399,6233,12632
202101,4호선,고잔,33973,32753,66726
202101,4호선,과천,23486,21270,44756
202101,4호선,길음,80626,78732,159358
202101,4호선,남태령,4409,3823,8232
202101,4호선,노원,96443,104989,201432
202101,4호선,당고개,61891,59169,121060
202101,4호선,대공원,19401,20935,40336
202101,4호선,대야미,23424,20854,44278
202101,4호선,동대문,66265,69361,135626
202101,4호선,동대문역사문화공원,65053,60218,125271
202101,4호선,동작,11995,12194,24189
202101,4호선,명동,69356,74567,143923
202101,4호선,미아,68709,66652,135361
202101,4호선,미아사거리,136538,132891,269429
202101,4호선,반월,20329,19641,39970
202101,4호선,범계,115067,111291,226358
202101,4호선,사당,108364,100079,208443
202101,4호선,산본,70810,73534,144344
202101,4호선,삼각지,14806,17998,32804
202101,4호선,상계,86619,82105,168724
202101,4호선,상록수,75857,75572,151429
202101,4호선,서울역,29436,54359,83795
202101,4호선,선바위,27071,25515,52586
202101,4호선,성신여대입구,99084,95863,194947
202101,4호선,수리산,17242,16276,33518
202101,4호선,수유,166998,162512,329510
202101,4호선,숙대입구,49279,47881,97160
202101,4호선,신길온천,8399,7894,16293
202101,4호선,신용산,52083,53890,105973
202101,4호선,쌍문,132405,121718,254123
202101,4호선,안산,71527,68746,140273
202101,4호선,오이도,43104,43474,86578
202101,4호선,이촌,29177,32886,62063
202101,4호선,인덕원,86767,85650,172417
202101,4호선,정부과천청사,29428,30204,59632
202101,4호선,정왕,37558,39476,77034
202101,4호선,중앙,87623,88654,176277
202101,4호선,창동,123563,131173,254736
202101,4호선,초지,17818,17754,35572
202101,4호선,총신대입구,85114,92403,177517
202101,4호선,충무로,65162,66680,131842
202101,4호선,평촌,52547,51853,104400
202101,4호선,한대앞,40376,40043,80419
202101,4호선,한성대입구,60776,59490,120266
202101,4호선,혜화,130989,133409,264398
202101,4호선,회현,82675,86198,168873
202102,4호선,경마공원,5736,5546,11282
202102,4호선,고잔,33872,32937,66809
202102,4호선,과천,24550,21722,46272
202102,4호선,길음,77805,75279,153084
202102,4호선,남태령,4864,3857,8721
202102,4호선,노원,95117,102968,198085
202102,4호선,당고개,59702,56654,116356
202102,4호선,대공원,28412,30174,58586
202102,4호선,대야미,23432,20644,44076
202102,4호선,동대문,65014,67614,132628
202102,4호선,동대문역사문화공원,63397,58136,121533
202102,4호선,동작,13419,13520,26939
202102,4호선,명동,75252,81644,156896
202102,4호선,미아,64137,61562,125699
202102,4호선,미아사거리,128502,123642,252144
202102,4호선,반월,19722,18913,38635
202102,4호선,범계,114616,110660,225276
