사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210102,1호선,가능,3054,2896,5950
20210102,1호선,가산디지털단지,2882,4278,7160
20210102,1호선,간석,2425,2241,4666
20210102,1호선,개봉,8901,8849,17750
20210102,1호선,관악,3139,2932,6071
20210102,1호선,광명,1109,840,1949
20210102,1호선,광운대,3172,3125,6297
20210102,1호선,구로,6720,6934,13654
20210102,1호선,구일,2172,2235,4407
20210102,1호선,군포,2314,2305,4619
20210102,1호선,금정,9649,9671,19320
20210102,1호선,금천구청,4336,4334,8670
20210102,1호선,남영,2809,3091,5900
20210102,1호선,노량진,4195,4115,8310
20210102,1호선,녹양,1952,1956,3908
20210102,1호선,녹천,2035,1729,3764
20210102,1호선,당정,2110,2008,4118
20210102,1호선,대방,3911,3934,7845
20210102,1호선,덕계,1132,1034,2166
20210102,1호선,덕정,2270,2205,4475
20210102,1호선,도봉,2726,2563,5289
20210102,1호선,도봉산,5859,3861,9720
20210102,1호선,도원,1205,1281,2486
20210102,1호선,도화,1807,1638,3445
20210102,1호선,독산,4358,4480,8838
20210102,1호선,동대문,5624,5478,11102
20210102,1호선,동두천,762,937,1699
20210102,1호선,동두천중앙,1499,1503,3002
20210102,1호선,동묘앞,7075,7283,14358
20210102,1호선,동암,7320,7422,14742
20210102,1호선,동인천,6559,6479,13038
20210102,1호선,두정,2363,2571,4934
20210102,1호선,망월사,3158,3235,6393
20210102,1호선,명학,2458,2389,4847
20210102,1호선,방학,4326,4290,8616
20210102,1호선,배방,408,407,815
20210102,1호선,백운,3149,3086,6235
20210102,1호선,병점,5402,5754,11156
20210102,1호선,보산,934,900,1834
20210102,1호선,봉명,411,375,786
20210102,1호선,부개,3487,3347,6834
20210102,1호선,부천,16718,16978,33696
20210102,1호선,부평,16218,17379,33597
20210102,1호선,서동탄,491,480,971
20210102,1호선,서빙고,707,611,1318
20210102,1호선,서울,15227,11569,26796
20210102,1호선,서정리,2572,2788,5360
20210102,1호선,석계,3556,3848,7404
20210102,1호선,석수,3594,3550,7144
20210102,1호선,성균관대,4958,5081,10039
20210102,1호선,성환,1498,1565,3063
20210102,1호선,세류,1187,1246,2433
20210102,1호선,세마,1006,966,1972
20210102,1호선,소사,4045,3650,7695
20210102,1호선,소요산,2090,1770,3860
20210102,1호선,송내,9715,9377,19092
20210102,1호선,송탄,2187,2166,4353
20210102,1호선,수원,18845,19061,37906
20210102,1호선,시청,4165,3871,8036
20210102,1호선,신길,3240,2848,6088
20210102,1호선,신도림,1292,1375,2667
20210102,1호선,신설동,5013,4977,9990
20210102,1호선,신이문,3548,3314,6862
20210102,1호선,신창,425,447,872
20210102,1호선,쌍용,773,703,1476
20210102,1호선,아산,1344,1102,2446
20210102,1호선,안양,9055,9027,18082
20210102,1호선,양주,3320,3111,6431
20210102,1호선,역곡,10963,11069,22032
20210102,1호선,영등포,21565,21970,43535
20210102,1호선,오류동,5052,4797,9849
20210102,1호선,오산,4655,4751,9406
20210102,1호선,오산대,1253,1121,2374
20210102,1호선,옥수,29,12,41
20210102,1호선,온수,2639,2513,5152
20210102,1호선,온양온천,2035,2011,4046
20210102,1호선,왕십리,5792,7150,12942
20210102,1호선,외대앞,3161,3161,6322
20210102,1호선,용산,15207,13779,28986
20210102,1호선,월계,2761,2708,5469
20210102,1호선,응봉,703,638,1341
20210102,1호선,의왕,3203,3144,6347
20210102,1호선,의정부,9693,10142,19835
20210102,1호선,이촌,1571,1210,2781
20210102,1호선,인천,1879,1538,3417
20210102,1호선,제기동,8727,9173,17900
20210102,1호선,제물포,3870,3784,7654
20210102,1호선,종각,7837,7398,15235
20210102,1호선,종로3가,9509,8927,18436
20210102,1호선,종로5가,7837,7863,15700
20210102,1호선,주안,8530,7736,16266
20210102,1호선,중동,3629,3505,7134
20210102,1호선,지제,1110,966,2076
20210102,1호선,지행,2975,2905,5880
20210102,1호선,직산,357,310,667
20210102,1호선,진위,531,448,979
20210102,1호선,천안,2932,2870,5802
20210102,1호선,청량리,18164,18342,36506
