사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,공항철도,검암,27421,27792,55213
202101,공항철도,계양,34858,33867,68725
202101,공항철도,공덕,8466,12166,20632
202101,공항철도,공항화물청사,9930,10430,20360
202101,공항철도,김포공항,66656,35758,102414
202101,공항철도,디지털미디어시티,28865,27794,56659
202101,공항철도,마곡나루,14632,15422,30054
202101,공항철도,서울,39040,34623,73663
202101,공항철도,영종,15339,15589,30928
202101,공항철도,운서,35842,37414,73256
202101,공항철도,인천공항1터미널,25506,26405,51911
202101,공항철도,인천공항2터미널,14662,13605,28267
202101,공항철도,청라국제도시,22107,20760,42867
202101,공항철도,홍대입구,53869,51264,105133
202102,공항철도,검암,27388,27861,55249
202102,공항철도,계양,36373,34222,70595
202102,공항철도,공덕,8379,11872,20251
202102,공항철도,공항화물청사,7972,8461,16433
202102,공항철도,김포공항,78004,38644,116648
202102,공항철도,디지털미디어시티,28178,27473,55651
202102,공항철도,마곡나루,15317,17040,32357
202102,공항철도,서울,41043,37794,78837
202102,공항철도,영종,16049,16312,32361
202102,공항철도,운서,34575,36467,71042
202102,공항철도,인천공항1터미널,23600,24129,47729
202102,공항철도,인천공항2터미널,11976,10817,22793
202102,공항철도,청라국제도시,22778,21606,44384
202102,공항철도,홍대입구,66228,62544,128772
202103,공항철도,검암,30925,31167,62092
202103,공항철도,계양,40561,37941,78502
202103,공항철도,공덕,9382,13656,23038
202103,공항철도,공항화물청사,8627,9129,17756
202103,공항철도,김포공항,82641,43031,125672
202103,공항철도,디지털미디어시티,31773,30576,62349
202103,공항철도,마곡나루,17660,19937,37597
202103,공항철도,서울,46221,45176,91397
202103,공항철도,영종,18130,17904,36034
202103,공항철도,운서,36407,37922,74329
202103,공항철도,인천공항1터미널,22457,23076,45533
202103,공항철도,인천공항2터미널,12039,11347,23386
202103,공항철도,청라국제도시,25178,24221,49399
202103,공항철도,홍대입구,71626,68418,140044
202104,공항철도,검암,31002,32243,63245
202104,공항철도,계양,41657,38809,80466
202104,공항철도,공덕,9229,13097,22326
202104,공항철도,공항화물청사,8966,9489,18455
202104,공항철도,김포공항,84658,46286,130944
202104,공항철도,디지털미디어시티,31626,31060,62686
202104,공항철도,마곡나루,20284,22508,42792
202104,공항철도,서울,49411,46809,96220
202104,공항철도,영종,18617,18637,37254
202104,공항철도,운서,39127,40368,79495
202104,공항철도,인천공항1터미널,21725,22387,44112
202104,공항철도,인천공항2터미널,11760,11230,22990
202104,공항철도,청라국제도시,25506,24829,50335
202104,공항철도,홍대입구,71604,67273,138877
202105,공항철도,검암,37794,39163,76957
202105,공항철도,계양,52699,49424,102123
202105,공항철도,공덕,12063,17059,29122
202105,공항철도,공항화물청사,11179,11800,22979
202105,공항철도,김포공항,107679,54200,161879
