사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,수인분당선,가천대,28021,33075,61096
202101,수인분당선,강남구청,28393,33485,61878
202101,수인분당선,개포동,14289,14369,28658
202101,수인분당선,고색,13361,13558,26919
202101,수인분당선,구룡,6066,5944,12010
202101,수인분당선,구성,18568,19517,38085
202101,수인분당선,기흥,40774,38584,79358
202101,수인분당선,남동인더스파크,6508,6614,13122
202101,수인분당선,달월,383,352,735
202101,수인분당선,대모산입구,13923,12765,26688
202101,수인분당선,도곡,23407,22299,45706
202101,수인분당선,망포,53155,52722,105877
202101,수인분당선,매교,11713,12141,23854
202101,수인분당선,매탄권선,19993,19456,39449
202101,수인분당선,모란,100644,102677,203321
202101,수인분당선,미금,64794,67177,131971
202101,수인분당선,보정,8921,8385,17306
202101,수인분당선,복정,3,0,3
202101,수인분당선,사리,17464,15091,32555
202101,수인분당선,상갈,23061,23448,46509
202101,수인분당선,서울숲,33074,33556,66630
202101,수인분당선,서현,116989,116450,233439
202101,수인분당선,선릉,28143,40532,68675
202101,수인분당선,선정릉,19341,20182,39523
202101,수인분당선,소래포구,33460,33650,67110
202101,수인분당선,송도,12966,12206,25172
202101,수인분당선,수내,54201,52035,106236
202101,수인분당선,수서,55186,54907,110093
202101,수인분당선,수원,45083,36657,81740
202101,수인분당선,수원시청,61739,63924,125663
202101,수인분당선,숭의,16788,15820,32608
202101,수인분당선,신갈,16037,16494,32531
202101,수인분당선,신포,8552,8698,17250
202101,수인분당선,압구정로데오,94820,100166,194986
202101,수인분당선,야목,1096,979,2075
202101,수인분당선,야탑,104531,108374,212905
202101,수인분당선,어천,3094,3379,6473
202101,수인분당선,연수,23438,23344,46782
202101,수인분당선,영통,38984,38825,77809
202101,수인분당선,오리,47086,40670,87756
202101,수인분당선,오목천,10440,9857,20297
202101,수인분당선,원인재,22902,23636,46538
202101,수인분당선,월곶,13048,12622,25670
202101,수인분당선,이매,22116,21997,44113
202101,수인분당선,인천,6973,11119,18092
202101,수인분당선,인천논현,27074,27637,54711
202101,수인분당선,인하대,26365,24531,50896
202101,수인분당선,정자,64210,65612,129822
202101,수인분당선,죽전,62668,70538,133206
202101,수인분당선,청명,15723,15411,31134
202101,수인분당선,태평,68837,66476,135313
202101,수인분당선,한티,65152,63968,129120
202101,수인분당선,호구포,15919,15912,31831
202102,수인분당선,가천대,26755,31256,58011
202102,수인분당선,강남구청,27079,32369,59448
202102,수인분당선,개포동,13978,13943,27921
202102,수인분당선,고색,11689,12476,24165
202102,수인분당선,구룡,5931,5806,11737
202102,수인분당선,구성,18105,19093,37198
202102,수인분당선,기흥,39035,37707,76742
202102,수인분당선,남동인더스파크,5742,5664,11406
202102,수인분당선,달월,409,423,832
202102,수인분당선,대모산입구,13897,12789,26686
202102,수인분당선,도곡,21952,20673,42625
202102,수인분당선,망포,51030,49866,100896
202102,수인분당선,매교,11611,12095,23706
202102,수인분당선,매탄권선,19597,18592,38189
202102,수인분당선,모란,92350,94340,186690
202102,수인분당선,미금,59885,63176,123061
202102,수인분당선,보정,8908,8355,17263
202102,수인분당선,복정,3,0,3
202102,수인분당선,사리,18528,15946,34474
202102,수인분당선,상갈,22986,22970,45956
202102,수인분당선,서울숲,39902,40953,80855
202102,수인분당선,서현,111535,112414,223949
202102,수인분당선,선릉,24822,36942,61764
202102,수인분당선,선정릉,18480,19426,37906
202102,수인분당선,소래포구,36879,36782,73661
202102,수인분당선,송도,12949,12362,25311
202102,수인분당선,수내,48945,46293,95238
202102,수인분당선,수서,55611,54380,109991
202102,수인분당선,수원,47152,38510,85662
202102,수인분당선,수원시청,59439,61932,121371
202102,수인분당선,숭의,15952,14851,30803
202102,수인분당선,신갈,15753,16114,31867
202102,수인분당선,신포,8906,9044,17950
202102,수인분당선,압구정로데오,93345,102490,195835
202102,수인분당선,야목,1160,1016,2176
202102,수인분당선,야탑,100264,103189,203453
202102,수인분당선,어천,3342,3507,6849
202102,수인분당선,연수,23116,22699,45815
202102,수인분당선,영통,36381,36900,73281
202102,수인분당선,오리,43738,37427,81165
202102,수인분당선,오목천,10261,9526,19787
202102,수인분당선,원인재,22163,22927,45090
202102,수인분당선,월곶,13280,12616,25896
202102,수인분당선,이매,22485,22583,45068
202102,수인분당선,인천,9129,14516,23645
202102,수인분당선,인천논현,25861,26586,52447
202102,수인분당선,인하대,24752,23529,48281
202102,수인분당선,정자,61186,59164,120350
202102,수인분당선,죽전,62239,69979,132218
202102,수인분당선,청명,15449,14893,30342
202102,수인분당선,태평,62301,59392,121693
202102,수인분당선,한티,63671,61206,124877
202102,수인분당선,호구포,14762,14937,29699
202103,수인분당선,가천대,31717,37179,68896
202103,수인분당선,강남구청,31845,38773,70618
202103,수인분당선,개포동,16853,16594,33447
202103,수인분당선,고색,13565,14193,27758
202103,수인분당선,구룡,7637,7737,15374
202103,수인분당선,구성,19745,21312,41057
202103,수인분당선,기흥,42116,40794,82910
202103,수인분당선,남동인더스파크,6414,6189,12603
202103,수인분당선,달월,435,466,901
202103,수인분당선,대모산입구,14905,13679,28584
202103,수인분당선,도곡,26256,24429,50685
202103,수인분당선,망포,56884,55669,112553
