사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210102,7호선,가산디지털단지,8348,7926,16274
20210102,7호선,강남구청,4752,5195,9947
20210102,7호선,건대입구,6048,6063,12111
20210102,7호선,고속터미널,6786,4984,11770
20210102,7호선,공릉,4733,4965,9698
20210102,7호선,광명사거리,10002,10003,20005
20210102,7호선,군자,6023,4865,10888
20210102,7호선,굴포천,3511,3533,7044
20210102,7호선,까치울,2779,2797,5576
20210102,7호선,남구로,5356,5433,10789
20210102,7호선,남성,4508,4489,8997
20210102,7호선,내방,4439,4451,8890
20210102,7호선,노원,9538,9526,19064
20210102,7호선,논현,6241,6719,12960
20210102,7호선,대림,4185,4099,8284
20210102,7호선,도봉산,3799,5554,9353
20210102,7호선,뚝섬유원지,3051,2951,6002
20210102,7호선,마들,5241,5133,10374
20210102,7호선,먹골,4375,4358,8733
20210102,7호선,면목,6737,6775,13512
20210102,7호선,반포,2547,2372,4919
20210102,7호선,보라매,3049,3043,6092
20210102,7호선,부천시청,5311,5251,10562
20210102,7호선,부천종합운동장,1716,1539,3255
20210102,7호선,부평구청,3822,3404,7226
20210102,7호선,사가정,7520,7373,14893
20210102,7호선,삼산체육관,1567,1481,3048
20210102,7호선,상도,3819,3807,7626
20210102,7호선,상동,5086,4998,10084
20210102,7호선,상봉,7765,7612,15377
20210102,7호선,수락산,6122,6047,12169
20210102,7호선,숭실대입구,4311,4546,8857
20210102,7호선,신대방삼거리,6370,6505,12875
20210102,7호선,신중동,5267,5123,10390
20210102,7호선,신풍,4738,4554,9292
20210102,7호선,어린이대공원,6519,6429,12948
20210102,7호선,온수,3449,3291,6740
20210102,7호선,용마산,2652,2712,5364
20210102,7호선,이수,6211,5946,12157
20210102,7호선,장승배기,4047,3956,8003
20210102,7호선,장암,776,491,1267
20210102,7호선,중계,5312,4819,10131
20210102,7호선,중곡,4064,3952,8016
20210102,7호선,중화,4660,4605,9265
20210102,7호선,천왕,3655,3538,7193
20210102,7호선,철산,8164,8106,16270
20210102,7호선,청담,5865,6086,11951
20210102,7호선,춘의,2884,2800,5684
20210102,7호선,태릉입구,3525,3119,6644
20210102,7호선,하계,6884,6546,13430
20210102,7호선,학동,4812,5038,9850
20210103,7호선,가산디지털단지,6325,6146,12471
20210103,7호선,강남구청,2934,3211,6145
20210103,7호선,건대입구,4661,4680,9341
20210103,7호선,고속터미널,9182,4369,13551
20210103,7호선,공릉,3606,3817,7423
20210103,7호선,광명사거리,7651,7501,15152
20210103,7호선,군자,4405,3813,8218
20210103,7호선,굴포천,2758,2571,5329
20210103,7호선,까치울,2189,2083,4272
20210103,7호선,남구로,4494,4218,8712
20210103,7호선,남성,3178,3373,6551
20210103,7호선,내방,3025,3092,6117
20210103,7호선,노원,6282,6206,12488
20210103,7호선,논현,3759,4060,7819
20210103,7호선,대림,3747,3475,7222
20210103,7호선,도봉산,3116,4609,7725
20210103,7호선,뚝섬유원지,2431,2347,4778
20210103,7호선,마들,3443,3202,6645
20210103,7호선,먹골,3266,3297,6563
20210103,7호선,면목,5107,5158,10265
20210103,7호선,반포,1715,1744,3459
20210103,7호선,보라매,2316,2426,4742
20210103,7호선,부천시청,3893,3769,7662
20210103,7호선,부천종합운동장,1417,1268,2685
20210103,7호선,부평구청,2980,2611,5591
20210103,7호선,사가정,5658,5555,11213
20210103,7호선,삼산체육관,1220,1179,2399
20210103,7호선,상도,2822,2988,5810
20210103,7호선,상동,3690,3573,7263
20210103,7호선,상봉,5733,5488,11221
20210103,7호선,수락산,5125,5092,10217
20210103,7호선,숭실대입구,3129,3493,6622
20210103,7호선,신대방삼거리,4688,4888,9576
20210103,7호선,신중동,3971,3743,7714
20210103,7호선,신풍,3515,3355,6870
20210103,7호선,어린이대공원,5852,5920,11772
20210103,7호선,온수,2394,2399,4793
20210103,7호선,용마산,1988,2179,4167
20210103,7호선,이수,4398,4335,8733
20210103,7호선,장승배기,2935,2962,5897
20210103,7호선,장암,736,463,1199
20210103,7호선,중계,4017,3650,7667
20210103,7호선,중곡,3093,3012,6105
20210103,7호선,중화,3426,3413,6839
20210103,7호선,천왕,2730,2604,5334
20210103,7호선,철산,5680,5817,11497
20210103,7호선,청담,3667,3926,7593
20210103,7호선,춘의,2135,1949,4084
20210103,7호선,태릉입구,2571,2432,5003
20210103,7호선,하계,5029,4779,9808
20210103,7호선,학동,2952,3215,6167
20210109,7호선,가산디지털단지,11121,10329,21450
20210109,7호선,강남구청,6596,6899,13495
20210109,7호선,건대입구,7865,7517,15382
20210109,7호선,고속터미널,7516,6647,14163
20210109,7호선,공릉,5719,5817,11536
20210109,7호선,광명사거리,11838,11963,23801
20210109,7호선,군자,7269,5854,13123
20210109,7호선,굴포천,4390,4559,8949
20210109,7호선,까치울,3334,3440,6774
20210109,7호선,남구로,6310,6580,12890
20210109,7호선,남성,5697,5276,10973
20210109,7호선,내방,5808,5620,11428
20210109,7호선,노원,10695,10804,21499
20210109,7호선,논현,8041,8832,16873
20210109,7호선,대림,4836,4972,9808
20210109,7호선,도봉산,3657,5147,8804
20210109,7호선,뚝섬유원지,3235,3247,6482
20210109,7호선,마들,6194,5988,12182
20210109,7호선,먹골,5188,5274,10462
20210109,7호선,면목,7942,7894,15836
20210109,7호선,반포,3027,2806,5833
20210109,7호선,보라매,4035,4038,8073
20210109,7호선,부천시청,6387,6480,12867
20210109,7호선,부천종합운동장,1938,1745,3683
20210109,7호선,부평구청,4677,4280,8957
20210109,7호선,사가정,8519,8519,17038
20210109,7호선,삼산체육관,1975,1874,3849
20210109,7호선,상도,5006,4721,9727
20210109,7호선,상동,6299,6436,12735
20210109,7호선,상봉,9194,8877,18071
