사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210102,경의중앙선,가좌,1938,1928,3866
20210102,경의중앙선,강매,997,898,1895
20210102,경의중앙선,곡산,200,203,403
20210102,경의중앙선,공덕,1140,925,2065
20210102,경의중앙선,구리,5370,5621,10991
20210102,경의중앙선,국수,339,374,713
20210102,경의중앙선,금릉,1825,1756,3581
20210102,경의중앙선,금촌,2766,2843,5609
20210102,경의중앙선,능곡,1423,1400,2823
20210102,경의중앙선,덕소,2374,2411,4785
20210102,경의중앙선,도농,3341,3191,6532
20210102,경의중앙선,도심,877,785,1662
20210102,경의중앙선,디지털미디어시티,885,803,1688
20210102,경의중앙선,망우,3348,3418,6766
20210102,경의중앙선,문산,2261,2272,4533
20210102,경의중앙선,백마,2035,1927,3962
20210102,경의중앙선,상봉,2789,2620,5409
20210102,경의중앙선,서강대,859,822,1681
20210102,경의중앙선,서울,477,514,991
20210102,경의중앙선,수색,642,673,1315
20210102,경의중앙선,신원,154,137,291
20210102,경의중앙선,신촌,163,150,313
20210102,경의중앙선,아신,249,236,485
20210102,경의중앙선,야당,2450,2321,4771
20210102,경의중앙선,양수,918,894,1812
20210102,경의중앙선,양원,555,550,1105
20210102,경의중앙선,양정,290,245,535
20210102,경의중앙선,양평,1172,1117,2289
20210102,경의중앙선,오빈,124,117,241
20210102,경의중앙선,용문,963,922,1885
20210102,경의중앙선,운길산,628,577,1205
20210102,경의중앙선,운정,2095,2049,4144
20210102,경의중앙선,원덕,152,108,260
20210102,경의중앙선,월롱,539,577,1116
20210102,경의중앙선,일산,2999,2925,5924
20210102,경의중앙선,임진강,19,19,38
20210102,경의중앙선,중랑,2505,2473,4978
20210102,경의중앙선,지평,20,20,40
20210102,경의중앙선,탄현,2721,2646,5367
20210102,경의중앙선,파주,399,312,711
20210102,경의중앙선,팔당,807,828,1635
20210102,경의중앙선,풍산,2121,2013,4134
20210102,경의중앙선,행신,2479,2467,4946
20210102,경의중앙선,홍대입구,708,793,1501
20210102,경의중앙선,화전,449,454,903
20210102,경의중앙선,회기,9073,9143,18216
20210102,경의중앙선,효창공원앞,935,1040,1975
20210103,경의중앙선,가좌,1483,1505,2988
20210103,경의중앙선,강매,741,712,1453
20210103,경의중앙선,곡산,143,131,274
20210103,경의중앙선,공덕,837,682,1519
20210103,경의중앙선,구리,3943,4141,8084
20210103,경의중앙선,국수,315,269,584
20210103,경의중앙선,금릉,1363,1344,2707
20210103,경의중앙선,금촌,2225,2352,4577
20210103,경의중앙선,능곡,1233,1142,2375
20210103,경의중앙선,덕소,1903,1856,3759
20210103,경의중앙선,도농,2611,2585,5196
20210103,경의중앙선,도심,706,596,1302
20210103,경의중앙선,디지털미디어시티,709,686,1395
20210103,경의중앙선,망우,2607,2558,5165
20210103,경의중앙선,문산,1890,1822,3712
20210103,경의중앙선,백마,1687,1632,3319
20210103,경의중앙선,상봉,2268,2161,4429
20210103,경의중앙선,서강대,616,670,1286
20210103,경의중앙선,서울,493,453,946
20210103,경의중앙선,수색,473,519,992
20210103,경의중앙선,신원,149,97,246
20210103,경의중앙선,신촌,103,116,219
20210103,경의중앙선,아신,217,237,454
20210103,경의중앙선,야당,1945,1830,3775
20210103,경의중앙선,양수,748,687,1435
20210103,경의중앙선,양원,440,445,885
20210103,경의중앙선,양정,250,234,484
20210103,경의중앙선,양평,1267,1047,2314
20210103,경의중앙선,오빈,101,89,190
20210103,경의중앙선,용문,933,699,1632
20210103,경의중앙선,운길산,550,487,1037
20210103,경의중앙선,운정,1765,1657,3422
20210103,경의중앙선,원덕,193,127,320
20210103,경의중앙선,월롱,413,824,1237
20210103,경의중앙선,일산,2683,2424,5107
20210103,경의중앙선,임진강,15,18,33
20210103,경의중앙선,중랑,1973,1918,3891
20210103,경의중앙선,지평,33,14,47
20210103,경의중앙선,탄현,2226,2087,4313
20210103,경의중앙선,파주,348,310,658
20210103,경의중앙선,팔당,736,762,1498
20210103,경의중앙선,풍산,1773,1619,3392
20210103,경의중앙선,행신,2178,2149,4327
20210103,경의중앙선,홍대입구,579,635,1214
20210103,경의중앙선,화전,384,373,757
20210103,경의중앙선,회기,7810,8289,16099
20210103,경의중앙선,효창공원앞,685,867,1552
20210109,경의중앙선,가좌,2283,2237,4520
20210109,경의중앙선,강매,1112,963,2075
20210109,경의중앙선,곡산,188,201,389
20210109,경의중앙선,공덕,1554,1105,2659
20210109,경의중앙선,구리,6151,6512,12663
20210109,경의중앙선,국수,292,322,614
20210109,경의중앙선,금릉,1952,1948,3900
20210109,경의중앙선,금촌,3008,2923,5931
20210109,경의중앙선,능곡,1503,1552,3055
20210109,경의중앙선,덕소,2619,2611,5230
20210109,경의중앙선,도농,3852,3836,7688
20210109,경의중앙선,도심,936,828,1764
20210109,경의중앙선,디지털미디어시티,1037,970,2007
20210109,경의중앙선,망우,3638,3604,7242
20210109,경의중앙선,문산,2372,2431,4803
20210109,경의중앙선,백마,2358,2286,4644
20210109,경의중앙선,상봉,2913,3068,5981
20210109,경의중앙선,서강대,981,929,1910
20210109,경의중앙선,서울,589,664,1253
20210109,경의중앙선,수색,744,732,1476
20210109,경의중앙선,신원,81,98,179
20210109,경의중앙선,신촌,201,205,406
20210109,경의중앙선,아신,248,240,488
20210109,경의중앙선,야당,2778,2679,5457
20210109,경의중앙선,양수,843,865,1708
20210109,경의중앙선,양원,617,587,1204
20210109,경의중앙선,양정,294,259,553
20210109,경의중앙선,양평,1245,1222,2467
20210109,경의중앙선,오빈,132,139,271
20210109,경의중앙선,용문,857,978,1835
20210109,경의중앙선,운길산,389,431,820
20210109,경의중앙선,운정,2337,2306,4643
20210109,경의중앙선,원덕,143,139,282
20210109,경의중앙선,월롱,829,718,1547
20210109,경의중앙선,일산,3441,3458,6899
20210109,경의중앙선,임진강,6,11,17
20210109,경의중앙선,중랑,2883,2814,5697
20210109,경의중앙선,지평,19,10,29
20210109,경의중앙선,탄현,3098,3159,6257
20210109,경의중앙선,파주,447,326,773
20210109,경의중앙선,팔당,601,639,1240
20210109,경의중앙선,풍산,2248,2266,4514
20210109,경의중앙선,행신,2876,2924,5800
20210109,경의중앙선,홍대입구,820,931,1751
