사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,4호선,경마공원,20098,20158,40256
202101,4호선,고잔,152577,146235,298812
202101,4호선,과천,95291,89177,184468
202101,4호선,길음,353056,349869,702925
202101,4호선,남태령,21552,18359,39911
202101,4호선,노원,322712,360600,683312
202101,4호선,당고개,214649,198432,413081
202101,4호선,대공원,29557,31455,61012
202101,4호선,대야미,84595,77112,161707
202101,4호선,동대문,348126,355543,703669
202101,4호선,동대문역사문화공원,254374,234661,489035
202101,4호선,동작,41143,43157,84300
202101,4호선,명동,281090,285318,566408
202101,4호선,미아,262548,259915,522463
202101,4호선,미아사거리,482764,481076,963840
202101,4호선,반월,73682,71139,144821
202101,4호선,범계,443754,432965,876719
202101,4호선,사당,409224,340203,749427
202101,4호선,산본,276162,287166,563328
202101,4호선,삼각지,82263,89194,171457
202101,4호선,상계,337471,316577,654048
202101,4호선,상록수,280168,285053,565221
202101,4호선,서울,188509,249945,438454
202101,4호선,선바위,147924,131514,279438
202101,4호선,성신여대입구,333495,323676,657171
202101,4호선,수리산,74409,61183,135592
202101,4호선,수유,601138,606093,1207231
202101,4호선,숙대입구,213607,212286,425893
202101,4호선,신길온천,28362,26113,54475
202101,4호선,신용산,269584,278580,548164
202101,4호선,쌍문,526260,492922,1019182
202101,4호선,안산,216892,195821,412713
202101,4호선,오이도,144204,140063,284267
202101,4호선,이촌,117316,131552,248868
202101,4호선,인덕원,426777,447846,874623
202101,4호선,정부과천청사,169370,167265,336635
202101,4호선,정왕,132704,142666,275370
202101,4호선,중앙,282461,293799,576260
202101,4호선,창동,451561,483594,935155
202101,4호선,초지,77614,79210,156824
202101,4호선,총신대입구,332698,362385,695083
202101,4호선,충무로,471544,480893,952437
202101,4호선,평촌,332003,328144,660147
202101,4호선,한대앞,144796,146038,290834
202101,4호선,한성대입구,225410,224777,450187
202101,4호선,혜화,510046,497916,1007962
202101,4호선,회현,396104,407300,803404
202102,4호선,경마공원,19017,19048,38065
202102,4호선,고잔,149281,143200,292481
202102,4호선,과천,96474,89472,185946
202102,4호선,길음,354010,345829,699839
202102,4호선,남태령,20612,18319,38931
202102,4호선,노원,335531,371207,706738
202102,4호선,당고개,218238,200170,418408
202102,4호선,대공원,36819,38312,75131
202102,4호선,대야미,85365,76269,161634
202102,4호선,동대문,337663,350550,688213
202102,4호선,동대문역사문화공원,253068,234100,487168
202102,4호선,동작,42477,44805,87282
202102,4호선,명동,290035,299808,589843
202102,4호선,미아,263040,259832,522872
202102,4호선,미아사거리,486605,479246,965851
202102,4호선,반월,73920,70935,144855
202102,4호선,범계,445267,435154,880421
202102,4호선,사당,418420,349767,768187
202102,4호선,산본,281072,300169,581241
202102,4호선,삼각지,81074,89687,170761
202102,4호선,상계,337713,314415,652128
202102,4호선,상록수,279943,282785,562728
202102,4호선,서울,185598,261994,447592
202102,4호선,선바위,144599,126147,270746
202102,4호선,성신여대입구,345923,333204,679127
202102,4호선,수리산,72848,58891,131739
202102,4호선,수유,603195,602910,1206105
202102,4호선,숙대입구,219885,215809,435694
202102,4호선,신길온천,28812,26597,55409
202102,4호선,신용산,271491,284934,556425
202102,4호선,쌍문,524451,485987,1010438
202102,4호선,안산,214492,197016,411508
202102,4호선,오이도,147233,143188,290421
202102,4호선,이촌,123841,138587,262428
