사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,4호선,경마공원,224,234,458
20210101,4호선,고잔,2051,1879,3930
20210101,4호선,과천,1237,1114,2351
20210101,4호선,길음,4472,4344,8816
20210101,4호선,남태령,256,235,491
20210101,4호선,노원,5372,5997,11369
20210101,4호선,당고개,3814,3739,7553
20210101,4호선,대공원,1004,992,1996
20210101,4호선,대야미,1445,1322,2767
20210101,4호선,동대문,2553,2506,5059
20210101,4호선,동대문역사문화공원,3433,2933,6366
20210101,4호선,동작,881,901,1782
20210101,4호선,명동,4270,4248,8518
20210101,4호선,미아,4256,4083,8339
20210101,4호선,미아사거리,7803,7425,15228
20210101,4호선,반월,1307,1311,2618
20210101,4호선,범계,5658,5396,11054
20210101,4호선,사당,5982,5539,11521
20210101,4호선,산본,4196,4530,8726
20210101,4호선,삼각지,770,852,1622
20210101,4호선,상계,5339,5022,10361
20210101,4호선,상록수,4734,4921,9655
20210101,4호선,서울,1925,3471,5396
20210101,4호선,선바위,1466,1467,2933
20210101,4호선,성신여대입구,5893,5612,11505
20210101,4호선,수리산,1062,968,2030
20210101,4호선,수유,10525,10242,20767
20210101,4호선,숙대입구,2782,2512,5294
20210101,4호선,신길온천,525,499,1024
20210101,4호선,신용산,2912,3251,6163
20210101,4호선,쌍문,7683,7352,15035
20210101,4호선,안산,4941,5147,10088
20210101,4호선,오이도,3185,3299,6484
20210101,4호선,이촌,1459,1662,3121
20210101,4호선,인덕원,4769,4876,9645
20210101,4호선,정부과천청사,1663,1723,3386
20210101,4호선,정왕,2906,2759,5665
20210101,4호선,중앙,4962,5197,10159
20210101,4호선,창동,7060,7804,14864
20210101,4호선,초지,1072,1214,2286
20210101,4호선,총신대입구,4704,4911,9615
20210101,4호선,충무로,3693,3421,7114
20210101,4호선,평촌,3055,2990,6045
20210101,4호선,한대앞,2416,2573,4989
20210101,4호선,한성대입구,3475,3358,6833
20210101,4호선,혜화,7099,7128,14227
20210101,4호선,회현,2567,2621,5188
20210104,4호선,경마공원,683,673,1356
20210104,4호선,고잔,6987,6648,13635
20210104,4호선,과천,4156,3834,7990
20210104,4호선,길음,16336,16016,32352
20210104,4호선,남태령,809,727,1536
20210104,4호선,노원,14702,16417,31119
20210104,4호선,당고개,10081,9261,19342
20210104,4호선,대공원,1264,1344,2608
20210104,4호선,대야미,3915,3653,7568
20210104,4호선,동대문,16383,17097,33480
20210104,4호선,동대문역사문화공원,11737,10955,22692
20210104,4호선,동작,1879,2018,3897
20210104,4호선,명동,13349,13603,26952
20210104,4호선,미아,12483,12416,24899
20210104,4호선,미아사거리,22804,22485,45289
20210104,4호선,반월,3419,3295,6714
20210104,4호선,범계,19781,19174,38955
20210104,4호선,사당,18371,15731,34102
20210104,4호선,산본,12625,13549,26174
20210104,4호선,삼각지,3697,3944,7641
20210104,4호선,상계,16198,15010,31208
20210104,4호선,상록수,13086,13257,26343
20210104,4호선,서울,8841,10657,19498
20210104,4호선,선바위,6888,5931,12819
20210104,4호선,성신여대입구,14939,14451,29390
20210104,4호선,수리산,3503,2958,6461
20210104,4호선,수유,28501,28601,57102
20210104,4호선,숙대입구,9791,9688,19479
20210104,4호선,신길온천,1328,1226,2554
20210104,4호선,신용산,12089,12545,24634
20210104,4호선,쌍문,24706,23125,47831
20210104,4호선,안산,10028,8952,18980
20210104,4호선,오이도,6491,6135,12626
20210104,4호선,이촌,5134,5773,10907
20210104,4호선,인덕원,19383,20340,39723
20210104,4호선,정부과천청사,7551,7486,15037
20210104,4호선,정왕,5993,6723,12716
20210104,4호선,중앙,12631,12890,25521
20210104,4호선,창동,20857,22094,42951
20210104,4호선,초지,3496,3567,7063
20210104,4호선,총신대입구,15008,16388,31396
20210104,4호선,충무로,22258,23061,45319
20210104,4호선,평촌,15205,15196,30401
20210104,4호선,한대앞,6587,6636,13223
20210104,4호선,한성대입구,9987,10003,19990
20210104,4호선,혜화,21467,21296,42763
20210104,4호선,회현,18674,19400,38074
20210105,4호선,경마공원,766,776,1542
20210105,4호선,고잔,6936,6663,13599
20210105,4호선,과천,4131,3865,7996
20210105,4호선,길음,16396,16253,32649
20210105,4호선,남태령,835,761,1596
20210105,4호선,노원,14850,16453,31303
20210105,4호선,당고개,10110,9315,19425
20210105,4호선,대공원,1312,1436,2748
20210105,4호선,대야미,3882,3557,7439
20210105,4호선,동대문,17081,17565,34646
20210105,4호선,동대문역사문화공원,11616,10737,22353
20210105,4호선,동작,1780,1966,3746
20210105,4호선,명동,13214,13468,26682
20210105,4호선,미아,12436,12319,24755
20210105,4호선,미아사거리,22845,22604,45449
20210105,4호선,반월,3429,3260,6689
20210105,4호선,범계,20157,19661,39818
20210105,4호선,사당,18574,15738,34312
20210105,4호선,산본,12497,13395,25892
20210105,4호선,삼각지,3778,4024,7802
20210105,4호선,상계,16051,15078,31129
20210105,4호선,상록수,13068,13295,26363
20210105,4호선,서울,8622,10450,19072
20210105,4호선,선바위,6696,5960,12656
20210105,4호선,성신여대입구,15108,14590,29698
20210105,4호선,수리산,3573,2951,6524
20210105,4호선,수유,28226,28103,56329
20210105,4호선,숙대입구,9876,9766,19642
20210105,4호선,신길온천,1254,1146,2400
20210105,4호선,신용산,12115,12456,24571
20210105,4호선,쌍문,24758,23239,47997
20210105,4호선,안산,9797,8794,18591
20210105,4호선,오이도,6402,6202,12604
20210105,4호선,이촌,5099,5812,10911
20210105,4호선,인덕원,19314,20115,39429
20210105,4호선,정부과천청사,7555,7458,15013
20210105,4호선,정왕,5864,6207,12071
20210105,4호선,중앙,12249,12628,24877
