사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,5호선,강동,4573,4312,8885
20210101,5호선,개롱,1407,1603,3010
20210101,5호선,개화산,1508,1535,3043
20210101,5호선,거여,1714,1667,3381
20210101,5호선,고덕,1938,1913,3851
20210101,5호선,공덕,2070,2190,4260
20210101,5호선,광나루,3550,3586,7136
20210101,5호선,광화문,4886,4653,9539
20210101,5호선,군자,3032,3226,6258
20210101,5호선,굽은다리,2626,2526,5152
20210101,5호선,길동,2124,2191,4315
20210101,5호선,김포공항,3099,3386,6485
20210101,5호선,까치산,8210,8148,16358
20210101,5호선,답십리,3853,3522,7375
20210101,5호선,동대문역사문화공원,403,455,858
20210101,5호선,둔촌동,1995,1984,3979
20210101,5호선,마곡,1453,1473,2926
20210101,5호선,마장,1416,1355,2771
20210101,5호선,마천,1677,1824,3501
20210101,5호선,마포,2315,2340,4655
20210101,5호선,명일,1784,1798,3582
20210101,5호선,목동,3552,3732,7284
20210101,5호선,미사,3515,3402,6917
20210101,5호선,발산,3911,3932,7843
20210101,5호선,방이,1585,1605,3190
20210101,5호선,방화,1913,1825,3738
20210101,5호선,상일동,3244,3173,6417
20210101,5호선,서대문,2456,2396,4852
20210101,5호선,송정,1951,1966,3917
20210101,5호선,신금호,1464,1538,3002
20210101,5호선,신길,967,962,1929
20210101,5호선,신정,3239,2855,6094
20210101,5호선,아차산,5049,5065,10114
20210101,5호선,애오개,1263,1239,2502
20210101,5호선,양평,1298,1221,2519
20210101,5호선,여의나루,1602,1526,3128
20210101,5호선,여의도,2573,2691,5264
20210101,5호선,영등포구청,648,600,1248
20210101,5호선,영등포시장,2039,2016,4055
20210101,5호선,오금,720,677,1397
20210101,5호선,오목교,4772,5030,9802
20210101,5호선,올림픽공원,899,840,1739
20210101,5호선,왕십리,1270,1476,2746
20210101,5호선,우장산,3032,3250,6282
20210101,5호선,을지로4가,562,569,1131
20210101,5호선,장한평,3558,3493,7051
20210101,5호선,종로3가,2688,2665,5353
20210101,5호선,천호,5513,5265,10778
20210101,5호선,청구,861,799,1660
20210101,5호선,충정로,714,676,1390
20210101,5호선,하남풍산,1243,1388,2631
20210101,5호선,행당,1838,1688,3526
20210101,5호선,화곡,7312,6811,14123
20210104,5호선,강동,16115,15288,31403
20210104,5호선,개롱,5158,5451,10609
20210104,5호선,개화산,4168,4084,8252
20210104,5호선,거여,6392,6241,12633
20210104,5호선,고덕,7002,7050,14052
20210104,5호선,공덕,11897,12700,24597
20210104,5호선,광나루,10097,9179,19276
20210104,5호선,광화문,25112,25525,50637
20210104,5호선,군자,8719,9632,18351
20210104,5호선,굽은다리,7666,7266,14932
20210104,5호선,길동,6505,6767,13272
20210104,5호선,김포공항,5323,4662,9985
20210104,5호선,까치산,24061,23599,47660
20210104,5호선,답십리,13452,12752,26204
20210104,5호선,동대문역사문화공원,2677,2943,5620
20210104,5호선,둔촌동,6806,6926,13732
20210104,5호선,마곡,8137,7840,15977
20210104,5호선,마장,4533,4324,8857
20210104,5호선,마천,4855,4886,9741
20210104,5호선,마포,11915,12271,24186
20210104,5호선,명일,6689,7012,13701
20210104,5호선,목동,13765,15513,29278
20210104,5호선,미사,11018,11072,22090
20210104,5호선,발산,14760,14776,29536
20210104,5호선,방이,5581,5814,11395
20210104,5호선,방화,5500,5324,10824
20210104,5호선,상일동,13393,12454,25847
20210104,5호선,서대문,15854,16297,32151
20210104,5호선,송정,5370,5044,10414
20210104,5호선,신금호,5215,5500,10715
20210104,5호선,신길,3321,3742,7063
20210104,5호선,신정,11860,9533,21393
20210104,5호선,아차산,11374,11442,22816
20210104,5호선,애오개,5476,5575,11051
20210104,5호선,양평,6510,6673,13183
20210104,5호선,여의나루,6410,6464,12874
20210104,5호선,여의도,23419,23969,47388
20210104,5호선,영등포구청,3591,3580,7171
20210104,5호선,영등포시장,7995,8195,16190
20210104,5호선,오금,3156,3082,6238
20210104,5호선,오목교,17581,18982,36563
20210104,5호선,올림픽공원,3272,2837,6109
20210104,5호선,왕십리,3547,3786,7333
20210104,5호선,우장산,11011,11189,22200
20210104,5호선,을지로4가,5284,5370,10654
20210104,5호선,장한평,15466,15429,30895
20210104,5호선,종로3가,7706,7575,15281
20210104,5호선,천호,14075,14241,28316
20210104,5호선,청구,3334,3028,6362
20210104,5호선,충정로,4114,4280,8394
20210104,5호선,하남풍산,3958,3903,7861
20210104,5호선,행당,6846,6207,13053
20210104,5호선,화곡,23684,22460,46144
20210105,5호선,강동,16278,15247,31525
20210105,5호선,개롱,5080,5410,10490
20210105,5호선,개화산,4201,4088,8289
20210105,5호선,거여,6498,6150,12648
20210105,5호선,고덕,7030,7062,14092
20210105,5호선,공덕,11851,12601,24452
20210105,5호선,광나루,10364,9411,19775
20210105,5호선,광화문,24808,25537,50345
20210105,5호선,군자,9069,9867,18936
20210105,5호선,굽은다리,7640,7335,14975
20210105,5호선,길동,6394,6734,13128
20210105,5호선,김포공항,4925,4585,9510
20210105,5호선,까치산,23932,23680,47612
20210105,5호선,답십리,13383,12513,25896
20210105,5호선,동대문역사문화공원,2605,2947,5552
20210105,5호선,둔촌동,6783,6882,13665
20210105,5호선,마곡,8136,7756,15892
20210105,5호선,마장,4622,4380,9002
20210105,5호선,마천,4928,5049,9977
20210105,5호선,마포,12171,12395,24566
20210105,5호선,명일,6754,7047,13801
20210105,5호선,목동,13828,15508,29336
20210105,5호선,미사,11005,11134,22139
20210105,5호선,발산,15081,15200,30281
20210105,5호선,방이,5684,5854,11538
20210105,5호선,방화,5418,5284,10702
20210105,5호선,상일동,13390,12347,25737
20210105,5호선,서대문,15813,16020,31833
20210105,5호선,송정,5473,5143,10616
20210105,5호선,신금호,5340,5615,10955
20210105,5호선,신길,3343,3778,7121
20210105,5호선,신정,11865,9555,21420
20210105,5호선,아차산,11385,11531,22916
20210105,5호선,애오개,5572,5737,11309
20210105,5호선,양평,6535,6652,13187
20210105,5호선,여의나루,6219,6338,12557
20210105,5호선,여의도,23381,23813,47194
20210105,5호선,영등포구청,3495,3561,7056
20210105,5호선,영등포시장,7802,7990,15792
20210105,5호선,오금,3218,3035,6253
20210105,5호선,오목교,17755,19038,36793
20210105,5호선,올림픽공원,3293,2799,6092
20210105,5호선,왕십리,3671,3874,7545
20210105,5호선,우장산,11095,11294,22389
20210105,5호선,을지로4가,5450,5326,10776
20210105,5호선,장한평,15625,15520,31145
20210105,5호선,종로3가,7861,7816,15677
20210105,5호선,천호,14420,14293,28713
20210105,5호선,청구,3406,3129,6535
20210105,5호선,충정로,4047,4171,8218
