사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,경의중앙선,가좌,91065,87138,178203
202101,경의중앙선,강매,53527,47490,101017
202101,경의중앙선,검암,1,0,1
202101,경의중앙선,계양,3,0,3
202101,경의중앙선,곡산,8839,9048,17887
202101,경의중앙선,공덕,61846,52888,114734
202101,경의중앙선,구리,232020,238050,470070
202101,경의중앙선,국수,10126,10225,20351
202101,경의중앙선,금릉,73856,71450,145306
202101,경의중앙선,금촌,102411,102371,204782
202101,경의중앙선,능곡,61783,56804,118587
202101,경의중앙선,덕소,94993,95564,190557
202101,경의중앙선,도농,169913,158210,328123
202101,경의중앙선,도심,41919,33503,75422
202101,경의중앙선,디지털미디어시티,41076,39994,81070
202101,경의중앙선,망우,128328,127897,256225
202101,경의중앙선,문산,79695,79174,158869
202101,경의중앙선,백마,113617,111094,224711
202101,경의중앙선,상봉,98341,100600,198941
202101,경의중앙선,서강대,32738,31384,64122
202101,경의중앙선,서울역,68543,84407,152950
202101,경의중앙선,수색,43801,44955,88756
202101,경의중앙선,신원,2942,2698,5640
202101,경의중앙선,신촌,13958,16361,30319
202101,경의중앙선,아신,7771,7772,15543
202101,경의중앙선,야당,101199,98365,199564
202101,경의중앙선,양수,25585,25823,51408
202101,경의중앙선,양원,24215,24447,48662
202101,경의중앙선,양정,12832,10836,23668
202101,경의중앙선,양평,41120,40661,81781
202101,경의중앙선,오빈,4407,4299,8706
202101,경의중앙선,용문,25338,26085,51423
202101,경의중앙선,운길산,10198,9348,19546
202101,경의중앙선,운정,102869,98553,201422
202101,경의중앙선,원덕,4518,4416,8934
202101,경의중앙선,월롱,36062,31527,67589
202101,경의중앙선,일산,152592,155553,308145
202101,경의중앙선,임진강,183,109,292
202101,경의중앙선,중랑,93890,91408,185298
202101,경의중앙선,지평,811,840,1651
202101,경의중앙선,탄현,126350,125110,251460
202101,경의중앙선,파주,15700,11885,27585
202101,경의중앙선,팔당,13363,13304,26667
202101,경의중앙선,풍산,89106,85044,174150
202101,경의중앙선,행신,130009,132096,262105
202101,경의중앙선,홍대입구,24991,27264,52255
202101,경의중앙선,화전,24199,22642,46841
202101,경의중앙선,회기,382625,374410,757035
202101,경의중앙선,효창공원앞,51184,59373,110557
202102,경의중앙선,가좌,93374,88284,181658
202102,경의중앙선,강매,54617,47872,102489
202102,경의중앙선,검암,1,0,1
202102,경의중앙선,계양,3,0,3
202102,경의중앙선,곡산,8994,9091,18085
202102,경의중앙선,공덕,62011,53994,116005
202102,경의중앙선,구리,234666,239721,474387
202102,경의중앙선,국수,11071,11159,22230
202102,경의중앙선,금릉,78220,75889,154109
202102,경의중앙선,금촌,108932,108117,217049
202102,경의중앙선,김포공항,1,0,1
202102,경의중앙선,능곡,63845,57899,121744
202102,경의중앙선,덕소,97501,96996,194497
202102,경의중앙선,도농,170711,157354,328065
202102,경의중앙선,도심,41572,32902,74474
202102,경의중앙선,디지털미디어시티,42440,41130,83570
202102,경의중앙선,망우,130698,129377,260075
202102,경의중앙선,문산,85043,84482,169525
202102,경의중앙선,백마,117913,114116,232029
202102,경의중앙선,상봉,100712,104610,205322
202102,경의중앙선,서강대,34848,33909,68757
202102,경의중앙선,서울역,68695,86037,154732
202102,경의중앙선,수색,44009,45473,89482
202102,경의중앙선,신원,3174,2814,5988
202102,경의중앙선,신촌,14587,17368,31955
202102,경의중앙선,아신,8694,8776,17470
202102,경의중앙선,야당,109690,106711,216401
202102,경의중앙선,양수,28814,29221,58035
202102,경의중앙선,양원,24962,25090,50052
202102,경의중앙선,양정,12682,10880,23562
202102,경의중앙선,양평,46255,47443,93698
202102,경의중앙선,오빈,4455,4391,8846
202102,경의중앙선,용문,28684,30129,58813
202102,경의중앙선,운길산,11060,10260,21320
202102,경의중앙선,운정,106731,100868,207599
202102,경의중앙선,원덕,5287,5198,10485
202102,경의중앙선,월롱,36821,31709,68530
202102,경의중앙선,일산,158588,160159,318747
202102,경의중앙선,임진강,251,161,412
202102,경의중앙선,중랑,94965,91509,186474
202102,경의중앙선,지평,964,921,1885
202102,경의중앙선,탄현,130698,127737,258435
202102,경의중앙선,파주,17137,12922,30059
202102,경의중앙선,팔당,14909,14907,29816
202102,경의중앙선,풍산,93679,88702,182381
202102,경의중앙선,행신,133348,134107,267455
202102,경의중앙선,홍대입구,27122,30018,57140
202102,경의중앙선,화전,24748,23106,47854
202102,경의중앙선,회기,404604,390733,795337
202102,경의중앙선,효창공원앞,50379,57736,108115
202103,경의중앙선,가좌,120613,112808,233421
202103,경의중앙선,강매,71662,62795,134457
202103,경의중앙선,계양,7,0,7
202103,경의중앙선,곡산,13497,14029,27526
202103,경의중앙선,공덕,78243,69836,148079
202103,경의중앙선,구리,301598,307565,609163
202103,경의중앙선,국수,16925,16388,33313
202103,경의중앙선,금릉,101338,99433,200771
202103,경의중앙선,금촌,141588,139654,281242
202103,경의중앙선,능곡,85683,77425,163108
202103,경의중앙선,덕소,125696,126577,252273
202103,경의중앙선,도농,223853,203632,427485
202103,경의중앙선,도심,55637,43722,99359
202103,경의중앙선,디지털미디어시티,55560,53706,109266
202103,경의중앙선,망우,168187,165701,333888
202103,경의중앙선,문산,113787,112725,226512
202103,경의중앙선,백마,156577,150272,306849
202103,경의중앙선,상봉,130224,133725,263949
202103,경의중앙선,서강대,45021,44127,89148
202103,경의중앙선,서울역,92747,118484,211231
202103,경의중앙선,수색,60084,63077,123161
202103,경의중앙선,신원,5002,4487,9489
202103,경의중앙선,신촌,18827,24023,42850
202103,경의중앙선,아신,11844,11802,23646
202103,경의중앙선,야당,146947,143458,290405
202103,경의중앙선,양수,40077,40544,80621
202103,경의중앙선,양원,40828,40671,81499
202103,경의중앙선,양정,17988,15661,33649
202103,경의중앙선,양평,60689,62496,123185
202103,경의중앙선,오빈,6533,6549,13082
202103,경의중앙선,용문,44479,44183,88662
202103,경의중앙선,운길산,17958,17132,35090
202103,경의중앙선,운정,143785,136826,280611
202103,경의중앙선,원덕,8088,7795,15883
202103,경의중앙선,월롱,58598,52870,111468
202103,경의중앙선,일산,214191,213482,427673
202103,경의중앙선,임진강,340,187,527
202103,경의중앙선,중랑,122336,117175,239511
202103,경의중앙선,지평,1540,1787,3327
202103,경의중앙선,탄현,170563,164325,334888
202103,경의중앙선,파주,35080,26487,61567
202103,경의중앙선,팔당,20020,19881,39901
202103,경의중앙선,풍산,123001,115325,238326
202103,경의중앙선,행신,174258,174455,348713
202103,경의중앙선,홍대입구,34283,38160,72443
202103,경의중앙선,화전,44008,41439,85447
202103,경의중앙선,회기,539129,523617,1062746
202103,경의중앙선,효창공원앞,64755,74288,139043
202104,경의중앙선,가좌,120408,112295,232703
202104,경의중앙선,강매,72040,62777,134817
202104,경의중앙선,검암,1,0,1
202104,경의중앙선,계양,6,0,6
202104,경의중앙선,곡산,13830,14092,27922
202104,경의중앙선,공덕,77287,69394,146681
202104,경의중앙선,구리,299006,303830,602836
202104,경의중앙선,국수,18077,17900,35977
202104,경의중앙선,금릉,101237,99608,200845
202104,경의중앙선,금촌,140143,138474,278617
202104,경의중앙선,김포공항,1,0,1
202104,경의중앙선,능곡,85676,77534,163210
202104,경의중앙선,덕소,125235,125315,250550
202104,경의중앙선,도농,222276,203547,425823
202104,경의중앙선,도심,55813,43983,99796
202104,경의중앙선,디지털미디어시티,55089,52443,107532
202104,경의중앙선,망우,169262,167675,336937
202104,경의중앙선,문산,112135,111320,223455
202104,경의중앙선,백마,154380,148599,302979
202104,경의중앙선,상봉,131924,132644,264568
202104,경의중앙선,서강대,44843,43190,88033
202104,경의중앙선,서울역,93127,117994,211121
202104,경의중앙선,수색,60524,63533,124057
202104,경의중앙선,신원,5873,5405,11278
202104,경의중앙선,신촌,18521,23535,42056
202104,경의중앙선,아신,12807,12981,25788
202104,경의중앙선,야당,148970,145338,294308
202104,경의중앙선,양수,42225,43009,85234
202104,경의중앙선,양원,42287,42226,84513
202104,경의중앙선,양정,18823,16300,35123
202104,경의중앙선,양평,62794,65507,128301
202104,경의중앙선,오빈,6985,6949,13934
202104,경의중앙선,용문,47501,47429,94930
202104,경의중앙선,운길산,21071,20244,41315
202104,경의중앙선,운정,146756,139719,286475
202104,경의중앙선,원덕,9450,9039,18489
202104,경의중앙선,월롱,52891,48255,101146
202104,경의중앙선,일산,212287,212615,424902
202104,경의중앙선,임진강,435,289,724
202104,경의중앙선,중랑,121249,116154,237403
202104,경의중앙선,지평,1695,2023,3718
202104,경의중앙선,탄현,168307,162117,330424
202104,경의중앙선,파주,35669,26590,62259
202104,경의중앙선,팔당,21125,21356,42481
202104,경의중앙선,풍산,122492,115565,238057
202104,경의중앙선,행신,172117,172492,344609
202104,경의중앙선,홍대입구,33671,37911,71582
202104,경의중앙선,화전,43676,40114,83790
202104,경의중앙선,회기,528775,511062,1039837
202104,경의중앙선,효창공원앞,64523,73483,138006
202105,경의중앙선,가좌,111718,104156,215874
202105,경의중앙선,강매,66307,57796,124103
202105,경의중앙선,검암,1,0,1
202105,경의중앙선,곡산,12407,12346,24753
202105,경의중앙선,공덕,71739,63490,135229
202105,경의중앙선,구리,277519,281799,559318
202105,경의중앙선,국수,16186,15801,31987
202105,경의중앙선,금릉,95421,93177,188598
202105,경의중앙선,금촌,130520,129742,260262
202105,경의중앙선,능곡,78214,71194,149408
202105,경의중앙선,덕소,116409,115994,232403
202105,경의중앙선,도농,205105,186469,391574
202105,경의중앙선,도심,50992,40728,91720
202105,경의중앙선,디지털미디어시티,51843,49430,101273
202105,경의중앙선,망우,156668,154378,311046
202105,경의중앙선,문산,104624,104230,208854
202105,경의중앙선,백마,142366,136654,279020
202105,경의중앙선,상봉,123707,124068,247775
202105,경의중앙선,서강대,42256,40884,83140
202105,경의중앙선,서울역,83700,105412,189112
202105,경의중앙선,수색,55645,57868,113513
202105,경의중앙선,신원,5223,4404,9627
202105,경의중앙선,신촌,17437,21542,38979
202105,경의중앙선,아신,12065,12151,24216
202105,경의중앙선,야당,140595,137172,277767
202105,경의중앙선,양수,41168,41432,82600
202105,경의중앙선,양원,37503,37258,74761
202105,경의중앙선,양정,16955,14580,31535
202105,경의중앙선,양평,59398,61043,120441
202105,경의중앙선,오빈,6339,6291,12630
202105,경의중앙선,용문,44807,44623,89430
202105,경의중앙선,운길산,20149,19113,39262
202105,경의중앙선,운정,136184,128862,265046
202105,경의중앙선,원덕,8092,7722,15814
202105,경의중앙선,월롱,50679,46663,97342
202105,경의중앙선,일산,192205,191318,383523
202105,경의중앙선,임진강,493,390,883
202105,경의중앙선,중랑,115322,109732,225054
202105,경의중앙선,지평,1600,1811,3411
202105,경의중앙선,탄현,157142,150841,307983
202105,경의중앙선,파주,30984,22942,53926
202105,경의중앙선,팔당,20569,21292,41861
202105,경의중앙선,풍산,114419,107184,221603
202105,경의중앙선,행신,159560,160230,319790
202105,경의중앙선,홍대입구,34352,39057,73409
202105,경의중앙선,화전,36656,34085,70741
202105,경의중앙선,회기,496571,481837,978408
202105,경의중앙선,효창공원앞,59221,67064,126285
202106,경의중앙선,가좌,120043,111412,231455
202106,경의중앙선,강매,72608,62696,135304
202106,경의중앙선,검암,1,0,1
202106,경의중앙선,계양,3,0,3
202106,경의중앙선,곡산,13356,13697,27053
202106,경의중앙선,공덕,78253,70551,148804
202106,경의중앙선,구리,298387,302550,600937
202106,경의중앙선,국수,16904,16502,33406
202106,경의중앙선,금릉,102732,100243,202975
202106,경의중앙선,금촌,139263,137882,277145
202106,경의중앙선,김포공항,1,0,1
202106,경의중앙선,능곡,83402,76306,159708
202106,경의중앙선,덕소,125663,124751,250414
202106,경의중앙선,도농,222215,200919,423134
