사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,경춘선,가평,21504,21425,42929
202101,경춘선,갈매,52277,46439,98716
202101,경춘선,강촌,4511,4582,9093
202101,경춘선,굴봉산,1306,1417,2723
202101,경춘선,금곡,25725,24356,50081
202101,경춘선,김유정,3346,3335,6681
202101,경춘선,남춘천,34744,35460,70204
202101,경춘선,대성리,7032,6082,13114
202101,경춘선,마석,62504,61965,124469
202101,경춘선,백양리,2677,2430,5107
202101,경춘선,별내,45197,44938,90135
202101,경춘선,사릉,57984,56900,114884
202101,경춘선,상천,3310,3047,6357
202101,경춘선,신내,25227,25446,50673
202101,경춘선,천마산,26731,25363,52094
202101,경춘선,청평,20732,20566,41298
202101,경춘선,춘천,17132,16150,33282
202101,경춘선,퇴계원,62493,59198,121691
202101,경춘선,평내호평,102069,100777,202846
202102,경춘선,가평,24657,25054,49711
202102,경춘선,갈매,51877,45792,97669
202102,경춘선,강촌,5106,5127,10233
202102,경춘선,굴봉산,1543,1691,3234
202102,경춘선,금곡,25915,24492,50407
202102,경춘선,김유정,4322,4454,8776
202102,경춘선,남춘천,36684,38518,75202
202102,경춘선,대성리,7512,6635,14147
202102,경춘선,마석,65317,64047,129364
202102,경춘선,백양리,3461,3110,6571
202102,경춘선,별내,45513,44768,90281
202102,경춘선,사릉,56829,54845,111674
202102,경춘선,상천,3689,3445,7134
202102,경춘선,신내,25512,25542,51054
202102,경춘선,천마산,27752,26191,53943
202102,경춘선,청평,23893,23956,47849
202102,경춘선,춘천,19423,18386,37809
202102,경춘선,퇴계원,62731,58533,121264
202102,경춘선,평내호평,104918,102995,207913
202103,경춘선,가평,30477,30434,60911
202103,경춘선,갈매,69600,60756,130356
202103,경춘선,강촌,8706,8694,17400
202103,경춘선,굴봉산,2707,2632,5339
202103,경춘선,금곡,35399,34025,69424
202103,경춘선,김유정,5911,6102,12013
202103,경춘선,남춘천,51607,50962,102569
202103,경춘선,대성리,10851,9436,20287
202103,경춘선,마석,87765,87006,174771
202103,경춘선,백양리,1515,1469,2984
202103,경춘선,별내,61522,59575,121097
202103,경춘선,사릉,79203,75026,154229
202103,경춘선,상천,6306,5997,12303
202103,경춘선,신내,36736,37224,73960
202103,경춘선,천마산,37343,34919,72262
202103,경춘선,청평,32506,32642,65148
202103,경춘선,춘천,32335,29251,61586
202103,경춘선,퇴계원,81167,75617,156784
202103,경춘선,평내호평,141799,140701,282500
202104,경춘선,가평,34179,34700,68879
202104,경춘선,갈매,69644,60626,130270
202104,경춘선,강촌,11187,11209,22396
202104,경춘선,굴봉산,4589,4604,9193
202104,경춘선,금곡,35340,34086,69426
202104,경춘선,김유정,6632,7203,13835
202104,경춘선,남춘천,52912,52947,105859
202104,경춘선,대성리,13503,12430,25933
202104,경춘선,마석,90449,89537,179986
202104,경춘선,백양리,2340,2351,4691
202104,경춘선,별내,64292,62086,126378
202104,경춘선,사릉,79932,76339,156271
202104,경춘선,상천,8170,7786,15956
202104,경춘선,신내,37900,38634,76534
202104,경춘선,천마산,38285,35935,74220
202104,경춘선,청평,34879,35521,70400
202104,경춘선,춘천,33051,29833,62884
202104,경춘선,퇴계원,81742,75916,157658
202104,경춘선,평내호평,142958,141653,284611
202105,경춘선,가평,34694,34924,69618
202105,경춘선,갈매,64491,56296,120787
202105,경춘선,강촌,10688,10229,20917
202105,경춘선,굴봉산,3402,3505,6907
202105,경춘선,금곡,32902,31801,64703
202105,경춘선,김유정,7069,7840,14909
202105,경춘선,남춘천,49284,50123,99407
202105,경춘선,대성리,11588,10092,21680
202105,경춘선,마석,84387,83054,167441
202105,경춘선,백양리,2122,2083,4205
202105,경춘선,별내,62846,60068,122914
202105,경춘선,사릉,73198,69413,142611
202105,경춘선,상천,6519,6145,12664
202105,경춘선,신내,35404,35576,70980
202105,경춘선,천마산,35927,33951,69878
202105,경춘선,청평,33800,33873,67673
202105,경춘선,춘천,32370,29151,61521
202105,경춘선,퇴계원,76348,70102,146450
202105,경춘선,평내호평,131763,129614,261377
202106,경춘선,가평,38678,39542,78220
202106,경춘선,갈매,70692,61402,132094
202106,경춘선,강촌,9628,9636,19264
202106,경춘선,굴봉산,3142,3123,6265
202106,경춘선,금곡,34679,33500,68179
202106,경춘선,김유정,6262,6793,13055
202106,경춘선,남춘천,51447,52274,103721
202106,경춘선,대성리,11692,10428,22120
202106,경춘선,마석,88917,87435,176352
202106,경춘선,백양리,1764,1808,3572
202106,경춘선,별내,68644,65491,134135
202106,경춘선,사릉,77455,73930,151385
202106,경춘선,상천,6113,5781,11894
202106,경춘선,신내,38074,38295,76369
202106,경춘선,천마산,37990,35553,73543
202106,경춘선,청평,36030,35618,71648
202106,경춘선,춘천,30272,27487,57759
202106,경춘선,퇴계원,81231,75086,156317
202106,경춘선,평내호평,139674,137644,277318
202107,경춘선,가평,38196,39084,77280
202107,경춘선,갈매,62000,54460,116460
202107,경춘선,강촌,9794,9946,19740
202107,경춘선,굴봉산,3210,3102,6312
202107,경춘선,금곡,30258,29299,59557
202107,경춘선,김유정,6067,6438,12505
202107,경춘선,남춘천,45592,47755,93347
202107,경춘선,대성리,10502,9413,19915
202107,경춘선,마석,76866,76525,153391
202107,경춘선,백양리,2582,2441,5023
202107,경춘선,별내,62372,60489,122861
202107,경춘선,사릉,66835,64442,131277
202107,경춘선,상천,5595,5345,10940
202107,경춘선,신내,33395,32803,66198
202107,경춘선,천마산,34027,31834,65861
202107,경춘선,청평,32563,32175,64738
202107,경춘선,춘천,25367,23351,48718
202107,경춘선,퇴계원,73358,68110,141468
202107,경춘선,평내호평,123255,121658,244913
202108,경춘선,가평,39494,39452,78946
202108,경춘선,갈매,57891,51305,109196
202108,경춘선,강촌,11191,10995,22186
202108,경춘선,굴봉산,3213,2807,6020
202108,경춘선,금곡,28897,27940,56837
202108,경춘선,김유정,6495,6960,13455
202108,경춘선,남춘천,46189,48080,94269
202108,경춘선,대성리,10258,9076,19334
202108,경춘선,마석,75044,75015,150059
202108,경춘선,백양리,2615,2243,4858
202108,경춘선,별내,59641,57976,117617
202108,경춘선,사릉,63019,61843,124862
202108,경춘선,상천,5434,4981,10415
202108,경춘선,신내,33078,32022,65100
202108,경춘선,천마산,32966,31060,64026
202108,경춘선,청평,31705,30963,62668
202108,경춘선,춘천,27229,24816,52045
202108,경춘선,퇴계원,69873,65661,135534
202108,경춘선,평내호평,118539,116225,234764
202109,경춘선,가평,35794,35648,71442
202109,경춘선,갈매,59850,52357,112207
202109,경춘선,강촌,10231,9883,20114
202109,경춘선,굴봉산,2977,2839,5816
202109,경춘선,금곡,30793,30074,60867
202109,경춘선,김유정,6723,7291,14014
202109,경춘선,남춘천,50618,49827,100445
202109,경춘선,대성리,11493,10447,21940
202109,경춘선,마석,79560,78909,158469
202109,경춘선,백양리,1842,1822,3664
202109,경춘선,별내,62392,59841,122233
202109,경춘선,사릉,67624,65442,133066
202109,경춘선,상천,6770,6363,13133
202109,경춘선,신내,36499,35270,71769
202109,경춘선,천마산,34609,32462,67071
202109,경춘선,청평,33618,33026,66644
202109,경춘선,춘천,33065,28870,61935
202109,경춘선,퇴계원,72307,67004,139311
202109,경춘선,평내호평,123635,120520,244155
202110,경춘선,가평,39627,39629,79256
202110,경춘선,갈매,64229,55437,119666
202110,경춘선,강촌,11321,11122,22443
202110,경춘선,굴봉산,2949,2716,5665
202110,경춘선,금곡,32079,31135,63214
202110,경춘선,김유정,7279,7933,15212
202110,경춘선,남춘천,55626,55951,111577
202110,경춘선,대성리,10935,9753,20688
202110,경춘선,마석,82573,82069,164642
202110,경춘선,백양리,1853,1767,3620
202110,경춘선,별내,67731,64116,131847
202110,경춘선,사릉,71925,68289,140214
202110,경춘선,상천,6089,5802,11891
202110,경춘선,신내,40483,39237,79720
202110,경춘선,천마산,35289,33046,68335
202110,경춘선,청평,33530,33472,67002
202110,경춘선,춘천,34882,30387,65269
202110,경춘선,퇴계원,74637,68840,143477
202110,경춘선,평내호평,128443,125004,253447
202111,경춘선,가평,37400,38057,75457
202111,경춘선,갈매,70320,60239,130559
202111,경춘선,강촌,10189,9952,20141
202111,경춘선,굴봉산,2749,2645,5394
202111,경춘선,금곡,34031,32560,66591
202111,경춘선,김유정,6703,7264,13967
202111,경춘선,남춘천,55052,55796,110848
202111,경춘선,대성리,10550,10000,20550
202111,경춘선,마석,88180,86491,174671
202111,경춘선,백양리,1727,1713,3440
202111,경춘선,별내,75980,70780,146760
202111,경춘선,사릉,78501,73955,152456
202111,경춘선,상천,5546,5306,10852
202111,경춘선,신내,45909,43478,89387
202111,경춘선,천마산,37692,34204,71896
202111,경춘선,청평,33323,33370,66693
202111,경춘선,춘천,34117,30548,64665
202111,경춘선,퇴계원,81981,74585,156566
202111,경춘선,평내호평,139905,135391,275296
202112,경춘선,가평,32502,33761,66263
202112,경춘선,갈매,69600,60219,129819
202112,경춘선,강촌,8528,8617,17145
202112,경춘선,굴봉산,2443,2676,5119
202112,경춘선,금곡,33595,32121,65716
202112,경춘선,김유정,6680,6899,13579
202112,경춘선,남춘천,52000,52364,104364
202112,경춘선,대성리,9586,8867,18453
202112,경춘선,마석,85132,83947,169079
202112,경춘선,백양리,4467,4255,8722
202112,경춘선,별내,75911,71296,147207
202112,경춘선,사릉,76036,72557,148593
202112,경춘선,상천,4643,4377,9020
202112,경춘선,신내,47074,44251,91325
202112,경춘선,천마산,36681,33960,70641
202112,경춘선,청평,32486,32304,64790
202112,경춘선,춘천,29001,25947,54948
202112,경춘선,퇴계원,81044,74112,155156
202112,경춘선,평내호평,136727,133472,270199
