사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,공항철도,검암,121988,117497,239485
202101,공항철도,계양,153732,145370,299102
202101,공항철도,공덕,37645,48856,86501
202101,공항철도,공항화물청사,43930,47883,91813
202101,공항철도,김포공항,154647,96172,250819
202101,공항철도,디지털미디어시티,249348,220415,469763
202101,공항철도,마곡나루,132420,124941,257361
202101,공항철도,서울,108911,99005,207916
202101,공항철도,영종,46469,47137,93606
202101,공항철도,운서,102005,101953,203958
202101,공항철도,인천공항1터미널,63536,67449,130985
202101,공항철도,인천공항2터미널,37507,36231,73738
202101,공항철도,청라국제도시,114574,107941,222515
202101,공항철도,홍대입구,127530,129852,257382
202102,공항철도,검암,122449,118402,240851
202102,공항철도,계양,157904,147379,305283
202102,공항철도,공덕,37985,49571,87556
202102,공항철도,공항화물청사,40919,44374,85293
202102,공항철도,김포공항,197677,117307,314984
202102,공항철도,디지털미디어시티,247408,220094,467502
202102,공항철도,마곡나루,130870,124456,255326
202102,공항철도,서울,119256,112347,231603
202102,공항철도,영종,49238,50264,99502
202102,공항철도,운서,104644,104319,208963
202102,공항철도,인천공항1터미널,61604,64163,125767
202102,공항철도,인천공항2터미널,35346,33358,68704
202102,공항철도,청라국제도시,114761,107851,222612
202102,공항철도,홍대입구,151919,151122,303041
202103,공항철도,검암,153946,150359,304305
202103,공항철도,계양,205143,188687,393830
202103,공항철도,공덕,47689,62610,110299
202103,공항철도,공항화물청사,49998,54455,104453
202103,공항철도,김포공항,250938,140668,391606
202103,공항철도,디지털미디어시티,314128,282355,596483
202103,공항철도,마곡나루,179398,172793,352191
202103,공항철도,서울,151381,141509,292890
202103,공항철도,영종,63972,65129,129101
202103,공항철도,운서,133354,133520,266874
202103,공항철도,인천공항1터미널,69133,72969,142102
202103,공항철도,인천공항2터미널,41072,38893,79965
202103,공항철도,청라국제도시,146814,137871,284685
202103,공항철도,홍대입구,185360,185508,370868
202104,공항철도,검암,154298,150906,305204
202104,공항철도,계양,205450,188044,393494
202104,공항철도,공덕,47559,61868,109427
202104,공항철도,공항화물청사,50756,54880,105636
202104,공항철도,김포공항,252905,147979,400884
202104,공항철도,디지털미디어시티,311977,279759,591736
202104,공항철도,마곡나루,180421,175288,355709
202104,공항철도,서울,150175,140395,290570
202104,공항철도,영종,64101,65243,129344
202104,공항철도,운서,132543,132723,265266
202104,공항철도,인천공항1터미널,65161,68458,133619
202104,공항철도,인천공항2터미널,39556,37799,77355
202104,공항철도,청라국제도시,144920,136324,281244
202104,공항철도,홍대입구,184702,186186,370888
202105,공항철도,검암,138845,136860,275705
202105,공항철도,계양,189478,173901,363379
202105,공항철도,공덕,44516,57178,101694
202105,공항철도,공항화물청사,45462,49015,94477
202105,공항철도,김포공항,239654,136040,375694
202105,공항철도,디지털미디어시티,279223,251844,531067
202105,공항철도,마곡나루,164123,159107,323230
202105,공항철도,서울,147016,138586,285602
202105,공항철도,영종,59978,61000,120978
202105,공항철도,운서,123379,123798,247177
202105,공항철도,인천공항1터미널,61594,65064,126658
202105,공항철도,인천공항2터미널,36677,35450,72127
202105,공항철도,청라국제도시,133009,125300,258309
202105,공항철도,홍대입구,190580,191482,382062
202106,공항철도,검암,149342,146203,295545
202106,공항철도,계양,204822,189842,394664
202106,공항철도,공덕,49194,63192,112386
202106,공항철도,공항화물청사,50737,54546,105283
202106,공항철도,김포공항,257216,147939,405155
202106,공항철도,디지털미디어시티,313562,283527,597089
202106,공항철도,마곡나루,181872,174671,356543
202106,공항철도,서울,159158,147377,306535
202106,공항철도,영종,64633,65360,129993
202106,공항철도,운서,134083,133450,267533
202106,공항철도,인천공항1터미널,66593,72833,139426
202106,공항철도,인천공항2터미널,40646,40250,80896
202106,공항철도,청라국제도시,146275,138191,284466
202106,공항철도,홍대입구,198000,197581,395581
202107,공항철도,검암,137183,135026,272209
202107,공항철도,계양,183524,173094,356618
202107,공항철도,공덕,44267,55549,99816
202107,공항철도,공항화물청사,49109,52769,101878
202107,공항철도,김포공항,237973,140338,378311
202107,공항철도,디지털미디어시티,273256,246307,519563
202107,공항철도,마곡나루,152598,145894,298492
202107,공항철도,서울,137235,128966,266201
202107,공항철도,영종,57795,58237,116032
202107,공항철도,운서,123043,123696,246739
202107,공항철도,인천공항1터미널,73382,77467,150849
202107,공항철도,인천공항2터미널,48022,45967,93989
202107,공항철도,청라국제도시,131249,124769,256018
202107,공항철도,홍대입구,162662,163785,326447
202108,공항철도,검암,130049,127678,257727
202108,공항철도,계양,177854,169730,347584
202108,공항철도,공덕,42180,53533,95713
202108,공항철도,공항화물청사,46164,49710,95874
202108,공항철도,김포공항,236729,133150,369879
202108,공항철도,디지털미디어시티,254772,231644,486416
202108,공항철도,마곡나루,141774,136006,277780
202108,공항철도,서울,137069,126182,263251
202108,공항철도,영종,56553,56833,113386
202108,공항철도,운서,121501,123516,245017
202108,공항철도,인천공항1터미널,74411,77047,151458
202108,공항철도,인천공항2터미널,49666,46636,96302
202108,공항철도,청라국제도시,123499,117507,241006
202108,공항철도,홍대입구,168476,169123,337599
202109,공항철도,검암,130586,128713,259299
202109,공항철도,계양,182652,172667,355319
202109,공항철도,공덕,41618,53017,94635
