사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,수인분당선,가천대,115512,133181,248693
202101,수인분당선,강남구청,175540,197608,373148
202101,수인분당선,개포동,62437,65146,127583
202101,수인분당선,고색,65785,64263,130048
202101,수인분당선,구룡,28193,28162,56355
202101,수인분당선,구성,87010,91757,178767
202101,수인분당선,기흥,166830,160665,327495
202101,수인분당선,남동인더스파크,48766,54175,102941
202101,수인분당선,달월,1728,1105,2833
202101,수인분당선,대모산입구,62707,58896,121603
202101,수인분당선,도곡,118340,118033,236373
202101,수인분당선,망포,255474,246853,502327
202101,수인분당선,매교,47590,48943,96533
202101,수인분당선,매탄권선,84398,81279,165677
202101,수인분당선,모란,363391,362050,725441
202101,수인분당선,미금,279101,295886,574987
202101,수인분당선,보정,42043,36702,78745
202101,수인분당선,복정,7,0,7
202101,수인분당선,사리,62254,57778,120032
202101,수인분당선,상갈,95721,93227,188948
202101,수인분당선,서울숲,151138,152272,303410
202101,수인분당선,서현,436953,442827,879780
202101,수인분당선,선릉,254999,364919,619918
202101,수인분당선,선정릉,151532,158616,310148
202101,수인분당선,소래포구,81743,77866,159609
202101,수인분당선,송도,42914,39996,82910
202101,수인분당선,수내,240608,242163,482771
202101,수인분당선,수서,219030,230473,449503
202101,수인분당선,수원,135021,110564,245585
202101,수인분당선,수원시청,219043,231208,450251
202101,수인분당선,숭의,69411,65733,135144
202101,수인분당선,신갈,80692,80554,161246
202101,수인분당선,신포,28167,28380,56547
202101,수인분당선,압구정로데오,320494,334968,655462
202101,수인분당선,야목,3446,2941,6387
202101,수인분당선,야탑,470854,489322,960176
202101,수인분당선,어천,10137,10153,20290
202101,수인분당선,연수,75360,74180,149540
202101,수인분당선,영통,141722,144003,285725
202101,수인분당선,오리,215647,183837,399484
202101,수인분당선,오목천,39003,37196,76199
202101,수인분당선,원인재,76804,79337,156141
202101,수인분당선,월곶,42916,40699,83615
202101,수인분당선,이매,95320,91980,187300
202101,수인분당선,인천,15946,26793,42739
202101,수인분당선,인천논현,98677,102968,201645
202101,수인분당선,인하대,95789,90771,186560
202101,수인분당선,정자,296224,312206,608430
202101,수인분당선,죽전,227982,249889,477871
202101,수인분당선,청명,75629,73011,148640
202101,수인분당선,태평,248869,244825,493694
202101,수인분당선,한티,252206,264821,517027
202101,수인분당선,호구포,70569,72911,143480
202102,수인분당선,가천대,110458,127278,237736
202102,수인분당선,강남구청,173220,196067,369287
202102,수인분당선,개포동,63218,65669,128887
202102,수인분당선,고색,62928,60832,123760
202102,수인분당선,구룡,29412,28924,58336
202102,수인분당선,구성,84230,88759,172989
202102,수인분당선,기흥,163589,156886,320475
202102,수인분당선,남동인더스파크,43901,48472,92373
202102,수인분당선,달월,1607,1071,2678
202102,수인분당선,대모산입구,60456,56671,117127
202102,수인분당선,도곡,117303,117046,234349
202102,수인분당선,망포,246924,235975,482899
202102,수인분당선,매교,46523,47878,94401
202102,수인분당선,매탄권선,81985,79007,160992
202102,수인분당선,모란,362039,365141,727180
202102,수인분당선,미금,275866,292322,568188
202102,수인분당선,보정,41652,36510,78162
202102,수인분당선,복정,13,0,13
202102,수인분당선,사리,64567,58972,123539
202102,수인분당선,상갈,94086,91287,185373
202102,수인분당선,서울숲,160196,161166,321362
202102,수인분당선,서현,442446,445590,888036
202102,수인분당선,선릉,242250,349993,592243
202102,수인분당선,선정릉,146950,155192,302142
202102,수인분당선,소래포구,83054,79345,162399
202102,수인분당선,송도,42142,39011,81153
202102,수인분당선,수내,233465,233542,467007
202102,수인분당선,수서,226853,238652,465505
202102,수인분당선,수원,141695,117280,258975
202102,수인분당선,수원시청,218693,231280,449973
202102,수인분당선,숭의,67614,63256,130870
202102,수인분당선,신갈,79355,79515,158870
202102,수인분당선,신포,28458,28832,57290
202102,수인분당선,압구정로데오,331292,356064,687356
202102,수인분당선,야목,3862,3282,7144
202102,수인분당선,야탑,454557,474770,929327
202102,수인분당선,어천,10876,10457,21333
202102,수인분당선,연수,76030,75075,151105
202102,수인분당선,영통,143008,144519,287527
202102,수인분당선,오리,212207,178968,391175
202102,수인분당선,오목천,39496,37447,76943
202102,수인분당선,원인재,76364,79128,155492
202102,수인분당선,월곶,43224,41019,84243
202102,수인분당선,이매,94306,90989,185295
202102,수인분당선,인천,18218,30048,48266
202102,수인분당선,인천논현,97936,102505,200441
202102,수인분당선,인하대,94880,89968,184848
202102,수인분당선,정자,306026,314494,620520
202102,수인분당선,죽전,228672,251871,480543
202102,수인분당선,청명,71854,68779,140633
202102,수인분당선,태평,240488,235438,475926
202102,수인분당선,한티,249029,262493,511522
202102,수인분당선,호구포,65973,68934,134907
202103,수인분당선,가천대,193108,216876,409984
202103,수인분당선,강남구청,221089,251195,472284
202103,수인분당선,개포동,82893,86144,169037
202103,수인분당선,고색,81595,78599,160194
202103,수인분당선,구룡,44955,43723,88678
202103,수인분당선,구성,109036,113455,222491
202103,수인분당선,기흥,208036,198159,406195
202103,수인분당선,남동인더스파크,53646,60002,113648
202103,수인분당선,달월,2199,1595,3794
202103,수인분당선,대모산입구,78289,72241,150530
202103,수인분당선,도곡,150378,150451,300829
202103,수인분당선,망포,312350,298045,610395
202103,수인분당선,매교,67118,68278,135396
202103,수인분당선,매탄권선,109225,105271,214496
202103,수인분당선,모란,465960,468942,934902
202103,수인분당선,미금,348057,367179,715236
202103,수인분당선,보정,56278,50049,106327
202103,수인분당선,복정,13,0,13
202103,수인분당선,사리,88350,79994,168344
202103,수인분당선,상갈,119595,115248,234843
202103,수인분당선,서울숲,219525,222826,442351
202103,수인분당선,서현,537488,544015,1081503
202103,수인분당선,선릉,304578,451551,756129
202103,수인분당선,선정릉,184163,195776,379939
202103,수인분당선,소래포구,118458,113368,231826
202103,수인분당선,송도,59000,53696,112696
202103,수인분당선,수내,290828,292050,582878
202103,수인분당선,수서,299385,306328,605713
202103,수인분당선,수원,181176,150602,331778
202103,수인분당선,수원시청,271407,289768,561175
202103,수인분당선,숭의,89247,83679,172926
202103,수인분당선,신갈,101108,101215,202323
202103,수인분당선,신포,40769,41309,82078
202103,수인분당선,압구정로데오,401993,440190,842183
202103,수인분당선,야목,5599,4509,10108
202103,수인분당선,야탑,568335,592637,1160972
202103,수인분당선,어천,14669,15015,29684
202103,수인분당선,연수,100479,98555,199034
202103,수인분당선,영통,181594,186333,367927
202103,수인분당선,오리,265582,224965,490547
202103,수인분당선,오목천,62159,57218,119377
202103,수인분당선,원인재,99262,103320,202582
202103,수인분당선,월곶,56524,52427,108951
202103,수인분당선,이매,125921,117000,242921
202103,수인분당선,인천,22257,36865,59122
202103,수인분당선,인천논현,124574,132819,257393
202103,수인분당선,인하대,134517,126171,260688
202103,수인분당선,정자,384366,399886,784252
202103,수인분당선,죽전,297573,326227,623800
202103,수인분당선,청명,94548,89735,184283
202103,수인분당선,태평,300813,292054,592867
202103,수인분당선,한티,299314,320967,620281
202103,수인분당선,호구포,85864,90386,176250
202104,수인분당선,가천대,199069,220185,419254
202104,수인분당선,강남구청,218072,247547,465619
202104,수인분당선,개포동,82980,86640,169620
202104,수인분당선,고색,85202,81473,166675
202104,수인분당선,구룡,44999,43977,88976
202104,수인분당선,구성,108272,112382,220654
202104,수인분당선,기흥,208303,196872,405175
202104,수인분당선,남동인더스파크,52142,58688,110830
202104,수인분당선,달월,2204,1634,3838
202104,수인분당선,대모산입구,77243,72188,149431
202104,수인분당선,도곡,144504,145135,289639
202104,수인분당선,망포,307892,291143,599035
202104,수인분당선,매교,66509,67875,134384
202104,수인분당선,매탄권선,107939,104234,212173
202104,수인분당선,모란,455379,458124,913503
202104,수인분당선,미금,338679,358087,696766
202104,수인분당선,보정,55019,49102,104121
202104,수인분당선,복정,8,0,8
202104,수인분당선,사리,90526,81773,172299
202104,수인분당선,상갈,118854,114067,232921
202104,수인분당선,서울숲,252412,261509,513921
202104,수인분당선,서현,519605,526069,1045674
202104,수인분당선,선릉,295233,438954,734187
202104,수인분당선,선정릉,182396,193836,376232
202104,수인분당선,소래포구,121872,116487,238359
202104,수인분당선,송도,58459,53368,111827
202104,수인분당선,수내,284179,285764,569943
202104,수인분당선,수서,296277,307849,604126
202104,수인분당선,수원,177176,148556,325732
202104,수인분당선,수원시청,264478,285449,549927
202104,수인분당선,숭의,88901,82881,171782
202104,수인분당선,신갈,98803,98942,197745
202104,수인분당선,신포,40860,41143,82003
202104,수인분당선,압구정로데오,399335,440339,839674
202104,수인분당선,야목,5735,4665,10400
202104,수인분당선,야탑,555815,579108,1134923
202104,수인분당선,어천,15636,15590,31226
202104,수인분당선,연수,100475,98051,198526
202104,수인분당선,영통,176139,181335,357474
202104,수인분당선,오리,259219,217451,476670
202104,수인분당선,오목천,66589,60351,126940
202104,수인분당선,원인재,97614,101860,199474
202104,수인분당선,월곶,56500,53031,109531
202104,수인분당선,이매,125161,115189,240350
202104,수인분당선,인천,21950,36452,58402
202104,수인분당선,인천논현,123187,132072,255259
202104,수인분당선,인하대,133715,126023,259738
202104,수인분당선,정자,372921,396915,769836
202104,수인분당선,죽전,290222,317546,607768
202104,수인분당선,청명,93505,88684,182189
202104,수인분당선,태평,296331,287067,583398
202104,수인분당선,한티,293222,312939,606161
202104,수인분당선,호구포,87079,91184,178263
202105,수인분당선,가천대,170977,189192,360169
202105,수인분당선,강남구청,198337,226829,425166
202105,수인분당선,개포동,77542,80005,157547
202105,수인분당선,고색,78973,75448,154421
202105,수인분당선,구룡,40240,38970,79210
202105,수인분당선,구성,99315,103296,202611
202105,수인분당선,기흥,192437,180356,372793
202105,수인분당선,남동인더스파크,46117,52231,98348
202105,수인분당선,달월,1888,1282,3170
202105,수인분당선,대모산입구,71334,66415,137749
202105,수인분당선,도곡,130458,130171,260629
202105,수인분당선,망포,282967,267729,550696
202105,수인분당선,매교,61223,62642,123865
202105,수인분당선,매탄권선,99929,96370,196299
202105,수인분당선,모란,419692,422528,842220
202105,수인분당선,미금,311383,329476,640859
202105,수인분당선,보정,51460,44787,96247
202105,수인분당선,복정,8,0,8
202105,수인분당선,사리,83923,76434,160357
202105,수인분당선,상갈,110584,106072,216656
202105,수인분당선,서울숲,219199,225303,444502
202105,수인분당선,서현,488223,495588,983811
202105,수인분당선,선릉,267592,397602,665194
202105,수인분당선,선정릉,163098,174315,337413
202105,수인분당선,소래포구,118360,113673,232033
202105,수인분당선,송도,53676,49811,103487
202105,수인분당선,수내,261450,260995,522445
202105,수인분당선,수서,274136,284105,558241
202105,수인분당선,수원,166090,139301,305391
202105,수인분당선,수원시청,248646,268060,516706
202105,수인분당선,숭의,80900,75739,156639
202105,수인분당선,신갈,90800,90702,181502
202105,수인분당선,신포,37607,37873,75480
202105,수인분당선,압구정로데오,376736,416636,793372
202105,수인분당선,야목,5191,4177,9368
202105,수인분당선,야탑,509818,532312,1042130
202105,수인분당선,어천,14475,14489,28964
202105,수인분당선,연수,92828,90853,183681
202105,수인분당선,영통,166443,170462,336905
202105,수인분당선,오리,237257,198767,436024
202105,수인분당선,오목천,59008,53853,112861
202105,수인분당선,원인재,89699,93577,183276
202105,수인분당선,월곶,52432,49016,101448
202105,수인분당선,이매,114728,106440,221168
202105,수인분당선,인천,22721,36516,59237
202105,수인분당선,인천논현,113963,121358,235321
202105,수인분당선,인하대,121583,114881,236464
202105,수인분당선,정자,351368,370085,721453
202105,수인분당선,죽전,268917,297086,566003
202105,수인분당선,청명,85879,81656,167535
202105,수인분당선,태평,275398,266377,541775
202105,수인분당선,한티,274192,291813,566005
202105,수인분당선,호구포,79205,82773,161978
202106,수인분당선,가천대,177422,198226,375648
202106,수인분당선,강남구청,220236,251839,472075
202106,수인분당선,개포동,84648,87638,172286
202106,수인분당선,고색,89822,84248,174070
202106,수인분당선,구룡,47549,45566,93115
202106,수인분당선,구성,108986,113338,222324
202106,수인분당선,기흥,208137,197102,405239
202106,수인분당선,남동인더스파크,51028,57646,108674
202106,수인분당선,달월,1934,1348,3282
202106,수인분당선,대모산입구,76663,71406,148069
202106,수인분당선,도곡,150025,148210,298235
202106,수인분당선,망포,311762,295133,606895
202106,수인분당선,매교,66284,67228,133512
202106,수인분당선,매탄권선,110151,106518,216669
202106,수인분당선,모란,455338,459539,914877
202106,수인분당선,미금,340083,360517,700600
202106,수인분당선,보정,56476,49433,105909
202106,수인분당선,복정,13,0,13
202106,수인분당선,사리,92822,83641,176463
202106,수인분당선,상갈,119879,114247,234126
202106,수인분당선,서울숲,235585,238795,474380
202106,수인분당선,서현,528767,537335,1066102
202106,수인분당선,선릉,303452,450006,753458
202106,수인분당선,선정릉,181208,193768,374976
202106,수인분당선,소래포구,120154,114384,234538
202106,수인분당선,송도,58598,53795,112393
202106,수인분당선,수내,285235,287096,572331
202106,수인분당선,수서,298477,307951,606428
202106,수인분당선,수원,174204,146376,320580
202106,수인분당선,수원시청,271048,292647,563695
202106,수인분당선,숭의,88895,83524,172419
202106,수인분당선,신갈,100471,99529,200000
202106,수인분당선,신포,40504,41500,82004
202106,수인분당선,압구정로데오,404086,444945,849031
202106,수인분당선,야목,5659,4656,10315
202106,수인분당선,야탑,562655,586193,1148848
202106,수인분당선,어천,15493,16072,31565
202106,수인분당선,연수,99951,97370,197321
202106,수인분당선,영통,178724,182982,361706
202106,수인분당선,오리,260210,218607,478817
202106,수인분당선,오목천,64240,59304,123544
202106,수인분당선,원인재,96121,100671,196792
202106,수인분당선,월곶,56453,52845,109298
