사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,우이신설선,4.19민주묘지,44926,44102,89028
202101,우이신설선,가오리,68464,70089,138553
202101,우이신설선,보문,25870,26105,51975
202101,우이신설선,북한산보국문,100182,100493,200675
202101,우이신설선,북한산우이,38936,35495,74431
202101,우이신설선,삼양,35231,38142,73373
202101,우이신설선,삼양사거리,40223,42342,82565
202101,우이신설선,성신여대입구,53012,57677,110689
202101,우이신설선,솔밭공원,40355,40560,80915
202101,우이신설선,솔샘,99364,95353,194717
202101,우이신설선,신설동,38093,36005,74098
202101,우이신설선,정릉,76482,74576,151058
202101,우이신설선,화계,56538,54733,111271
202102,우이신설선,4.19민주묘지,46863,45231,92094
202102,우이신설선,가오리,69493,70021,139514
202102,우이신설선,보문,25758,26273,52031
202102,우이신설선,북한산보국문,100995,98862,199857
202102,우이신설선,북한산우이,41948,38397,80345
202102,우이신설선,삼양,34949,37671,72620
202102,우이신설선,삼양사거리,40977,42670,83647
202102,우이신설선,성신여대입구,55072,60889,115961
202102,우이신설선,솔밭공원,41169,40125,81294
202102,우이신설선,솔샘,99770,94398,194168
202102,우이신설선,신설동,37557,36416,73973
202102,우이신설선,정릉,77348,73452,150800
202102,우이신설선,화계,57535,54824,112359
202103,우이신설선,4.19민주묘지,65067,62902,127969
202103,우이신설선,가오리,89265,88672,177937
202103,우이신설선,보문,33080,33414,66494
202103,우이신설선,북한산보국문,131464,126403,257867
202103,우이신설선,북한산우이,59297,54818,114115
202103,우이신설선,삼양,44246,47556,91802
202103,우이신설선,삼양사거리,52600,54037,106637
202103,우이신설선,성신여대입구,70369,77092,147461
202103,우이신설선,솔밭공원,53442,51740,105182
202103,우이신설선,솔샘,127021,119257,246278
202103,우이신설선,신설동,49244,47862,97106
202103,우이신설선,정릉,99467,94189,193656
202103,우이신설선,화계,73534,69450,142984
202104,우이신설선,4.19민주묘지,65667,63633,129300
202104,우이신설선,가오리,89053,88341,177394
202104,우이신설선,보문,32297,32536,64833
202104,우이신설선,북한산보국문,130235,124814,255049
202104,우이신설선,북한산우이,61995,57218,119213
202104,우이신설선,삼양,43819,46937,90756
202104,우이신설선,삼양사거리,51859,53888,105747
202104,우이신설선,성신여대입구,68122,74620,142742
202104,우이신설선,솔밭공원,52695,51040,103735
202104,우이신설선,솔샘,123937,117155,241092
202104,우이신설선,신설동,48486,47480,95966
202104,우이신설선,정릉,98357,91975,190332
202104,우이신설선,화계,72410,68353,140763
202105,우이신설선,4.19민주묘지,61261,59047,120308
202105,우이신설선,가오리,83224,82592,165816
202105,우이신설선,보문,30346,30499,60845
202105,우이신설선,북한산보국문,121760,117445,239205
202105,우이신설선,북한산우이,62508,58332,120840
202105,우이신설선,삼양,41049,43871,84920
202105,우이신설선,삼양사거리,48812,50440,99252
202105,우이신설선,성신여대입구,65055,71987,137042
202105,우이신설선,솔밭공원,48832,47390,96222
202105,우이신설선,솔샘,114724,107394,222118
202105,우이신설선,신설동,44088,42902,86990
202105,우이신설선,정릉,92715,85973,178688
202105,우이신설선,화계,68981,64494,133475
202106,우이신설선,4.19민주묘지,63403,61117,124520
202106,우이신설선,가오리,91958,91436,183394
202106,우이신설선,보문,32507,32470,64977
202106,우이신설선,북한산보국문,129217,124361,253578
202106,우이신설선,북한산우이,58708,54179,112887
202106,우이신설선,삼양,43977,47362,91339
202106,우이신설선,삼양사거리,52314,54295,106609
202106,우이신설선,성신여대입구,68269,74894,143163
202106,우이신설선,솔밭공원,54135,52236,106371
202106,우이신설선,솔샘,125687,118568,244255
202106,우이신설선,신설동,47951,46483,94434
202106,우이신설선,정릉,99297,92119,191416
202106,우이신설선,화계,72718,68635,141353
202107,우이신설선,4.19민주묘지,56286,53787,110073
202107,우이신설선,가오리,83246,84299,167545
202107,우이신설선,보문,29671,29614,59285
202107,우이신설선,북한산보국문,115569,112027,227596
202107,우이신설선,북한산우이,55014,50567,105581
202107,우이신설선,삼양,40760,43894,84654
202107,우이신설선,삼양사거리,49735,50941,100676
202107,우이신설선,성신여대입구,62020,67591,129611
202107,우이신설선,솔밭공원,49544,48722,98266
