사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,8호선,가락시장,1820,1976,3796
20210101,8호선,강동구청,2251,2251,4502
20210101,8호선,남한산성입구,3451,3226,6677
20210101,8호선,단대오거리,2828,2762,5590
20210101,8호선,모란,1409,1241,2650
20210101,8호선,몽촌토성,1617,1599,3216
20210101,8호선,문정,2327,2221,4548
20210101,8호선,복정,2426,2248,4674
20210101,8호선,산성,1950,1973,3923
20210101,8호선,석촌,2007,2229,4236
20210101,8호선,송파,1788,1830,3618
20210101,8호선,수진,1618,1414,3032
20210101,8호선,신흥,1546,1681,3227
20210101,8호선,암사,4706,4402,9108
20210101,8호선,잠실,4481,4522,9003
20210101,8호선,장지,5086,5370,10456
20210101,8호선,천호,4523,5167,9690
20210104,8호선,가락시장,6879,7446,14325
20210104,8호선,강동구청,8950,9472,18422
20210104,8호선,남한산성입구,11156,10594,21750
20210104,8호선,단대오거리,8582,8442,17024
20210104,8호선,모란,3896,2797,6693
20210104,8호선,몽촌토성,4573,4782,9355
20210104,8호선,문정,19509,20256,39765
20210104,8호선,복정,8261,7288,15549
20210104,8호선,산성,5582,5580,11162
20210104,8호선,석촌,6121,6961,13082
20210104,8호선,송파,6477,6554,13031
20210104,8호선,수진,4277,3996,8273
20210104,8호선,신흥,3929,4083,8012
20210104,8호선,암사,15912,14470,30382
20210104,8호선,잠실,10741,11802,22543
20210104,8호선,장지,14124,13916,28040
20210104,8호선,천호,12570,13759,26329
20210105,8호선,가락시장,6698,7318,14016
20210105,8호선,강동구청,8994,9546,18540
20210105,8호선,남한산성입구,11161,10411,21572
20210105,8호선,단대오거리,8443,8350,16793
20210105,8호선,모란,3283,2420,5703
20210105,8호선,몽촌토성,4581,4808,9389
20210105,8호선,문정,19638,20369,40007
20210105,8호선,복정,8365,7263,15628
20210105,8호선,산성,5394,5425,10819
20210105,8호선,석촌,6188,7106,13294
20210105,8호선,송파,6456,6570,13026
20210105,8호선,수진,4081,3748,7829
20210105,8호선,신흥,3811,4025,7836
20210105,8호선,암사,15825,14389,30214
20210105,8호선,잠실,10896,12030,22926
20210105,8호선,장지,14204,13916,28120
20210105,8호선,천호,12747,14219,26966
20210106,8호선,가락시장,7446,8102,15548
20210106,8호선,강동구청,9465,10346,19811
20210106,8호선,남한산성입구,11488,11823,23311
20210106,8호선,단대오거리,9569,9800,19369
20210106,8호선,모란,4421,2816,7237
20210106,8호선,몽촌토성,5038,5164,10202
20210106,8호선,문정,21348,20917,42265
20210106,8호선,복정,9646,8632,18278
20210106,8호선,산성,6209,6792,13001
20210106,8호선,석촌,6722,7557,14279
20210106,8호선,송파,6921,7646,14567
20210106,8호선,수진,4652,4470,9122
20210106,8호선,신흥,4387,4609,8996
20210106,8호선,암사,15914,15315,31229
20210106,8호선,잠실,11783,11783,23566
20210106,8호선,장지,15633,15615,31248
20210106,8호선,천호,12897,14646,27543
20210107,8호선,가락시장,8069,8545,16614
20210107,8호선,강동구청,11752,11472,23224
20210107,8호선,남한산성입구,15191,15053,30244
20210107,8호선,단대오거리,15358,13887,29245
20210107,8호선,모란,6539,4162,10701
20210107,8호선,몽촌토성,5899,6020,11919
20210107,8호선,문정,24203,25173,49376
20210107,8호선,복정,11463,10705,22168
20210107,8호선,산성,8102,8481,16583
20210107,8호선,석촌,7661,8312,15973
20210107,8호선,송파,8464,8360,16824
20210107,8호선,수진,7049,6356,13405
20210107,8호선,신흥,6750,6206,12956
20210107,8호선,암사,17397,15755,33152
20210107,8호선,잠실,12795,14774,27569
20210107,8호선,장지,19290,18064,37354
20210107,8호선,천호,13800,15524,29324
20210108,8호선,가락시장,7281,7949,15230
20210108,8호선,강동구청,9567,10005,19572
20210108,8호선,남한산성입구,12949,11410,24359
20210108,8호선,단대오거리,10483,9975,20458
20210108,8호선,모란,3908,2883,6791
20210108,8호선,몽촌토성,4864,5101,9965
20210108,8호선,문정,21252,22407,43659
20210108,8호선,복정,9761,8442,18203
20210108,8호선,산성,6531,6205,12736
20210108,8호선,석촌,6638,7491,14129
20210108,8호선,송파,7160,7183,14343
20210108,8호선,수진,5072,4594,9666
20210108,8호선,신흥,4329,4686,9015
20210108,8호선,암사,16334,14612,30946
20210108,8호선,잠실,12138,13484,25622
20210108,8호선,장지,16419,15788,32207
20210108,8호선,천호,13231,14984,28215
20210111,8호선,가락시장,6614,7256,13870
20210111,8호선,강동구청,9299,9717,19016
