사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,경의중앙선,가좌,1296,1238,2534
20210101,경의중앙선,강매,641,640,1281
20210101,경의중앙선,곡산,113,117,230
20210101,경의중앙선,공덕,821,659,1480
20210101,경의중앙선,구리,3296,3546,6842
20210101,경의중앙선,국수,228,243,471
20210101,경의중앙선,금릉,1189,1243,2432
20210101,경의중앙선,금촌,2149,2215,4364
20210101,경의중앙선,능곡,1025,1033,2058
20210101,경의중앙선,덕소,1580,1658,3238
20210101,경의중앙선,도농,2162,2191,4353
20210101,경의중앙선,도심,601,552,1153
20210101,경의중앙선,디지털미디어시티,652,554,1206
20210101,경의중앙선,망우,2183,2140,4323
20210101,경의중앙선,문산,1617,1698,3315
20210101,경의중앙선,백마,1430,1404,2834
20210101,경의중앙선,상봉,1806,1852,3658
20210101,경의중앙선,서강대,548,495,1043
20210101,경의중앙선,서울,370,408,778
20210101,경의중앙선,수색,431,434,865
20210101,경의중앙선,신원,103,111,214
20210101,경의중앙선,신촌,97,85,182
20210101,경의중앙선,아신,171,182,353
20210101,경의중앙선,야당,1730,1651,3381
20210101,경의중앙선,양수,623,644,1267
20210101,경의중앙선,양원,397,390,787
20210101,경의중앙선,양정,228,197,425
20210101,경의중앙선,양평,811,932,1743
20210101,경의중앙선,오빈,79,70,149
20210101,경의중앙선,용문,686,792,1478
20210101,경의중앙선,운길산,493,466,959
20210101,경의중앙선,운정,1439,1471,2910
20210101,경의중앙선,원덕,114,135,249
20210101,경의중앙선,월롱,546,491,1037
20210101,경의중앙선,일산,2003,2087,4090
20210101,경의중앙선,임진강,25,13,38
20210101,경의중앙선,중랑,1697,1624,3321
20210101,경의중앙선,지평,12,17,29
20210101,경의중앙선,탄현,1906,1838,3744
20210101,경의중앙선,파주,301,283,584
20210101,경의중앙선,팔당,572,562,1134
20210101,경의중앙선,풍산,1537,1460,2997
20210101,경의중앙선,행신,1693,1782,3475
20210101,경의중앙선,홍대입구,546,577,1123
20210101,경의중앙선,화전,312,309,621
20210101,경의중앙선,회기,6588,6347,12935
20210101,경의중앙선,효창공원앞,647,686,1333
20210104,경의중앙선,가좌,4199,3966,8165
20210104,경의중앙선,강매,2578,2301,4879
20210104,경의중앙선,곡산,399,426,825
20210104,경의중앙선,공덕,2819,2406,5225
20210104,경의중앙선,구리,10930,11039,21969
