사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210101,수인분당선,가천대,1704,2059,3763
20210101,수인분당선,강남구청,1161,1345,2506
20210101,수인분당선,개포동,669,681,1350
20210101,수인분당선,고색,814,855,1669
20210101,수인분당선,구룡,270,254,524
20210101,수인분당선,구성,992,1092,2084
20210101,수인분당선,기흥,2431,2381,4812
20210101,수인분당선,남동인더스파크,365,302,667
20210101,수인분당선,달월,30,26,56
20210101,수인분당선,대모산입구,659,606,1265
20210101,수인분당선,도곡,1273,1178,2451
20210101,수인분당선,망포,3192,2945,6137
20210101,수인분당선,매교,669,670,1339
20210101,수인분당선,매탄권선,1221,1156,2377
20210101,수인분당선,모란,5910,6074,11984
20210101,수인분당선,미금,3709,3807,7516
20210101,수인분당선,보정,447,422,869
20210101,수인분당선,사리,1073,1045,2118
20210101,수인분당선,상갈,1314,1397,2711
20210101,수인분당선,서울숲,1570,1440,3010
20210101,수인분당선,서현,5962,5880,11842
20210101,수인분당선,선릉,1471,1811,3282
20210101,수인분당선,선정릉,924,878,1802
20210101,수인분당선,소래포구,2402,2360,4762
20210101,수인분당선,송도,824,798,1622
20210101,수인분당선,수내,2433,2316,4749
20210101,수인분당선,수서,2983,3517,6500
20210101,수인분당선,수원,2803,2282,5085
20210101,수인분당선,수원시청,3603,3585,7188
20210101,수인분당선,숭의,1134,1076,2210
20210101,수인분당선,신갈,850,899,1749
20210101,수인분당선,신포,558,629,1187
20210101,수인분당선,압구정로데오,2634,2911,5545
20210101,수인분당선,야목,80,86,166
20210101,수인분당선,야탑,5940,6185,12125
20210101,수인분당선,어천,230,246,476
20210101,수인분당선,연수,1600,1571,3171
20210101,수인분당선,영통,2257,2300,4557
20210101,수인분당선,오리,2744,2320,5064
20210101,수인분당선,오목천,632,547,1179
20210101,수인분당선,원인재,1496,1492,2988
20210101,수인분당선,월곶,874,910,1784
20210101,수인분당선,이매,1202,1224,2426
20210101,수인분당선,인천,572,816,1388
20210101,수인분당선,인천논현,1649,1756,3405
20210101,수인분당선,인하대,1698,1626,3324
20210101,수인분당선,정자,3497,3399,6896
20210101,수인분당선,죽전,3146,3513,6659
20210101,수인분당선,청명,823,846,1669
20210101,수인분당선,태평,4448,4194,8642
20210101,수인분당선,한티,2563,2561,5124
20210101,수인분당선,호구포,1036,935,1971
20210104,수인분당선,가천대,5193,6105,11298
20210104,수인분당선,강남구청,7660,8597,16257
20210104,수인분당선,개포동,2807,2874,5681
20210104,수인분당선,고색,2781,2774,5555
20210104,수인분당선,구룡,1591,1557,3148
20210104,수인분당선,구성,3806,4060,7866
20210104,수인분당선,기흥,7352,7067,14419
20210104,수인분당선,남동인더스파크,2039,2301,4340
20210104,수인분당선,달월,85,54,139
20210104,수인분당선,대모산입구,2908,2720,5628
20210104,수인분당선,도곡,5242,5293,10535
20210104,수인분당선,망포,10882,10775,21657
20210104,수인분당선,매교,2098,2157,4255
20210104,수인분당선,매탄권선,3582,3468,7050
20210104,수인분당선,모란,17663,17968,35631
20210104,수인분당선,미금,12612,13541,26153
20210104,수인분당선,보정,1803,1557,3360
20210104,수인분당선,사리,2822,2600,5422
20210104,수인분당선,상갈,4151,4044,8195
20210104,수인분당선,서울숲,6512,6732,13244
20210104,수인분당선,서현,19275,19296,38571
20210104,수인분당선,선릉,11708,16873,28581
20210104,수인분당선,선정릉,6775,7217,13992
20210104,수인분당선,소래포구,3301,3103,6404
20210104,수인분당선,송도,1997,1807,3804
20210104,수인분당선,수내,10517,10488,21005
20210104,수인분당선,수서,9943,10057,20000
20210104,수인분당선,수원,5867,4767,10634
20210104,수인분당선,수원시청,9398,9713,19111
20210104,수인분당선,숭의,3195,2983,6178
20210104,수인분당선,신갈,3667,3651,7318
20210104,수인분당선,신포,1346,1336,2682
20210104,수인분당선,압구정로데오,12997,13770,26767
20210104,수인분당선,야목,141,108,249
20210104,수인분당선,야탑,20154,20854,41008
20210104,수인분당선,어천,399,436,835
20210104,수인분당선,연수,3286,3214,6500
20210104,수인분당선,영통,5989,6107,12096
20210104,수인분당선,오리,9527,8123,17650
20210104,수인분당선,오목천,1704,1628,3332
20210104,수인분당선,원인재,3426,3498,6924
20210104,수인분당선,월곶,1916,1780,3696
20210104,수인분당선,이매,4067,3890,7957
20210104,수인분당선,인천,698,1167,1865
20210104,수인분당선,인천논현,4299,4390,8689
20210104,수인분당선,인하대,4204,4030,8234
20210104,수인분당선,정자,12438,13151,25589
20210104,수인분당선,죽전,10090,11155,21245
20210104,수인분당선,청명,3112,3050,6162
20210104,수인분당선,태평,11194,11100,22294
20210104,수인분당선,한티,10707,11551,22258
20210104,수인분당선,호구포,3045,3252,6297
20210105,수인분당선,가천대,5075,5991,11066
20210105,수인분당선,강남구청,7772,8837,16609
20210105,수인분당선,개포동,2868,2953,5821
20210105,수인분당선,고색,2765,2711,5476
