사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,8호선,암사,4706,4402,9108
202101,8호선,천호,4523,5167,9690
202101,8호선,강동구청,2251,2251,4502
202101,8호선,몽촌토성,1617,1599,3216
202101,8호선,잠실,4481,4522,9003
202101,8호선,석촌,2007,2229,4236
202101,8호선,송파,1788,1830,3618
202101,8호선,가락시장,1820,1976,3796
202101,8호선,문정,2327,2221,4548
202101,8호선,장지,5086,5370,10456
202101,8호선,복정,2426,2248,4674
202101,8호선,산성,1950,1973,3923
202101,8호선,남한산성입구,3451,3226,6677
202101,8호선,단대오거리,2828,2762,5590
202101,8호선,신흥,1546,1681,3227
202101,8호선,수진,1618,1414,3032
202101,8호선,모란,1409,1241,2650
202101,8호선,잠실,10741,11802,22543
202101,8호선,석촌,6121,6961,13082
202101,8호선,송파,6477,6554,13031
202101,8호선,가락시장,6879,7446,14325
202101,8호선,문정,19509,20256,39765
202101,8호선,장지,14124,13916,28040
202101,8호선,복정,8261,7288,15549
202101,8호선,산성,5582,5580,11162
202101,8호선,남한산성입구,11156,10594,21750
202101,8호선,단대오거리,8582,8442,17024
202101,8호선,신흥,3929,4083,8012
202101,8호선,수진,4277,3996,8273
202101,8호선,모란,3896,2797,6693
202101,8호선,암사,15912,14470,30382
202101,8호선,천호,12570,13759,26329
202101,8호선,강동구청,8950,9472,18422
202101,8호선,몽촌토성,4573,4782,9355
202101,8호선,모란,3283,2420,5703
202101,8호선,수진,4081,3748,7829
202101,8호선,신흥,3811,4025,7836
202101,8호선,단대오거리,8443,8350,16793
202101,8호선,남한산성입구,11161,10411,21572
202101,8호선,산성,5394,5425,10819
202101,8호선,복정,8365,7263,15628
202101,8호선,장지,14204,13916,28120
202101,8호선,문정,19638,20369,40007
202101,8호선,가락시장,6698,7318,14016
202101,8호선,송파,6456,6570,13026
202101,8호선,석촌,6188,7106,13294
202101,8호선,잠실,10896,12030,22926
202101,8호선,몽촌토성,4581,4808,9389
202101,8호선,강동구청,8994,9546,18540
202101,8호선,천호,12747,14219,26966
202101,8호선,암사,15825,14389,30214
202101,8호선,모란,4421,2816,7237
202101,8호선,수진,4652,4470,9122
202101,8호선,신흥,4387,4609,8996
202101,8호선,단대오거리,9569,9800,19369
202101,8호선,남한산성입구,11488,11823,23311
202101,8호선,산성,6209,6792,13001
202101,8호선,복정,9646,8632,18278
202101,8호선,장지,15633,15615,31248
202101,8호선,문정,21348,20917,42265
202101,8호선,가락시장,7446,8102,15548
202101,8호선,송파,6921,7646,14567
202101,8호선,석촌,6722,7557,14279
202101,8호선,잠실,11783,11783,23566
202101,8호선,몽촌토성,5038,5164,10202
202101,8호선,강동구청,9465,10346,19811
202101,8호선,천호,12897,14646,27543
202101,8호선,암사,15914,15315,31229
202101,8호선,모란,6539,4162,10701
202101,8호선,수진,7049,6356,13405
202101,8호선,신흥,6750,6206,12956
202101,8호선,단대오거리,15358,13887,29245
202101,8호선,남한산성입구,15191,15053,30244
202101,8호선,산성,8102,8481,16583
202101,8호선,복정,11463,10705,22168
202101,8호선,장지,19290,18064,37354
202101,8호선,문정,24203,25173,49376
202101,8호선,가락시장,8069,8545,16614
202101,8호선,송파,8464,8360,16824
202101,8호선,석촌,7661,8312,15973
202101,8호선,잠실,12795,14774,27569
202101,8호선,몽촌토성,5899,6020,11919
202101,8호선,강동구청,11752,11472,23224
202101,8호선,천호,13800,15524,29324
202101,8호선,암사,17397,15755,33152
202101,8호선,암사,16334,14612,30946
202101,8호선,천호,13231,14984,28215
202101,8호선,강동구청,9567,10005,19572
202101,8호선,몽촌토성,4864,5101,9965
202101,8호선,잠실,12138,13484,25622
202101,8호선,석촌,6638,7491,14129
202101,8호선,송파,7160,7183,14343
202101,8호선,가락시장,7281,7949,15230
202101,8호선,문정,21252,22407,43659
202101,8호선,장지,16419,15788,32207
202101,8호선,복정,9761,8442,18203
202101,8호선,산성,6531,6205,12736
202101,8호선,남한산성입구,12949,11410,24359
202101,8호선,단대오거리,10483,9975,20458
202101,8호선,신흥,4329,4686,9015
202101,8호선,수진,5072,4594,9666
202101,8호선,모란,3908,2883,6791
202101,8호선,암사,16294,14581,30875
202101,8호선,천호,12914,14419,27333
202101,8호선,강동구청,9299,9717,19016
202101,8호선,몽촌토성,4598,4847,9445
202101,8호선,잠실,11280,12445,23725
202101,8호선,석촌,6345,7091,13436
202101,8호선,송파,6590,6697,13287
202101,8호선,가락시장,6614,7256,13870
202101,8호선,문정,20506,21460,41966
202101,8호선,장지,14649,14451,29100
202101,8호선,복정,8684,7593,16277
202101,8호선,산성,5673,5700,11373
202101,8호선,남한산성입구,11566,10806,22372
202101,8호선,단대오거리,8904,8664,17568
202101,8호선,신흥,3925,4298,8223
202101,8호선,수진,4463,4076,8539
202101,8호선,모란,3441,2538,5979
202101,8호선,모란,4168,2843,7011
202101,8호선,수진,4813,4877,9690
202101,8호선,신흥,4479,4885,9364
202101,8호선,단대오거리,11229,10428,21657
