사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,경원선,이촌,828,637,1465
202101,경원선,서빙고,427,365,792
202101,경원선,한남,1014,929,1943
202101,경원선,옥수,9,18,27
202101,경원선,응봉,550,475,1025
202101,경원선,왕십리,4224,5014,9238
202101,경원선,청량리,4434,5033,9467
202101,경원선,외대앞,2275,2208,4483
202101,경원선,신이문,2439,2308,4747
202101,경원선,석계,2415,2556,4971
202101,경원선,광운대,2238,2262,4500
202101,경원선,월계,1949,1895,3844
202101,경원선,녹천,1461,1203,2664
202101,경원선,방학,3024,2933,5957
202101,경원선,도봉,1805,1765,3570
202101,경원선,도봉산,4159,2890,7049
202101,경원선,망월사,2131,2236,4367
202101,경원선,회룡,3280,3378,6658
202101,경원선,의정부,6357,6358,12715
202101,경원선,가능,2071,2035,4106
202101,경원선,녹양,1302,1307,2609
202101,경원선,양주,2221,2255,4476
202101,경원선,덕계,739,779,1518
202101,경원선,덕정,1625,1606,3231
202101,경원선,지행,2089,2102,4191
202101,경원선,동두천중앙,1108,1154,2262
202101,경원선,보산,700,762,1462
202101,경원선,동두천,568,714,1282
202101,경원선,소요산,1555,1447,3002
202101,경원선,이촌,2963,2349,5312
202101,경원선,서빙고,1472,1315,2787
202101,경원선,한남,3347,3113,6460
202101,경원선,옥수,40,21,61
202101,경원선,응봉,1445,1234,2679
202101,경원선,왕십리,9930,11608,21538
202101,경원선,청량리,10469,11256,21725
202101,경원선,외대앞,5579,5783,11362
202101,경원선,신이문,7280,6827,14107
202101,경원선,석계,6510,7654,14164
202101,경원선,광운대,6462,6155,12617
202101,경원선,월계,4980,4821,9801
202101,경원선,녹천,3976,3381,7357
202101,경원선,창동,1,0,1
202101,경원선,방학,7765,7634,15399
202101,경원선,도봉,4923,4818,9741
202101,경원선,도봉산,6171,3679,9850
202101,경원선,망월사,5583,5797,11380
202101,경원선,회룡,9958,9798,19756
202101,경원선,의정부,14011,14209,28220
202101,경원선,가능,5143,5026,10169
202101,경원선,녹양,3672,3515,7187
202101,경원선,양주,5924,5566,11490
202101,경원선,덕계,2163,1894,4057
202101,경원선,덕정,4249,4198,8447
202101,경원선,지행,4933,4817,9750
202101,경원선,동두천중앙,2470,2352,4822
202101,경원선,보산,1153,1024,2177
202101,경원선,동두천,1487,1722,3209
202101,경원선,소요산,1864,1589,3453
202101,경원선,소요산,1771,1504,3275
202101,경원선,동두천,1502,1665,3167
202101,경원선,보산,1065,981,2046
202101,경원선,동두천중앙,2430,2353,4783
202101,경원선,지행,4780,4667,9447
202101,경원선,덕정,4085,4134,8219
202101,경원선,덕계,2158,1955,4113
202101,경원선,양주,5886,5575,11461
202101,경원선,녹양,3640,3514,7154
202101,경원선,가능,5102,4951,10053
202101,경원선,의정부,14035,14017,28052
202101,경원선,회룡,9976,9908,19884
202101,경원선,망월사,5589,5786,11375
202101,경원선,도봉산,5975,3515,9490
202101,경원선,도봉,4914,4775,9689
202101,경원선,방학,7623,7539,15162
202101,경원선,녹천,3938,3333,7271
202101,경원선,월계,4949,4709,9658
202101,경원선,광운대,6370,6153,12523
202101,경원선,석계,6452,7443,13895
202101,경원선,신이문,7275,6784,14059
202101,경원선,외대앞,5605,5636,11241
202101,경원선,청량리,10667,11196,21863
202101,경원선,왕십리,9691,11144,20835
202101,경원선,응봉,1417,1265,2682
202101,경원선,옥수,32,26,58
202101,경원선,한남,3347,3117,6464
202101,경원선,서빙고,1434,1331,2765
202101,경원선,이촌,2892,2236,5128
202101,경원선,소요산,1511,1305,2816
202101,경원선,동두천,1340,1640,2980
202101,경원선,보산,1047,1035,2082
202101,경원선,동두천중앙,2205,2290,4495
