사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,4호선,쌍문,12277,11291,23568
202101,4호선,창동,11236,11911,23147
202101,4호선,노원,8913,9767,18680
202101,4호선,상계,8140,7761,15901
202101,4호선,당고개,5707,5451,11158
202101,4호선,남태령,383,378,761
202101,4호선,사당,8752,8333,17085
202101,4호선,총신대입구,7734,8434,16168
202101,4호선,동작,1100,1077,2177
202101,4호선,이촌,2406,2716,5122
202101,4호선,신용산,4667,4752,9419
202101,4호선,삼각지,1274,1548,2822
202101,4호선,숙대입구,4219,4101,8320
202101,4호선,서울역,2425,4003,6428
202101,4호선,회현,6789,7060,13849
202101,4호선,명동,6217,6604,12821
202101,4호선,충무로,5573,5809,11382
202101,4호선,동대문역사문화공원,4987,4512,9499
202101,4호선,동대문,5508,5612,11120
202101,4호선,혜화,10234,10444,20678
202101,4호선,한성대입구,5327,5242,10569
202101,4호선,성신여대입구,8838,8684,17522
202101,4호선,길음,7056,6948,14004
202101,4호선,미아사거리,12866,12528,25394
202101,4호선,미아,6345,6191,12536
202101,4호선,수유,15531,15112,30643
202101,4호선,쌍문,9272,8337,17609
202101,4호선,창동,8467,8836,17303
202101,4호선,노원,6418,6921,13339
202101,4호선,상계,6098,5675,11773
202101,4호선,당고개,4684,4278,8962
202101,4호선,남태령,306,303,609
202101,4호선,사당,7229,7514,14743
202101,4호선,총신대입구,5490,6075,11565
202101,4호선,동작,881,929,1810
202101,4호선,이촌,1714,1974,3688
202101,4호선,신용산,3802,3663,7465
202101,4호선,삼각지,897,1152,2049
202101,4호선,숙대입구,3158,3088,6246
202101,4호선,서울역,2091,3664,5755
202101,4호선,회현,4778,4785,9563
202101,4호선,명동,4513,4772,9285
202101,4호선,충무로,3715,3934,7649
202101,4호선,동대문역사문화공원,4408,4630,9038
202101,4호선,동대문,3477,3958,7435
202101,4호선,혜화,8355,8621,16976
202101,4호선,한성대입구,4111,4241,8352
202101,4호선,성신여대입구,6559,6653,13212
202101,4호선,길음,5246,5261,10507
202101,4호선,미아사거리,9586,9211,18797
202101,4호선,미아,4754,4626,9380
202101,4호선,수유,11878,11498,23376
202101,4호선,쌍문,14322,13332,27654
202101,4호선,창동,12544,13572,26116
202101,4호선,노원,10321,11183,21504
202101,4호선,상계,9202,8710,17912
202101,4호선,당고개,5948,5849,11797
202101,4호선,남태령,482,421,903
202101,4호선,사당,11590,9885,21475
202101,4호선,총신대입구,9375,10055,19430
202101,4호선,동작,995,1004,1999
202101,4호선,이촌,2861,3135,5996
202101,4호선,신용산,5405,5855,11260
202101,4호선,삼각지,1641,1869,3510
202101,4호선,숙대입구,5503,5278,10781
202101,4호선,서울역,3078,5493,8571
202101,4호선,회현,9654,10130,19784
202101,4호선,명동,6812,7686,14498
202101,4호선,충무로,7511,7806,15317
202101,4호선,동대문역사문화공원,6687,5580,12267
202101,4호선,동대문,8469,8403,16872
202101,4호선,혜화,12723,12776,25499
202101,4호선,한성대입구,6493,6218,12711
202101,4호선,성신여대입구,10530,10214,20744
202101,4호선,길음,8498,8356,16854
202101,4호선,미아사거리,14866,14815,29681
202101,4호선,미아,7527,7309,14836
202101,4호선,수유,18027,17865,35892
202101,4호선,쌍문,9606,8783,18389
202101,4호선,창동,8650,9191,17841
202101,4호선,노원,7098,7767,14865
202101,4호선,상계,6204,5880,12084
202101,4호선,당고개,4619,4510,9129
202101,4호선,남태령,336,284,620
202101,4호선,사당,7774,7898,15672
202101,4호선,총신대입구,5930,6419,12349
202101,4호선,동작,843,898,1741
202101,4호선,이촌,1831,2123,3954
202101,4호선,신용산,3719,3828,7547
202101,4호선,삼각지,1040,1216,2256
202101,4호선,숙대입구,3417,3332,6749
202101,4호선,서울역,2268,4107,6375
202101,4호선,회현,5037,5111,10148
202101,4호선,명동,5013,4977,9990
202101,4호선,충무로,5269,5230,10499
202101,4호선,동대문역사문화공원,5097,5062,10159
202101,4호선,동대문,3549,4145,7694
202101,4호선,혜화,9476,9784,19260
202101,4호선,한성대입구,4368,4367,8735
202101,4호선,성신여대입구,7482,7193,14675
202101,4호선,길음,5802,5729,11531
202101,4호선,미아사거리,9877,9444,19321
202101,4호선,미아,4947,4730,9677
202101,4호선,수유,12588,11992,24580
202101,4호선,수유,20067,19922,39989
202101,4호선,미아,8447,8267,16714
202101,4호선,미아사거리,16819,16637,33456
202101,4호선,길음,9998,9635,19633
202101,4호선,성신여대입구,12060,11468,23528
202101,4호선,한성대입구,7453,7151,14604
202101,4호선,혜화,15347,15441,30788
202101,4호선,동대문,10050,10023,20073
202101,4호선,동대문역사문화공원,7806,6535,14341
202101,4호선,충무로,8607,8554,17161
202101,4호선,명동,8463,9587,18050
202101,4호선,회현,12046,12522,24568
202101,4호선,서울역,3586,6546,10132
202101,4호선,숙대입구,6093,5903,11996
202101,4호선,삼각지,1833,2219,4052
202101,4호선,신용산,6195,6555,12750
202101,4호선,이촌,3319,3592,6911
202101,4호선,동작,1333,1376,2709
202101,4호선,총신대입구,10817,11656,22473
202101,4호선,사당,13540,11448,24988
202101,4호선,남태령,506,427,933
202101,4호선,당고개,7425,6956,14381
202101,4호선,상계,10576,10037,20613
202101,4호선,노원,11663,12680,24343
202101,4호선,창동,14588,15853,30441
202101,4호선,쌍문,16155,15148,31303
202101,4호선,명동,5899,5841,11740
202101,4호선,혜화,11111,11198,22309
202101,4호선,수유,13851,13207,27058
202101,4호선,미아,5359,5160,10519
202101,4호선,미아사거리,11176,10689,21865
202101,4호선,길음,6576,6558,13134
202101,4호선,성신여대입구,8145,8010,16155
202101,4호선,한성대입구,4852,4911,9763
202101,4호선,동대문,4101,4663,8764
202101,4호선,동대문역사문화공원,5518,5636,11154
202101,4호선,충무로,4564,4731,9295
202101,4호선,회현,5604,5670,11274
202101,4호선,서울역,2475,4866,7341
202101,4호선,숙대입구,3744,3724,7468
202101,4호선,삼각지,1170,1394,2564
202101,4호선,신용산,4409,4433,8842
202101,4호선,이촌,2031,2419,4450
202101,4호선,동작,929,973,1902
202101,4호선,총신대입구,6664,7326,13990
202101,4호선,사당,9083,8714,17797
202101,4호선,남태령,379,346,725
202101,4호선,당고개,5272,5000,10272
202101,4호선,상계,7120,6802,13922
202101,4호선,노원,7652,8315,15967
202101,4호선,창동,9719,10312,20031
202101,4호선,쌍문,10686,9844,20530
202101,4호선,수유,21797,21441,43238
202101,4호선,미아,9114,9015,18129
202101,4호선,미아사거리,17862,17605,35467
202101,4호선,길음,11165,10743,21908
202101,4호선,성신여대입구,13155,12533,25688
202101,4호선,한성대입구,8324,7970,16294
202101,4호선,혜화,17769,18099,35868
202101,4호선,동대문,10712,10764,21476
202101,4호선,동대문역사문화공원,8677,7411,16088
202101,4호선,충무로,9483,9893,19376
202101,4호선,명동,9068,10324,19392
202101,4호선,회현,13064,13846,26910
202101,4호선,서울역,3831,7331,11162
202101,4호선,숙대입구,6868,6582,13450
202101,4호선,삼각지,2116,2641,4757
202101,4호선,신용산,6822,7242,14064
202101,4호선,이촌,4388,4841,9229
202101,4호선,동작,1614,1682,3296
202101,4호선,총신대입구,11794,12693,24487
202101,4호선,사당,14793,13026,27819
202101,4호선,남태령,656,505,1161
