사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,공항철도 1호선,영종,1351,1383,2734
202101,공항철도 1호선,인천공항2터미널,1362,1267,2629
202101,공항철도 1호선,인천공항1터미널,2500,2491,4991
202101,공항철도 1호선,공항화물청사,1000,1059,2059
202101,공항철도 1호선,운서,3250,3399,6649
202101,공항철도 1호선,청라국제도시,1850,1693,3543
202101,공항철도 1호선,검암,2453,2469,4922
202101,공항철도 1호선,계양,3031,3034,6065
202101,공항철도 1호선,김포공항,5590,2573,8163
202101,공항철도 1호선,마곡나루,1084,1149,2233
202101,공항철도 1호선,디지털미디어시티,2435,2360,4795
202101,공항철도 1호선,홍대입구,3907,3896,7803
202101,공항철도 1호선,공덕,669,968,1637
202101,공항철도 1호선,서울역,3039,2472,5511
202101,공항철도 1호선,운서,2822,3256,6078
202101,공항철도 1호선,공항화물청사,738,827,1565
202101,공항철도 1호선,인천공항1터미널,2393,2370,4763
202101,공항철도 1호선,인천공항2터미널,1351,1286,2637
202101,공항철도 1호선,영종,1131,1107,2238
202101,공항철도 1호선,서울역,3898,2847,6745
202101,공항철도 1호선,공덕,590,856,1446
202101,공항철도 1호선,홍대입구,3208,3285,6493
202101,공항철도 1호선,디지털미디어시티,1916,2039,3955
202101,공항철도 1호선,마곡나루,934,1067,2001
202101,공항철도 1호선,김포공항,7307,3153,10460
202101,공항철도 1호선,계양,2634,2492,5126
202101,공항철도 1호선,검암,2081,2077,4158
202101,공항철도 1호선,청라국제도시,1616,1433,3049
202101,공항철도 1호선,영종,1433,1514,2947
202101,공항철도 1호선,인천공항2터미널,1533,1403,2936
202101,공항철도 1호선,인천공항1터미널,2344,2493,4837
202101,공항철도 1호선,공항화물청사,1153,1206,2359
202101,공항철도 1호선,운서,3579,3675,7254
202101,공항철도 1호선,청라국제도시,2272,2130,4402
202101,공항철도 1호선,검암,2791,2798,5589
202101,공항철도 1호선,계양,3483,3551,7034
202101,공항철도 1호선,김포공항,5658,3140,8798
202101,공항철도 1호선,마곡나루,1416,1386,2802
202101,공항철도 1호선,디지털미디어시티,3125,3062,6187
202101,공항철도 1호선,홍대입구,4761,4800,9561
202101,공항철도 1호선,공덕,914,1378,2292
202101,공항철도 1호선,서울역,3444,3378,6822
202101,공항철도 1호선,영종,1211,1154,2365
202101,공항철도 1호선,인천공항2터미널,1415,1392,2807
202101,공항철도 1호선,인천공항1터미널,2340,2434,4774
202101,공항철도 1호선,공항화물청사,858,899,1757
202101,공항철도 1호선,운서,2917,3110,6027
202101,공항철도 1호선,청라국제도시,1624,1509,3133
202101,공항철도 1호선,검암,2146,2124,4270
202101,공항철도 1호선,계양,2567,2517,5084
202101,공항철도 1호선,김포공항,5375,2999,8374
202101,공항철도 1호선,마곡나루,981,1044,2025
202101,공항철도 1호선,디지털미디어시티,2061,2048,4109
202101,공항철도 1호선,홍대입구,3779,3464,7243
202101,공항철도 1호선,공덕,597,794,1391
202101,공항철도 1호선,서울역,3342,2723,6065
202101,공항철도 1호선,서울역,3907,3856,7763
202101,공항철도 1호선,공덕,956,1437,2393
202101,공항철도 1호선,홍대입구,5975,5830,11805
202101,공항철도 1호선,디지털미디어시티,3434,3253,6687
202101,공항철도 1호선,마곡나루,1724,1769,3493
202101,공항철도 1호선,김포공항,6300,3720,10020
202101,공항철도 1호선,계양,4178,4131,8309
202101,공항철도 1호선,검암,3151,3144,6295
202101,공항철도 1호선,청라국제도시,2514,2453,4967
202101,공항철도 1호선,운서,4063,4092,8155
202101,공항철도 1호선,공항화물청사,1215,1184,2399
202101,공항철도 1호선,인천공항1터미널,2629,2858,5487
202101,공항철도 1호선,인천공항2터미널,1556,1376,2932
202101,공항철도 1호선,영종,1718,1839,3557
202101,공항철도 1호선,영종,1349,1305,2654
202101,공항철도 1호선,인천공항2터미널,1490,1389,2879
202101,공항철도 1호선,인천공항1터미널,2530,2600,5130
202101,공항철도 1호선,공항화물청사,830,945,1775
202101,공항철도 1호선,운서,3251,3468,6719
202101,공항철도 1호선,청라국제도시,1882,1686,3568
202101,공항철도 1호선,검암,2299,2392,4691
202101,공항철도 1호선,계양,2883,2791,5674
202101,공항철도 1호선,김포공항,6833,3784,10617
202101,공항철도 1호선,마곡나루,1159,1203,2362
202101,공항철도 1호선,디지털미디어시티,2477,2397,4874
202101,공항철도 1호선,홍대입구,4647,4094,8741
202101,공항철도 1호선,공덕,795,1019,1814
202101,공항철도 1호선,서울역,3989,3450,7439
202101,공항철도 1호선,서울역,4466,4274,8740
202101,공항철도 1호선,공덕,1112,1685,2797
202101,공항철도 1호선,홍대입구,7364,7226,14590
202101,공항철도 1호선,디지털미디어시티,4193,3829,8022
202101,공항철도 1호선,마곡나루,2122,2280,4402
202101,공항철도 1호선,김포공항,6862,3886,10748
202101,공항철도 1호선,계양,4705,4370,9075
202101,공항철도 1호선,검암,3566,3688,7254
202101,공항철도 1호선,청라국제도시,3027,2884,5911
202101,공항철도 1호선,운서,4414,4457,8871
202101,공항철도 1호선,공항화물청사,1237,1240,2477
202101,공항철도 1호선,인천공항1터미널,2642,2793,5435
202101,공항철도 1호선,인천공항2터미널,1543,1393,2936
202101,공항철도 1호선,영종,1961,2047,4008
202101,공항철도 1호선,서울역,4265,3662,7927
202101,공항철도 1호선,공덕,849,1195,2044
202101,공항철도 1호선,홍대입구,6020,5465,11485
