사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,수인선,인천,634,986,1620
202101,수인선,신포,797,823,1620
202101,수인선,숭의,1542,1442,2984
202101,수인선,인하대,2208,2125,4333
202101,수인선,송도,1187,1125,2312
202101,수인선,연수,2123,2095,4218
202101,수인선,원인재,2108,2232,4340
202101,수인선,남동인더스파크,507,508,1015
202101,수인선,호구포,1277,1341,2618
202101,수인선,인천논현,2535,2554,5089
202101,수인선,소래포구,2892,2907,5799
202101,수인선,월곶,1194,1130,2324
202101,수인선,달월,39,39,78
202101,수인선,사리,1559,1353,2912
202101,수인선,야목,80,82,162
202101,수인선,어천,254,254,508
202101,수인선,오목천,875,806,1681
202101,수인선,고색,1078,1109,2187
202101,수인선,고색,889,948,1837
202101,수인선,오목천,698,711,1409
202101,수인선,어천,215,337,552
202101,수인선,야목,87,75,162
202101,수인선,사리,1197,1004,2201
202101,수인선,달월,37,30,67
202101,수인선,월곶,959,909,1868
202101,수인선,소래포구,2379,2288,4667
202101,수인선,인천논현,1784,1852,3636
202101,수인선,호구포,1124,1191,2315
202101,수인선,남동인더스파크,328,422,750
202101,수인선,원인재,1633,1658,3291
202101,수인선,연수,1616,1597,3213
202101,수인선,송도,905,858,1763
202101,수인선,인하대,1801,1697,3498
202101,수인선,숭의,1148,1061,2209
202101,수인선,신포,654,606,1260
202101,수인선,인천,509,806,1315
202101,수인선,인천,598,977,1575
202101,수인선,신포,856,886,1742
202101,수인선,숭의,1739,1671,3410
202101,수인선,인하대,3622,3227,6849
202101,수인선,송도,1266,1187,2453
202101,수인선,연수,2457,2508,4965
202101,수인선,야목,123,102,225
202101,수인선,어천,304,285,589
202101,수인선,오목천,1196,1091,2287
202101,수인선,고색,1630,1665,3295
202101,수인선,원인재,2426,2594,5020
202101,수인선,남동인더스파크,782,800,1582
202101,수인선,호구포,1812,1748,3560
202101,수인선,인천논현,2952,2984,5936
202101,수인선,소래포구,2745,2925,5670
202101,수인선,월곶,1326,1323,2649
202101,수인선,달월,35,31,66
202101,수인선,사리,1772,1542,3314
202101,수인선,인천,489,759,1248
202101,수인선,신포,627,558,1185
202101,수인선,숭의,1216,1115,2331
202101,수인선,인하대,1910,1805,3715
202101,수인선,송도,890,905,1795
202101,수인선,연수,1758,1723,3481
202101,수인선,원인재,1752,1763,3515
202101,수인선,남동인더스파크,370,400,770
202101,수인선,호구포,1168,1204,2372
202101,수인선,인천논현,1793,1862,3655
202101,수인선,소래포구,2473,2419,4892
202101,수인선,월곶,962,928,1890
202101,수인선,달월,32,29,61
202101,수인선,사리,1266,1120,2386
202101,수인선,야목,81,74,155
202101,수인선,어천,211,293,504
202101,수인선,오목천,786,752,1538
202101,수인선,고색,969,942,1911
202101,수인선,고색,1690,1726,3416
202101,수인선,오목천,1344,1223,2567
202101,수인선,어천,358,310,668
202101,수인선,야목,125,119,244
202101,수인선,사리,2057,1740,3797
202101,수인선,달월,40,37,77
202101,수인선,월곶,1558,1462,3020
202101,수인선,소래포구,3577,3751,7328
202101,수인선,인천논현,3288,3374,6662
202101,수인선,호구포,1900,1807,3707
202101,수인선,남동인더스파크,932,884,1816
202101,수인선,원인재,2661,2829,5490
202101,수인선,연수,2717,2723,5440
202101,수인선,송도,1477,1434,2911
202101,수인선,인하대,3076,2805,5881
202101,수인선,숭의,2018,1935,3953
202101,수인선,신포,933,1007,1940
202101,수인선,인천,774,1229,2003
202101,수인선,인천,670,997,1667
202101,수인선,신포,684,711,1395
202101,수인선,숭의,1397,1355,2752
202101,수인선,인하대,2148,2083,4231
202101,수인선,송도,1143,1078,2221
202101,수인선,연수,2023,1899,3922
202101,수인선,원인재,1951,1983,3934
202101,수인선,남동인더스파크,552,596,1148
202101,수인선,오목천,850,847,1697
202101,수인선,고색,1054,1035,2089
202101,수인선,호구포,1347,1410,2757
202101,수인선,인천논현,2239,2293,4532
202101,수인선,소래포구,3005,2921,5926
202101,수인선,월곶,1195,1138,2333
202101,수인선,달월,36,35,71
202101,수인선,사리,1526,1359,2885
202101,수인선,야목,71,61,132
202101,수인선,어천,270,339,609
202101,수인선,고색,1878,1887,3765
202101,수인선,오목천,1361,1227,2588
202101,수인선,어천,401,389,790
202101,수인선,야목,163,149,312
202101,수인선,사리,2283,2013,4296
202101,수인선,달월,47,40,87
202101,수인선,월곶,1639,1656,3295
202101,수인선,소래포구,4518,4671,9189
202101,수인선,인천논현,3677,3752,7429
202101,수인선,호구포,2130,2097,4227
202101,수인선,남동인더스파크,992,950,1942
202101,수인선,원인재,2909,2993,5902
202101,수인선,연수,3084,3198,6282
202101,수인선,송도,1698,1576,3274
202101,수인선,인하대,3332,3072,6404
202101,수인선,숭의,2324,2170,4494
202101,수인선,신포,1109,1179,2288
202101,수인선,인천,878,1498,2376
202101,수인선,고색,1249,1260,2509
202101,수인선,오목천,957,989,1946
202101,수인선,어천,326,399,725
202101,수인선,야목,120,112,232
202101,수인선,사리,1686,1484,3170
202101,수인선,달월,27,28,55
202101,수인선,월곶,1265,1181,2446
202101,수인선,소래포구,4091,3897,7988
202101,수인선,인천논현,2395,2460,4855
202101,수인선,호구포,1602,1640,3242
202101,수인선,남동인더스파크,501,568,1069
202101,수인선,원인재,2254,2242,4496
202101,수인선,연수,2258,2192,4450
202101,수인선,송도,1348,1222,2570
202101,수인선,인하대,2385,2201,4586
202101,수인선,숭의,1506,1428,2934
202101,수인선,신포,862,863,1725
202101,수인선,인천,788,1236,2024
202101,수인선,사리,2343,1981,4324
202101,수인선,고색,1863,1799,3662
202101,수인선,오목천,1380,1245,2625
202101,수인선,어천,424,407,831
202101,수인선,야목,133,109,242
202101,수인선,달월,55,41,96
202101,수인선,월곶,1650,1707,3357
202101,수인선,소래포구,4054,4209,8263
202101,수인선,인천논현,3839,3901,7740
202101,수인선,호구포,2026,1944,3970
202101,수인선,남동인더스파크,959,927,1886
202101,수인선,원인재,3055,3110,6165
202101,수인선,연수,3080,3147,6227
202101,수인선,송도,1701,1568,3269
202101,수인선,인하대,3387,3155,6542
202101,수인선,숭의,2326,2137,4463
202101,수인선,신포,1137,1190,2327
202101,수인선,인천,804,1361,2165
202101,수인선,고색,1061,1187,2248
202101,수인선,오목천,993,966,1959
202101,수인선,어천,331,366,697
202101,수인선,야목,113,96,209
202101,수인선,사리,1775,1495,3270
202101,수인선,달월,35,42,77
202101,수인선,월곶,1300,1188,2488
202101,수인선,소래포구,3726,3662,7388
202101,수인선,인천논현,2572,2605,5177
202101,수인선,호구포,1533,1530,3063
202101,수인선,남동인더스파크,585,559,1144
202101,수인선,원인재,2153,2232,4385
202101,수인선,연수,2322,2262,4584
202101,수인선,송도,1351,1253,2604
202101,수인선,인하대,2496,2361,4857
202101,수인선,숭의,1572,1506,3078
202101,수인선,신포,893,875,1768
202101,수인선,인천,829,1270,2099
202102,수인선,인천,930,1578,2508
202102,수인선,신포,1318,1370,2688
202102,수인선,숭의,2377,2243,4620
202102,수인선,인하대,3575,3343,6918
202102,수인선,송도,1894,1719,3613
202102,수인선,연수,3128,3167,6295
202102,수인선,원인재,3138,3184,6322
202102,수인선,남동인더스파크,973,971,1944
202102,수인선,호구포,2093,2021,4114
202102,수인선,인천논현,3824,4042,7866
202102,수인선,소래포구,4146,4175,8321
202102,수인선,월곶,1786,1722,3508
202102,수인선,달월,49,51,100
202102,수인선,사리,2489,2190,4679
202102,수인선,야목,136,124,260
202102,수인선,어천,432,401,833
202102,수인선,오목천,1475,1336,2811
202102,수인선,고색,1914,1947,3861
202102,수인선,인천,856,1291,2147
202102,수인선,신포,886,838,1724
202102,수인선,숭의,1624,1536,3160
202102,수인선,인하대,2632,2459,5091
202102,수인선,송도,1339,1178,2517
202102,수인선,연수,2423,2358,4781
202102,수인선,원인재,2300,2338,4638
202102,수인선,남동인더스파크,618,634,1252
202102,수인선,호구포,1533,1611,3144
202102,수인선,인천논현,2576,2694,5270
202102,수인선,소래포구,3504,3366,6870
202102,수인선,월곶,1250,1266,2516
202102,수인선,달월,39,37,76
202102,수인선,사리,1750,1514,3264
202102,수인선,야목,127,103,230
202102,수인선,어천,287,359,646
202102,수인선,오목천,965,933,1898
202102,수인선,고색,1149,1282,2431
202102,수인선,고색,1221,1308,2529
202102,수인선,오목천,1166,1053,2219
202102,수인선,어천,406,429,835
202102,수인선,야목,140,134,274
202102,수인선,사리,2258,1798,4056
202102,수인선,달월,48,57,105
202102,수인선,월곶,1778,1536,3314
202102,수인선,소래포구,5119,5064,10183
202102,수인선,인천논현,2805,2932,5737
202102,수인선,호구포,1546,1695,3241
