사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,9호선2~3단계,중앙보훈병원,2199,1996,4195
202101,9호선2~3단계,둔촌오륜,278,274,552
202101,9호선2~3단계,올림픽공원,1915,1910,3825
202101,9호선2~3단계,한성백제,857,777,1634
202101,9호선2~3단계,송파나루,1811,1899,3710
202101,9호선2~3단계,석촌,2824,2523,5347
202101,9호선2~3단계,석촌고분,2227,2271,4498
202101,9호선2~3단계,삼전,2702,2621,5323
202101,9호선2~3단계,종합운동장,1446,1400,2846
202101,9호선2~3단계,봉은사,4492,4367,8859
202101,9호선2~3단계,삼성중앙,1575,1595,3170
202101,9호선2~3단계,선정릉,2062,2321,4383
202101,9호선2~3단계,언주,2723,2665,5388
202101,9호선2~3단계,삼성중앙,1152,1214,2366
202101,9호선2~3단계,봉은사,3390,3331,6721
202101,9호선2~3단계,종합운동장,1050,1101,2151
202101,9호선2~3단계,삼전,2021,2132,4153
202101,9호선2~3단계,석촌고분,1767,1890,3657
202101,9호선2~3단계,석촌,2172,2041,4213
202101,9호선2~3단계,송파나루,1332,1521,2853
202101,9호선2~3단계,한성백제,628,663,1291
202101,9호선2~3단계,올림픽공원,1463,1473,2936
202101,9호선2~3단계,둔촌오륜,227,232,459
202101,9호선2~3단계,중앙보훈병원,1723,1642,3365
202101,9호선2~3단계,언주,1704,1822,3526
202101,9호선2~3단계,선정릉,1527,1737,3264
202101,9호선2~3단계,중앙보훈병원,2537,2287,4824
202101,9호선2~3단계,둔촌오륜,449,411,860
202101,9호선2~3단계,올림픽공원,2156,2116,4272
202101,9호선2~3단계,한성백제,1228,1082,2310
202101,9호선2~3단계,송파나루,2526,2616,5142
202101,9호선2~3단계,석촌,3769,3175,6944
202101,9호선2~3단계,석촌고분,3049,2978,6027
202101,9호선2~3단계,삼전,3534,3466,7000
202101,9호선2~3단계,종합운동장,1933,1811,3744
202101,9호선2~3단계,봉은사,5856,5914,11770
202101,9호선2~3단계,삼성중앙,2156,2122,4278
202101,9호선2~3단계,선정릉,2998,3159,6157
202101,9호선2~3단계,언주,4213,4098,8311
202101,9호선2~3단계,중앙보훈병원,1782,1737,3519
202101,9호선2~3단계,둔촌오륜,281,261,542
202101,9호선2~3단계,올림픽공원,1546,1547,3093
202101,9호선2~3단계,한성백제,799,693,1492
202101,9호선2~3단계,송파나루,1675,1758,3433
202101,9호선2~3단계,석촌,2588,2192,4780
202101,9호선2~3단계,석촌고분,2028,2046,4074
202101,9호선2~3단계,삼전,2402,2399,4801
202101,9호선2~3단계,종합운동장,1178,1128,2306
