사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,경강선,여주,891,853,1744
202101,경강선,세종대왕릉,135,136,271
202101,경강선,부발,766,769,1535
202101,경강선,이천,1235,1239,2474
202101,경강선,신둔도예촌,458,441,899
202101,경강선,곤지암,873,831,1704
202101,경강선,초월,1065,1021,2086
202101,경강선,경기광주,2452,2465,4917
202101,경강선,삼동,798,747,1545
202101,경강선,이매,385,291,676
202101,경강선,판교,1587,1563,3150
202101,경강선,판교,1325,1230,2555
202101,경강선,이매,308,223,531
202101,경강선,삼동,559,535,1094
202101,경강선,경기광주,1926,1964,3890
202101,경강선,초월,878,953,1831
202101,경강선,곤지암,724,875,1599
202101,경강선,신둔도예촌,446,373,819
202101,경강선,이천,1060,1169,2229
202101,경강선,부발,633,1354,1987
202101,경강선,세종대왕릉,143,126,269
202101,경강선,여주,1052,788,1840
202101,경강선,여주,994,1003,1997
202101,경강선,세종대왕릉,127,136,263
202101,경강선,부발,1171,876,2047
202101,경강선,이천,1470,1538,3008
202101,경강선,신둔도예촌,546,531,1077
202101,경강선,곤지암,1116,1017,2133
202101,경강선,초월,1452,1351,2803
202101,경강선,경기광주,3167,3145,6312
202101,경강선,삼동,958,941,1899
202101,경강선,이매,474,387,861
202101,경강선,판교,1981,1903,3884
202101,경강선,여주,842,758,1600
202101,경강선,세종대왕릉,111,112,223
202101,경강선,부발,692,1259,1951
202101,경강선,이천,1056,1194,2250
202101,경강선,신둔도예촌,408,418,826
202101,경강선,곤지암,747,885,1632
202101,경강선,초월,870,924,1794
202101,경강선,경기광주,2155,2168,4323
202101,경강선,삼동,567,582,1149
202101,경강선,이매,341,236,577
202101,경강선,판교,1529,1399,2928
202101,경강선,판교,2038,1990,4028
202101,경강선,이매,545,373,918
202101,경강선,삼동,1025,1031,2056
202101,경강선,경기광주,3570,3449,7019
202101,경강선,초월,1505,1381,2886
202101,경강선,곤지암,1298,1248,2546
202101,경강선,신둔도예촌,678,645,1323
202101,경강선,이천,1683,1717,3400
202101,경강선,부발,1341,1022,2363
202101,경강선,세종대왕릉,172,177,349
202101,경강선,여주,1199,1212,2411
202101,경강선,판교,1722,1511,3233
202101,경강선,이매,413,287,700
202101,경강선,삼동,717,758,1475
202101,경강선,경기광주,2392,2500,4892
202101,경강선,초월,1090,1162,2252
202101,경강선,곤지암,914,1049,1963
202101,경강선,신둔도예촌,498,456,954
202101,경강선,이천,1310,1439,2749
202101,경강선,부발,834,1499,2333
202101,경강선,세종대왕릉,139,131,270
202101,경강선,여주,1120,1006,2126
202101,경강선,판교,2219,2069,4288
202101,경강선,이매,591,449,1040
202101,경강선,삼동,1188,1156,2344
202101,경강선,경기광주,3672,3681,7353
202101,경강선,초월,1644,1523,3167
202101,경강선,곤지암,1334,1276,2610
202101,경강선,신둔도예촌,701,691,1392
202101,경강선,이천,1919,1980,3899
202101,경강선,부발,1474,1165,2639
202101,경강선,세종대왕릉,203,209,412
202101,경강선,여주,1415,1557,2972
202101,경강선,판교,1738,1579,3317
202101,경강선,이매,463,346,809
202101,경강선,삼동,737,768,1505
202101,경강선,경기광주,2708,2788,5496
202101,경강선,초월,1125,1193,2318
202101,경강선,곤지암,1062,1119,2181
202101,경강선,신둔도예촌,555,513,1068
202101,경강선,이천,1512,1565,3077
202101,경강선,부발,916,1569,2485
202101,경강선,세종대왕릉,162,158,320
202101,경강선,여주,1297,1183,2480
202101,경강선,판교,2175,2121,4296
202101,경강선,이매,551,435,986
202101,경강선,삼동,1149,1073,2222
202101,경강선,경기광주,3826,3666,7492
202101,경강선,초월,1694,1592,3286
202101,경강선,곤지암,1378,1349,2727
202101,경강선,신둔도예촌,717,697,1414
202101,경강선,이천,1841,1937,3778
202101,경강선,부발,1450,1163,2613
202101,경강선,세종대왕릉,178,207,385
202101,경강선,여주,1330,1399,2729
202101,경강선,판교,1807,1615,3422
202101,경강선,이매,409,306,715
202101,경강선,삼동,722,728,1450
202101,경강선,경기광주,2771,2757,5528
202101,경강선,초월,1172,1194,2366
202101,경강선,곤지암,1062,1109,2171
202101,경강선,신둔도예촌,570,539,1109
202101,경강선,이천,1433,1627,3060
202101,경강선,부발,886,1525,2411
202101,경강선,세종대왕릉,168,133,301
202101,경강선,여주,1323,1158,2481
202102,경강선,판교,2496,2402,4898
202102,경강선,이매,618,465,1083
202102,경강선,삼동,1219,1100,2319
202102,경강선,경기광주,4027,3866,7893
202102,경강선,초월,1743,1709,3452
202102,경강선,곤지암,1414,1278,2692
202102,경강선,신둔도예촌,764,761,1525
202102,경강선,이천,1959,2028,3987
202102,경강선,부발,1442,1179,2621
202102,경강선,세종대왕릉,201,218,419
202102,경강선,여주,1358,1445,2803
202102,경강선,여주,1220,1080,2300
202102,경강선,세종대왕릉,164,157,321
202102,경강선,부발,923,1533,2456
202102,경강선,이천,1483,1655,3138
202102,경강선,신둔도예촌,580,572,1152
202102,경강선,곤지암,1077,1158,2235
202102,경강선,초월,1227,1241,2468
202102,경강선,경기광주,2851,2902,5753
202102,경강선,삼동,799,781,1580
202102,경강선,이매,446,307,753
202102,경강선,판교,1931,1761,3692
202102,경강선,판교,2009,2024,4033
202102,경강선,이매,585,369,954
202102,경강선,삼동,889,849,1738
202102,경강선,경기광주,3319,3191,6510
202102,경강선,초월,1360,1221,2581
202102,경강선,곤지암,1325,1291,2616
202102,경강선,신둔도예촌,697,575,1272
202102,경강선,이천,1953,1690,3643
202102,경강선,부발,965,873,1838
202102,경강선,세종대왕릉,254,225,479
202102,경강선,여주,1881,1381,3262
202102,경강선,여주,1722,1299,3021
202102,경강선,세종대왕릉,263,202,465
202102,경강선,부발,1005,1453,2458
202102,경강선,이천,1797,1821,3618
202102,경강선,신둔도예촌,677,592,1269
202102,경강선,곤지암,1142,1381,2523
202102,경강선,초월,1319,1269,2588
202102,경강선,경기광주,3062,3181,6243
202102,경강선,삼동,819,825,1644
202102,경강선,이매,530,379,909
202102,경강선,판교,1925,1860,3785
202102,경강선,여주,1602,1750,3352
202102,경강선,세종대왕릉,230,260,490
202102,경강선,부발,1576,1332,2908
202102,경강선,이천,2329,2427,4756
202102,경강선,신둔도예촌,930,907,1837
202102,경강선,곤지암,1557,1537,3094
202102,경강선,초월,1876,1728,3604
202102,경강선,경기광주,4482,4176,8658
202102,경강선,삼동,1401,1292,2693
202102,경강선,이매,653,598,1251
202102,경강선,판교,2630,2530,5160
202102,경강선,여주,1471,1368,2839
202102,경강선,세종대왕릉,185,188,373
202102,경강선,부발,1088,1703,2791
202102,경강선,이천,1670,1934,3604
202102,경강선,신둔도예촌,690,635,1325
202102,경강선,곤지암,1100,1231,2331
202102,경강선,초월,1390,1275,2665
202102,경강선,경기광주,3173,3230,6403
202102,경강선,삼동,865,811,1676
202102,경강선,이매,535,434,969
202102,경강선,판교,2071,1900,3971
202102,경강선,판교,2647,2544,5191
202102,경강선,이매,782,556,1338
202102,경강선,삼동,1392,1266,2658
202102,경강선,경기광주,4750,4494,9244
202102,경강선,초월,2147,1941,4088
202102,경강선,곤지암,1673,1723,3396
202102,경강선,신둔도예촌,939,915,1854
202102,경강선,이천,2405,2562,4967
202102,경강선,부발,1683,1380,3063
202102,경강선,세종대왕릉,267,306,573
202102,경강선,여주,1790,2110,3900
202102,경강선,판교,2169,2063,4232
202102,경강선,이매,596,412,1008
202102,경강선,삼동,996,945,1941
202102,경강선,경기광주,3467,3411,6878
202102,경강선,초월,1456,1433,2889
202102,경강선,곤지암,1385,1429,2814
202102,경강선,신둔도예촌,734,693,1427
202102,경강선,이천,1935,2027,3962
202102,경강선,부발,1132,1194,2326
202102,경강선,세종대왕릉,221,221,442
202102,경강선,여주,1635,1539,3174
202103,경강선,판교,2653,2568,5221
202103,경강선,이매,739,554,1293
202103,경강선,삼동,1362,1287,2649
202103,경강선,경기광주,4694,4303,8997
202103,경강선,초월,1986,1844,3830
202103,경강선,곤지암,1589,1699,3288
202103,경강선,신둔도예촌,916,873,1789
202103,경강선,이천,2209,2368,4577
202103,경강선,부발,1630,1409,3039
202103,경강선,세종대왕릉,283,296,579
202103,경강선,여주,1667,1949,3616
202103,경강선,여주,1632,1572,3204
202103,경강선,세종대왕릉,280,265,545
202103,경강선,부발,1026,1565,2591
202103,경강선,이천,1652,1768,3420
202103,경강선,신둔도예촌,727,732,1459
202103,경강선,곤지암,1187,1350,2537
202103,경강선,초월,1310,1348,2658
202103,경강선,경기광주,3256,3266,6522
202103,경강선,삼동,886,828,1714
202103,경강선,이매,616,403,1019
202103,경강선,판교,2007,1896,3903
202103,경강선,판교,2796,2610,5406
202103,경강선,이매,781,657,1438
202103,경강선,삼동,1344,1272,2616
202103,경강선,경기광주,4824,4554,9378
202103,경강선,초월,2067,1897,3964
202103,경강선,곤지암,1634,1764,3398
202103,경강선,신둔도예촌,879,894,1773
202103,경강선,이천,2313,2414,4727
202103,경강선,부발,1625,1399,3024
202103,경강선,세종대왕릉,257,310,567
202103,경강선,여주,1897,2157,4054
202103,경강선,여주,1788,1684,3472
202103,경강선,세종대왕릉,259,238,497
202103,경강선,부발,1124,1707,2831
202103,경강선,이천,1806,1993,3799
