사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,경원선,소요산,2090,1770,3860
202101,경원선,동두천,762,937,1699
202101,경원선,보산,934,900,1834
202101,경원선,동두천중앙,1499,1503,3002
202101,경원선,지행,2975,2905,5880
202101,경원선,덕정,2270,2205,4475
202101,경원선,덕계,1132,1034,2166
202101,경원선,양주,3320,3111,6431
202101,경원선,녹양,1952,1956,3908
202101,경원선,가능,3054,2896,5950
202101,경원선,의정부,9693,10142,19835
202101,경원선,회룡,5137,5195,10332
202101,경원선,망월사,3158,3235,6393
202101,경원선,도봉산,5859,3861,9720
202101,경원선,도봉,2726,2563,5289
202101,경원선,방학,4326,4290,8616
202101,경원선,녹천,2035,1729,3764
202101,경원선,월계,2761,2708,5469
202101,경원선,광운대,3172,3125,6297
202101,경원선,석계,3556,3848,7404
202101,경원선,신이문,3548,3314,6862
202101,경원선,외대앞,3161,3161,6322
202101,경원선,청량리,7630,7828,15458
202101,경원선,왕십리,5792,7150,12942
202101,경원선,응봉,703,638,1341
202101,경원선,옥수,29,12,41
202101,경원선,한남,1500,1417,2917
202101,경원선,서빙고,707,611,1318
202101,경원선,이촌,1571,1210,2781
202101,경원선,소요산,2089,1735,3824
202101,경원선,동두천,756,861,1617
202101,경원선,보산,820,669,1489
202101,경원선,동두천중앙,1250,1168,2418
202101,경원선,지행,2319,2125,4444
202101,경원선,덕정,1792,1873,3665
202101,경원선,덕계,884,827,1711
202101,경원선,양주,2710,2568,5278
202101,경원선,녹양,1588,1469,3057
202101,경원선,가능,2399,2192,4591
202101,경원선,의정부,7790,7638,15428
202101,경원선,회룡,3957,3828,7785
202101,경원선,망월사,2491,2541,5032
202101,경원선,도봉산,5493,3708,9201
202101,경원선,도봉,2152,1985,4137
202101,경원선,방학,3454,3274,6728
202101,경원선,녹천,1540,1383,2923
202101,경원선,월계,2244,2141,4385
202101,경원선,광운대,2489,2600,5089
202101,경원선,석계,2888,3139,6027
202101,경원선,신이문,2759,2591,5350
202101,경원선,외대앞,2584,2647,5231
202101,경원선,청량리,6894,6628,13522
202101,경원선,왕십리,4555,5779,10334
202101,경원선,응봉,554,496,1050
202101,경원선,옥수,37,12,49
202101,경원선,한남,1130,1110,2240
202101,경원선,서빙고,476,514,990
202101,경원선,이촌,1077,858,1935
202101,경원선,소요산,1382,1191,2573
202101,경원선,동두천,883,1019,1902
202101,경원선,보산,906,919,1825
202101,경원선,동두천중앙,1381,1459,2840
202101,경원선,지행,3031,2995,6026
202101,경원선,덕정,2420,2359,4779
202101,경원선,덕계,1143,1131,2274
202101,경원선,양주,3273,3296,6569
202101,경원선,녹양,2107,2009,4116
202101,경원선,가능,3157,3127,6284
202101,경원선,의정부,10443,10907,21350
202101,경원선,회룡,5363,5504,10867
202101,경원선,망월사,3393,3437,6830
202101,경원선,도봉산,4422,2728,7150
202101,경원선,도봉,2834,2691,5525
202101,경원선,방학,4597,4534,9131
202101,경원선,녹천,2206,1970,4176
202101,경원선,월계,2953,2718,5671
202101,경원선,광운대,3589,3604,7193
202101,경원선,석계,4123,4338,8461
202101,경원선,신이문,4135,3902,8037
202101,경원선,외대앞,3832,3852,7684
202101,경원선,청량리,8046,9094,17140
202101,경원선,왕십리,7411,8676,16087
202101,경원선,응봉,815,668,1483
202101,경원선,옥수,20,17,37
202101,경원선,한남,1828,1696,3524
202101,경원선,서빙고,762,721,1483
202101,경원선,이촌,1786,1334,3120
202101,경원선,소요산,1705,1482,3187
202101,경원선,동두천,712,814,1526
202101,경원선,보산,774,697,1471
202101,경원선,동두천중앙,1187,1169,2356
202101,경원선,지행,2421,2287,4708
202101,경원선,덕정,1886,1910,3796
202101,경원선,덕계,876,768,1644
202101,경원선,양주,2451,2476,4927
202101,경원선,녹양,1515,1476,2991
202101,경원선,가능,2298,2182,4480
202101,경원선,의정부,8148,8021,16169
202101,경원선,회룡,3845,3783,7628
202101,경원선,망월사,2491,2495,4986
202101,경원선,도봉산,4527,3068,7595
202101,경원선,도봉,2048,1886,3934
202101,경원선,방학,3248,3175,6423
202101,경원선,녹천,1562,1300,2862
202101,경원선,월계,2066,1919,3985
202101,경원선,광운대,2580,2585,5165
202101,경원선,석계,2860,3063,5923
202101,경원선,신이문,2935,2670,5605
202101,경원선,외대앞,2840,2704,5544
202101,경원선,청량리,6799,6746,13545
202101,경원선,왕십리,5011,5648,10659
202101,경원선,응봉,568,530,1098
202101,경원선,옥수,35,17,52
202101,경원선,한남,1192,1185,2377
202101,경원선,서빙고,501,510,1011
202101,경원선,이촌,1093,938,2031
202101,경원선,양주,4236,4081,8317
202101,경원선,이촌,2035,1579,3614
202101,경원선,서빙고,815,735,1550
202101,경원선,한남,2089,1956,4045
202101,경원선,옥수,24,16,40
202101,경원선,응봉,1024,879,1903
202101,경원선,왕십리,8455,9745,18200
202101,경원선,청량리,10338,11534,21872
202101,경원선,외대앞,7964,7669,15633
202101,경원선,신이문,4792,4463,9255
202101,경원선,석계,5064,5396,10460
202101,경원선,광운대,4234,4174,8408
202101,경원선,월계,3502,3426,6928
202101,경원선,녹천,2671,2388,5059
202101,경원선,방학,5589,5615,11204
202101,경원선,도봉,3400,3418,6818
202101,경원선,도봉산,6547,4196,10743
202101,경원선,망월사,4301,4486,8787
202101,경원선,회룡,6904,6934,13838
202101,경원선,의정부,12176,12648,24824
202101,경원선,가능,3803,3749,7552
202101,경원선,녹양,2477,2406,4883
202101,경원선,덕계,1507,1415,2922
202101,경원선,덕정,3054,2864,5918
202101,경원선,지행,3586,3625,7211
202101,경원선,동두천중앙,1789,1932,3721
202101,경원선,보산,1046,1102,2148
202101,경원선,동두천,995,1236,2231
202101,경원선,소요산,2183,1977,4160
202101,경원선,소요산,2066,1792,3858
202101,경원선,동두천,787,895,1682
202101,경원선,보산,860,773,1633
202101,경원선,동두천중앙,1417,1310,2727
202101,경원선,지행,2630,2534,5164
202101,경원선,양주,3037,2964,6001
202101,경원선,덕정,2169,2232,4401
202101,경원선,덕계,1042,963,2005
202101,경원선,녹양,1724,1613,3337
202101,경원선,가능,2701,2580,5281
202101,경원선,의정부,9354,9243,18597
202101,경원선,회룡,4564,4533,9097
202101,경원선,망월사,2887,2931,5818
202101,경원선,도봉산,5579,3762,9341
202101,경원선,도봉,2398,2231,4629
202101,경원선,방학,3867,3768,7635
202101,경원선,녹천,1712,1479,3191
202101,경원선,월계,2465,2434,4899
202101,경원선,광운대,2924,2988,5912
202101,경원선,석계,3235,3543,6778
202101,경원선,신이문,3232,3054,6286
202101,경원선,외대앞,3254,3109,6363
202101,경원선,청량리,8410,7992,16402
202101,경원선,왕십리,5685,6748,12433
202101,경원선,응봉,676,624,1300
202101,경원선,옥수,37,12,49
202101,경원선,한남,1347,1362,2709
202101,경원선,서빙고,564,583,1147
202101,경원선,이촌,1272,1048,2320
202101,경원선,이촌,2322,1774,4096
202101,경원선,서빙고,1015,902,1917
202101,경원선,한남,2401,2166,4567
202101,경원선,옥수,24,25,49
202101,경원선,응봉,1108,978,2086
202101,경원선,왕십리,9164,10259,19423
202101,경원선,청량리,11026,12204,23230
202101,경원선,외대앞,4863,4705,9568
202101,경원선,신이문,5087,4628,9715
202101,경원선,석계,5607,5794,11401
202101,경원선,광운대,4777,4632,9409
202101,경원선,월계,4111,3756,7867
202101,경원선,녹천,2825,2448,5273
202101,경원선,방학,6083,5986,12069
202101,경원선,도봉,3595,3441,7036
202101,경원선,도봉산,7504,4991,12495
202101,경원선,망월사,4293,4490,8783
202101,경원선,회룡,7698,7743,15441
202101,경원선,의정부,13347,14021,27368
202101,경원선,가능,4104,3930,8034
202101,경원선,녹양,2687,2699,5386
202101,경원선,양주,4491,4401,8892
202101,경원선,덕계,1708,1506,3214
202101,경원선,덕정,3207,3133,6340
202101,경원선,지행,4005,3971,7976
202101,경원선,동두천중앙,1940,2019,3959
202101,경원선,보산,1120,1172,2292
202101,경원선,동두천,1185,1432,2617
202101,경원선,소요산,2732,2423,5155
202101,경원선,이촌,1675,1287,2962
202101,경원선,서빙고,826,819,1645
202101,경원선,한남,1568,1545,3113
202101,경원선,옥수,47,10,57
202101,경원선,응봉,820,732,1552
202101,경원선,왕십리,6139,6875,13014
202101,경원선,청량리,8884,8911,17795
202101,경원선,외대앞,3554,3407,6961
202101,경원선,신이문,3700,3479,7179
202101,경원선,석계,3792,4058,7850
202101,경원선,광운대,3263,3312,6575
202101,경원선,월계,2916,2645,5561
202101,경원선,녹천,2186,1916,4102
202101,경원선,방학,4507,4382,8889
202101,경원선,도봉,2765,2605,5370
202101,경원선,도봉산,7352,5244,12596
202101,경원선,망월사,3091,3275,6366
202101,경원선,회룡,5649,5552,11201
202101,경원선,의정부,10224,10127,20351
202101,경원선,가능,3158,2919,6077
202101,경원선,녹양,1977,1896,3873
202101,경원선,양주,3514,3335,6849
202101,경원선,덕계,1178,1083,2261
202101,경원선,덕정,2336,2433,4769
202101,경원선,지행,3032,2923,5955
202101,경원선,동두천중앙,1543,1434,2977
202101,경원선,보산,951,906,1857
202101,경원선,동두천,929,1100,2029
202101,경원선,소요산,2985,2603,5588
202101,경원선,동두천,1149,1375,2524
202101,경원선,이촌,2366,1739,4105
202101,경원선,서빙고,977,925,1902
202101,경원선,한남,2287,2183,4470
202101,경원선,옥수,27,25,52
202101,경원선,응봉,1112,911,2023
202101,경원선,왕십리,9117,10297,19414
202101,경원선,청량리,11138,12364,23502
202101,경원선,외대앞,4722,4515,9237
202101,경원선,신이문,5145,4620,9765
202101,경원선,석계,5362,5820,11182
202101,경원선,광운대,4443,4469,8912
202101,경원선,월계,3833,3623,7456
202101,경원선,녹천,2648,2269,4917
202101,경원선,방학,6001,5901,11902
202101,경원선,도봉,3662,3525,7187
202101,경원선,도봉산,6413,4190,10603
202101,경원선,망월사,4276,4526,8802
202101,경원선,회룡,7528,7458,14986
202101,경원선,의정부,13499,14248,27747
202101,경원선,가능,4028,3933,7961
202101,경원선,녹양,2715,2647,5362
202101,경원선,양주,4678,4529,9207
202101,경원선,덕계,1562,1502,3064
202101,경원선,덕정,3203,3046,6249
202101,경원선,지행,4060,4029,8089
202101,경원선,동두천중앙,2062,2153,4215
202101,경원선,보산,1063,1083,2146
202101,경원선,소요산,2191,1902,4093
202101,경원선,창동,1,0,1
202101,경원선,이촌,1644,1310,2954
202101,경원선,서빙고,820,848,1668
202101,경원선,한남,1683,1690,3373
202101,경원선,옥수,33,16,49
202101,경원선,응봉,862,764,1626
202101,경원선,왕십리,6675,7386,14061
202101,경원선,청량리,9574,9386,18960
202101,경원선,외대앞,3620,3609,7229
202101,경원선,신이문,3780,3597,7377
202101,경원선,석계,3833,4204,8037
202101,경원선,광운대,3441,3418,6859
202101,경원선,월계,2969,2748,5717
202101,경원선,녹천,2216,1904,4120
202101,경원선,창동,1,0,1
202101,경원선,방학,4636,4459,9095
202101,경원선,도봉,2775,2625,5400
202101,경원선,도봉산,7121,4890,12011
202101,경원선,망월사,3201,3324,6525
202101,경원선,회룡,5640,5578,11218
202101,경원선,의정부,10322,10274,20596
202101,경원선,가능,3067,2846,5913
202101,경원선,녹양,2091,1939,4030
202101,경원선,양주,3640,3472,7112
202101,경원선,덕계,1195,1119,2314
202101,경원선,덕정,2396,2397,4793
202101,경원선,지행,3076,2917,5993
202101,경원선,동두천중앙,1610,1480,3090
202101,경원선,보산,956,885,1841
202101,경원선,동두천,910,1092,2002
202101,경원선,소요산,2711,2394,5105
202102,경원선,이촌,2460,1843,4303
202102,경원선,서빙고,1108,997,2105
202102,경원선,한남,2440,2311,4751
202102,경원선,옥수,27,23,50
202102,경원선,응봉,1201,1052,2253
202102,경원선,왕십리,9906,11027,20933
202102,경원선,청량리,12144,13468,25612
202102,경원선,외대앞,5000,4850,9850
202102,경원선,신이문,5589,5100,10689
202102,경원선,석계,5757,6143,11900
202102,경원선,광운대,4929,4748,9677
202102,경원선,월계,4133,3828,7961
202102,경원선,녹천,2995,2499,5494
202102,경원선,방학,6468,6364,12832
202102,경원선,도봉,3789,3600,7389
202102,경원선,도봉산,7186,4824,12010
202102,경원선,망월사,4678,4827,9505
202102,경원선,회룡,7999,8241,16240
202102,경원선,의정부,14315,15029,29344
202102,경원선,가능,4399,4192,8591
202102,경원선,녹양,2870,2853,5723
202102,경원선,양주,4859,4638,9497
202102,경원선,덕계,1729,1586,3315
202102,경원선,덕정,3427,3274,6701
202102,경원선,지행,4214,4251,8465
202102,경원선,동두천중앙,2126,2075,4201
202102,경원선,보산,1058,1067,2125
202102,경원선,동두천,1302,1516,2818
