사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,경인선,인천,1879,1538,3417
202101,경인선,동인천,6559,6479,13038
202101,경인선,제물포,3870,3784,7654
202101,경인선,도화,1807,1638,3445
202101,경인선,중동,3629,3505,7134
202101,경인선,온수,2639,2513,5152
202101,경인선,도원,1205,1281,2486
202101,경인선,간석,2425,2241,4666
202101,경인선,부개,3487,3347,6834
202101,경인선,주안,8530,7736,16266
202101,경인선,동암,7320,7422,14742
202101,경인선,백운,3149,3086,6235
202101,경인선,부평,16218,17379,33597
202101,경인선,송내,9715,9377,19092
202101,경인선,부천,16718,16978,33696
202101,경인선,역곡,10963,11069,22032
202101,경인선,오류동,5052,4797,9849
202101,경인선,개봉,8901,8849,17750
202101,경인선,소사,4045,3650,7695
202101,경인선,구일,2172,2235,4407
202101,경인선,중동,2876,2585,5461
202101,경인선,온수,1955,1839,3794
202101,경인선,도원,876,869,1745
202101,경인선,간석,1945,1751,3696
202101,경인선,부개,2683,2525,5208
202101,경인선,소사,3384,2852,6236
202101,경인선,구일,1734,1737,3471
202101,경인선,인천,1556,1280,2836
202101,경인선,동인천,5224,4852,10076
202101,경인선,제물포,3071,2905,5976
202101,경인선,주안,6707,5902,12609
202101,경인선,동암,5814,5503,11317
202101,경인선,백운,2416,2295,4711
202101,경인선,부평,12578,12499,25077
202101,경인선,송내,7596,7167,14763
202101,경인선,부천,13282,12648,25930
202101,경인선,역곡,8357,8193,16550
202101,경인선,오류동,3814,3766,7580
202101,경인선,개봉,6825,6652,13477
202101,경인선,도화,1350,1290,2640
202101,경인선,도화,1930,1817,3747
202101,경인선,중동,4155,3939,8094
202101,경인선,온수,2975,2753,5728
202101,경인선,도원,1375,1368,2743
202101,경인선,간석,2662,2549,5211
202101,경인선,부개,3990,3764,7754
202101,경인선,소사,4839,4529,9368
202101,경인선,구일,2575,2490,5065
202101,경인선,인천,1685,1360,3045
202101,경인선,동인천,6874,6742,13616
202101,경인선,제물포,4633,4527,9160
202101,경인선,주안,10239,9370,19609
202101,경인선,동암,8019,8354,16373
202101,경인선,백운,3419,3424,6843
202101,경인선,부평,18550,20233,38783
202101,경인선,송내,11456,11568,23024
202101,경인선,부천,18706,19707,38413
202101,경인선,역곡,12928,12990,25918
202101,경인선,오류동,5740,5583,11323
202101,경인선,개봉,10423,10438,20861
202101,경인선,도화,1393,1328,2721
202101,경인선,중동,2889,2656,5545
202101,경인선,온수,1941,1913,3854
202101,경인선,도원,900,918,1818
202101,경인선,간석,1940,1820,3760
202101,경인선,부개,2729,2589,5318
202101,경인선,소사,3515,3382,6897
202101,경인선,구일,1766,1737,3503
202101,경인선,인천,1444,1169,2613
202101,경인선,동인천,5237,5054,10291
202101,경인선,제물포,3327,3233,6560
202101,경인선,주안,7157,6316,13473
202101,경인선,동암,5900,5771,11671
202101,경인선,백운,2359,2289,4648
202101,경인선,부평,13550,13867,27417
202101,경인선,송내,7609,7504,15113
202101,경인선,부천,13245,12799,26044
202101,경인선,역곡,9003,8738,17741
202101,경인선,오류동,3984,3772,7756
202101,경인선,개봉,7134,7042,14176
202101,경인선,개봉,12260,12373,24633
202101,경인선,오류동,6749,6383,13132
202101,경인선,역곡,14828,14847,29675
202101,경인선,부천,21615,22581,44196
202101,경인선,송내,13004,12997,26001
202101,경인선,부평,21229,23249,44478
202101,경인선,백운,4026,3985,8011
202101,경인선,동암,9380,9624,19004
202101,경인선,주안,11169,10190,21359
202101,경인선,제물포,5380,5231,10611
202101,경인선,동인천,8281,8103,16384
202101,경인선,인천,2236,1879,4115
202101,경인선,구일,3204,2994,6198
202101,경인선,소사,5646,5501,11147
202101,경인선,부개,4753,4686,9439
202101,경인선,간석,3123,3002,6125
