사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,분당선,매교,978,1008,1986
202101,분당선,수원시청,5164,5641,10805
202101,분당선,매탄권선,1732,1726,3458
202101,분당선,망포,4315,4211,8526
202101,분당선,영통,3215,3246,6461
202101,분당선,청명,1336,1300,2636
202101,분당선,상갈,2044,2044,4088
202101,분당선,기흥,3519,3313,6832
202101,분당선,신갈,1379,1417,2796
202101,분당선,구성,1684,1720,3404
202101,분당선,죽전,5628,6418,12046
202101,분당선,보정,787,752,1539
202101,분당선,이매,1869,1869,3738
202101,분당선,오리,4351,3739,8090
202101,분당선,미금,6304,6358,12662
202101,분당선,정자,5544,5690,11234
202101,분당선,수내,4893,4807,9700
202101,분당선,서현,10585,10503,21088
202101,분당선,야탑,9169,9617,18786
202101,분당선,모란,9165,9408,18573
202101,분당선,태평,6241,6236,12477
202101,분당선,가천대,2402,2867,5269
202101,분당선,선정릉,1559,1619,3178
202101,분당선,강남구청,2394,2759,5153
202101,분당선,압구정로데오,8455,8885,17340
202101,분당선,서울숲,2422,2457,4879
202101,분당선,수원,4042,3301,7343
202101,분당선,수서,4770,4354,9124
202101,분당선,대모산입구,1120,1041,2161
202101,분당선,개포동,1181,1203,2384
202101,분당선,구룡,470,434,904
202101,분당선,도곡,2193,2136,4329
202101,분당선,한티,5624,5672,11296
202101,분당선,선릉,2467,3453,5920
202101,분당선,선릉,1530,2294,3824
202101,분당선,한티,3937,4139,8076
202101,분당선,도곡,1430,1393,2823
202101,분당선,구룡,314,377,691
202101,분당선,개포동,887,925,1812
202101,분당선,대모산입구,830,792,1622
202101,분당선,수서,4605,4022,8627
202101,분당선,수원,3277,2678,5955
202101,분당선,서울숲,1937,1943,3880
202101,분당선,압구정로데오,5047,5418,10465
202101,분당선,강남구청,1557,1746,3303
202101,분당선,선정릉,1047,1158,2205
202101,분당선,가천대,1933,2469,4402
202101,분당선,태평,4935,4748,9683
202101,분당선,모란,6322,6744,13066
202101,분당선,야탑,7491,7235,14726
202101,분당선,서현,7656,7713,15369
202101,분당선,수내,3671,3530,7201
202101,분당선,정자,3917,4110,8027
202101,분당선,미금,4098,4425,8523
202101,분당선,오리,3110,2852,5962
202101,분당선,이매,1418,1470,2888
202101,분당선,보정,542,530,1072
202101,분당선,죽전,4527,5173,9700
202101,분당선,구성,1285,1280,2565
202101,분당선,신갈,1031,1065,2096
202101,분당선,기흥,2895,2745,5640
202101,분당선,상갈,1601,1700,3301
202101,분당선,청명,1023,1057,2080
202101,분당선,영통,2483,2554,5037
202101,분당선,망포,3415,3812,7227
202101,분당선,매탄권선,1373,1326,2699
202101,분당선,수원시청,4007,3946,7953
202101,분당선,매교,754,807,1561
202101,분당선,오리,5248,4483,9731
202101,분당선,미금,7974,7943,15917
202101,분당선,정자,7504,7683,15187
202101,분당선,수내,6546,6242,12788
202101,분당선,서현,13426,13329,26755
202101,분당선,야탑,11646,12516,24162
202101,분당선,모란,12226,12401,24627
202101,분당선,태평,7961,7737,15698
202101,분당선,가천대,3144,3643,6787
202101,분당선,선정릉,2305,2419,4724
202101,분당선,강남구청,3529,4042,7571
202101,분당선,압구정로데오,11461,12019,23480
202101,분당선,서울숲,3261,3280,6541
202101,분당선,수원,4786,3994,8780
202101,분당선,수서,5948,6146,12094
202101,분당선,대모산입구,1803,1655,3458
202101,분당선,개포동,1647,1666,3313
202101,분당선,구룡,865,776,1641
202101,분당선,도곡,2836,2728,5564
202101,분당선,한티,7722,7553,15275
202101,분당선,선릉,3524,5138,8662
202101,분당선,매교,1268,1360,2628
202101,분당선,수원시청,7335,7815,15150
202101,분당선,매탄권선,2389,2323,4712
202101,분당선,망포,6451,6025,12476
202101,분당선,영통,4498,4454,8952
202101,분당선,청명,1876,1854,3730
202101,분당선,상갈,2548,2540,5088
202101,분당선,기흥,4592,4346,8938
202101,분당선,신갈,1933,1912,3845
202101,분당선,구성,2060,2173,4233
202101,분당선,죽전,7036,7903,14939
202101,분당선,보정,971,871,1842
202101,분당선,이매,2540,2497,5037
202101,분당선,매교,822,840,1662
202101,분당선,수원시청,4634,4490,9124
202101,분당선,매탄권선,1503,1489,2992
202101,분당선,망포,3974,4203,8177
202101,분당선,영통,2761,2629,5390
202101,분당선,청명,1157,1150,2307
202101,분당선,상갈,1721,1708,3429
202101,분당선,기흥,3009,2960,5969
202101,분당선,신갈,1153,1236,2389
202101,분당선,구성,1307,1384,2691
202101,분당선,죽전,4589,5145,9734
202101,분당선,보정,615,572,1187
202101,분당선,이매,1579,1619,3198
202101,분당선,오리,3411,3058,6469
202101,분당선,미금,4424,4289,8713
202101,분당선,정자,4678,4848,9526
202101,분당선,수내,4074,3991,8065
202101,분당선,서현,8923,8905,17828
202101,분당선,야탑,7717,7977,15694
202101,분당선,모란,6923,7069,13992
202101,분당선,태평,5380,5044,10424
202101,분당선,가천대,2156,2651,4807
202101,분당선,선정릉,1379,1464,2843
202101,분당선,강남구청,1904,2310,4214
202101,분당선,압구정로데오,5921,6288,12209
202101,분당선,서울숲,2193,2215,4408
202101,분당선,수원,3428,2951,6379
202101,분당선,수서,4379,4461,8840
202101,분당선,대모산입구,911,827,1738
202101,분당선,개포동,1038,1034,2072
202101,분당선,구룡,340,379,719
202101,분당선,도곡,1431,1427,2858
202101,분당선,한티,4615,4645,9260
202101,분당선,선릉,1847,2532,4379
202101,분당선,수내,6627,6287,12914
202101,분당선,선릉,3910,5549,9459
202101,분당선,한티,7657,7468,15125
202101,분당선,도곡,3070,2799,5869
202101,분당선,구룡,807,766,1573
202101,분당선,개포동,1809,1835,3644
202101,분당선,대모산입구,1811,1625,3436
202101,분당선,수서,6202,6418,12620
202101,분당선,수원,5112,4061,9173
202101,분당선,서울숲,3745,3727,7472
202101,분당선,압구정로데오,12815,13354,26169
202101,분당선,강남구청,3649,4405,8054
202101,분당선,선정릉,2634,2615,5249
202101,분당선,가천대,3420,3879,7299
202101,분당선,태평,8311,8151,16462
202101,분당선,모란,12361,12566,24927
