사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,안산선,수리산,1670,1570,3240
202101,안산선,오이도,4031,4040,8071
202101,안산선,정왕,3168,3394,6562
202101,안산선,신길온천,719,710,1429
202101,안산선,안산,6299,6274,12573
202101,안산선,초지,1548,1589,3137
202101,안산선,고잔,2905,2686,5591
202101,안산선,중앙,7328,7575,14903
202101,안산선,한대앞,3554,3474,7028
202101,안산선,상록수,6973,6779,13752
202101,안산선,반월,1901,1811,3712
202101,안산선,대야미,2139,1896,4035
202101,안산선,산본,6411,6840,13251
202101,안산선,산본,4818,5052,9870
202101,안산선,대야미,1621,1523,3144
202101,안산선,반월,1410,1438,2848
202101,안산선,상록수,5530,5287,10817
202101,안산선,한대앞,2776,2744,5520
202101,안산선,중앙,5838,5598,11436
202101,안산선,고잔,2318,2176,4494
202101,안산선,초지,1168,1115,2283
202101,안산선,안산,6229,5181,11410
202101,안산선,신길온천,683,567,1250
202101,안산선,정왕,2844,3227,6071
202101,안산선,오이도,3068,3014,6082
202101,안산선,수리산,1190,1164,2354
202101,안산선,수리산,1861,1655,3516
202101,안산선,오이도,4153,4243,8396
202101,안산선,정왕,3975,3985,7960
202101,안산선,신길온천,799,771,1570
202101,안산선,안산,6399,6416,12815
202101,안산선,초지,1975,2020,3995
202101,안산선,고잔,3717,3666,7383
202101,안산선,중앙,8893,9288,18181
202101,안산선,한대앞,4305,4433,8738
202101,안산선,상록수,8076,8160,16236
202101,안산선,반월,2205,2070,4275
202101,안산선,대야미,2363,2085,4448
202101,안산선,산본,7640,6908,14548
202101,안산선,수리산,1258,1184,2442
202101,안산선,오이도,3103,3024,6127
202101,안산선,정왕,2969,3182,6151
202101,안산선,신길온천,604,560,1164
202101,안산선,안산,6123,5547,11670
202101,안산선,초지,1309,1271,2580
202101,안산선,고잔,2439,2333,4772
202101,안산선,중앙,6295,6171,12466
202101,안산선,한대앞,3024,2981,6005
202101,안산선,상록수,5626,5510,11136
202101,안산선,반월,1424,1504,2928
202101,안산선,대야미,1680,1524,3204
202101,안산선,산본,4923,4359,9282
202101,안산선,산본,8549,9301,17850
202101,안산선,대야미,2842,2455,5297
202101,안산선,반월,2564,2300,4864
202101,안산선,상록수,9119,9472,18591
202101,안산선,한대앞,4840,4840,9680
202101,안산선,중앙,10054,10617,20671
202101,안산선,고잔,4098,4038,8136
202101,안산선,초지,2130,2182,4312
202101,안산선,안산,7713,8062,15775
202101,안산선,신길온천,995,980,1975
202101,안산선,정왕,4333,4524,8857
202101,안산선,오이도,5058,5266,10324
202101,안산선,수리산,2149,1890,4039
202101,안산선,수리산,1373,1372,2745
202101,안산선,오이도,3786,3589,7375
202101,안산선,정왕,3423,3749,7172
202101,안산선,신길온천,721,636,1357
202101,안산선,안산,7113,6451,13564
202101,안산선,초지,1439,1354,2793
202101,안산선,고잔,2776,2654,5430
202101,안산선,중앙,7267,6990,14257
202101,안산선,한대앞,3448,3368,6816
202101,안산선,상록수,6249,6255,12504
202101,안산선,반월,1637,1694,3331
202101,안산선,대야미,1915,1817,3732
202101,안산선,산본,5826,6282,12108
202101,안산선,산본,9610,10334,19944
202101,안산선,대야미,3063,2665,5728
202101,안산선,반월,2643,2562,5205
202101,안산선,상록수,9974,9951,19925
202101,안산선,한대앞,5359,5451,10810
202101,안산선,중앙,12526,12895,25421
202101,안산선,고잔,4779,4611,9390
202101,안산선,초지,2405,2437,4842
202101,안산선,안산,8134,8291,16425
202101,안산선,신길온천,1083,1061,2144
202101,안산선,정왕,4864,4816,9680
202101,안산선,오이도,5600,5880,11480
