사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,우이신설선,삼양사거리,1112,1102,2214
202101,우이신설선,삼양,917,1019,1936
202101,우이신설선,화계,1470,1315,2785
202101,우이신설선,가오리,1653,1625,3278
202101,우이신설선,4.19민주묘지,1299,1122,2421
202101,우이신설선,솔밭공원,1039,1024,2063
202101,우이신설선,북한산우이,2003,1969,3972
202101,우이신설선,신설동,854,844,1698
202101,우이신설선,보문,671,706,1377
202101,우이신설선,성신여대입구,1565,1789,3354
202101,우이신설선,정릉,1976,1701,3677
202101,우이신설선,북한산보국문,2442,2264,4706
202101,우이신설선,솔샘,2031,1881,3912
202101,우이신설선,화계,1221,1108,2329
202101,우이신설선,삼양,749,783,1532
202101,우이신설선,삼양사거리,913,903,1816
202101,우이신설선,솔샘,1564,1415,2979
202101,우이신설선,북한산보국문,2036,1983,4019
202101,우이신설선,정릉,1452,1285,2737
202101,우이신설선,성신여대입구,1082,1288,2370
202101,우이신설선,보문,548,570,1118
202101,우이신설선,신설동,656,625,1281
202101,우이신설선,북한산우이,1530,1718,3248
202101,우이신설선,솔밭공원,792,770,1562
202101,우이신설선,4.19민주묘지,1062,928,1990
202101,우이신설선,가오리,1367,1211,2578
202101,우이신설선,신설동,910,849,1759
202101,우이신설선,보문,791,782,1573
202101,우이신설선,성신여대입구,1772,2065,3837
202101,우이신설선,정릉,2190,1960,4150
202101,우이신설선,북한산보국문,2789,2655,5444
202101,우이신설선,솔샘,2386,2163,4549
202101,우이신설선,삼양사거리,1269,1278,2547
202101,우이신설선,삼양,1049,1173,2222
202101,우이신설선,화계,1687,1522,3209
202101,우이신설선,가오리,1864,1810,3674
202101,우이신설선,4.19민주묘지,1314,1228,2542
202101,우이신설선,솔밭공원,1157,1100,2257
202101,우이신설선,북한산우이,1345,1337,2682
202101,우이신설선,신설동,676,647,1323
202101,우이신설선,보문,533,564,1097
202101,우이신설선,성신여대입구,1224,1411,2635
202101,우이신설선,정릉,1517,1344,2861
202101,우이신설선,북한산보국문,2033,1946,3979
202101,우이신설선,솔샘,1567,1417,2984
202101,우이신설선,삼양사거리,907,913,1820
202101,우이신설선,삼양,715,749,1464
202101,우이신설선,화계,1212,1126,2338
202101,우이신설선,가오리,1404,1340,2744
202101,우이신설선,4.19민주묘지,1158,968,2126
202101,우이신설선,솔밭공원,831,833,1664
202101,우이신설선,북한산우이,1435,1454,2889
202101,우이신설선,북한산우이,1980,1921,3901
202101,우이신설선,솔밭공원,1341,1284,2625
202101,우이신설선,4.19민주묘지,1613,1506,3119
