사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,중앙선,중랑,2505,2473,4978
202101,중앙선,회기,9073,9143,18216
202101,중앙선,지평,20,20,40
202101,중앙선,용문,963,922,1885
202101,중앙선,원덕,152,108,260
202101,중앙선,양평,1172,1117,2289
202101,중앙선,오빈,124,117,241
202101,중앙선,아신,249,236,485
202101,중앙선,국수,339,374,713
202101,중앙선,신원,154,137,291
202101,중앙선,양수,918,894,1812
202101,중앙선,운길산,628,577,1205
202101,중앙선,팔당,807,828,1635
202101,중앙선,도심,877,785,1662
202101,중앙선,덕소,2374,2411,4785
202101,중앙선,양정,290,245,535
202101,중앙선,도농,3341,3191,6532
202101,중앙선,구리,5370,5621,10991
202101,중앙선,양원,555,550,1105
202101,중앙선,망우,3348,3418,6766
202101,중앙선,상봉,2789,2620,5409
202101,중앙선,회기,7810,8289,16099
202101,중앙선,중랑,1973,1918,3891
202101,중앙선,상봉,2268,2161,4429
202101,중앙선,망우,2607,2558,5165
202101,중앙선,양원,440,445,885
202101,중앙선,구리,3943,4141,8084
202101,중앙선,도농,2611,2585,5196
202101,중앙선,양정,250,234,484
202101,중앙선,덕소,1903,1856,3759
202101,중앙선,도심,706,596,1302
202101,중앙선,팔당,736,762,1498
202101,중앙선,운길산,550,487,1037
202101,중앙선,양수,748,687,1435
202101,중앙선,지평,33,14,47
202101,중앙선,용문,933,699,1632
202101,중앙선,원덕,193,127,320
202101,중앙선,양평,1267,1047,2314
202101,중앙선,오빈,101,89,190
202101,중앙선,아신,217,237,454
202101,중앙선,신원,149,97,246
202101,중앙선,국수,315,269,584
202101,중앙선,지평,19,10,29
202101,중앙선,양원,617,587,1204
202101,중앙선,망우,3638,3604,7242
202101,중앙선,상봉,2913,3068,5981
202101,중앙선,중랑,2883,2814,5697
202101,중앙선,회기,11556,11076,22632
202101,중앙선,원덕,143,139,282
202101,중앙선,용문,857,978,1835
202101,중앙선,구리,6151,6512,12663
202101,중앙선,양평,1245,1222,2467
202101,중앙선,오빈,132,139,271
202101,중앙선,아신,248,240,488
202101,중앙선,국수,292,322,614
202101,중앙선,신원,81,98,179
202101,중앙선,양수,843,865,1708
202101,중앙선,운길산,389,431,820
202101,중앙선,팔당,601,639,1240
202101,중앙선,도심,936,828,1764
202101,중앙선,덕소,2619,2611,5230
202101,중앙선,양정,294,259,553
202101,중앙선,도농,3852,3836,7688
202101,중앙선,용문,1079,936,2015
202101,중앙선,원덕,145,105,250
202101,중앙선,양평,973,946,1919
202101,중앙선,오빈,91,89,180
202101,중앙선,아신,193,185,378
202101,중앙선,국수,250,258,508
202101,중앙선,신원,126,74,200
202101,중앙선,양수,730,713,1443
202101,중앙선,운길산,566,502,1068
202101,중앙선,팔당,700,730,1430
202101,중앙선,도심,693,658,1351
202101,중앙선,덕소,1941,1953,3894
202101,중앙선,양정,212,187,399
202101,중앙선,도농,2610,2643,5253
202101,중앙선,구리,4328,4598,8926
202101,중앙선,양원,425,495,920
202101,중앙선,망우,2528,2482,5010
202101,중앙선,상봉,2228,2131,4359
202101,중앙선,중랑,2044,1957,4001
202101,중앙선,회기,8376,8366,16742
202101,중앙선,지평,20,14,34
202101,중앙선,회기,13589,12826,26415
202101,중앙선,중랑,3349,3174,6523
202101,중앙선,상봉,3593,3523,7116
202101,중앙선,망우,4358,4414,8772
202101,중앙선,양원,760,742,1502
202101,중앙선,구리,7339,7632,14971
202101,중앙선,도농,4636,4547,9183
202101,중앙선,양정,405,366,771
202101,중앙선,덕소,3200,3203,6403
202101,중앙선,도심,1180,1040,2220
202101,중앙선,팔당,883,992,1875
202101,중앙선,운길산,687,630,1317
202101,중앙선,양수,1159,1167,2326
202101,중앙선,신원,161,155,316
202101,중앙선,국수,429,503,932
202101,중앙선,아신,305,336,641
202101,중앙선,오빈,171,175,346
202101,중앙선,양평,1504,1595,3099
202101,중앙선,원덕,193,185,378
202101,중앙선,용문,1135,1242,2377
202101,중앙선,지평,22,19,41
202101,중앙선,아신,262,264,526
202101,중앙선,국수,337,342,679
202101,중앙선,신원,141,87,228
202101,중앙선,양수,877,841,1718
202101,중앙선,운길산,686,567,1253
202101,중앙선,팔당,783,824,1607
202101,중앙선,도심,767,702,1469
202101,중앙선,덕소,2229,2338,4567
202101,중앙선,양정,264,204,468
202101,중앙선,도농,3131,3027,6158
202101,중앙선,구리,4793,5175,9968
202101,중앙선,양원,514,522,1036
202101,중앙선,망우,3125,3147,6272
202101,중앙선,상봉,2566,2595,5161
202101,중앙선,중랑,2257,2204,4461
202101,중앙선,회기,9814,9913,19727
202101,중앙선,지평,25,21,46
202101,중앙선,용문,1142,895,2037
202101,중앙선,원덕,204,134,338
202101,중앙선,양평,1194,1143,2337
202101,중앙선,오빈,118,118,236
202101,중앙선,지평,35,49,84
202101,중앙선,용문,1196,1369,2565
202101,중앙선,양평,2206,2310,4516
202101,중앙선,회기,15740,14595,30335
202101,중앙선,중랑,3590,3419,7009
202101,중앙선,상봉,3886,3865,7751
202101,중앙선,망우,4896,4951,9847
202101,중앙선,양원,892,841,1733
202101,중앙선,구리,8006,8348,16354
202101,중앙선,도농,5302,5021,10323
202101,중앙선,양정,393,359,752
202101,중앙선,덕소,3515,3542,7057
202101,중앙선,도심,1271,1116,2387
202101,중앙선,팔당,1018,1139,2157
202101,중앙선,운길산,858,755,1613
202101,중앙선,양수,1365,1452,2817
202101,중앙선,신원,264,162,426
202101,중앙선,국수,478,533,1011
202101,중앙선,아신,311,378,689
202101,중앙선,오빈,195,201,396
202101,중앙선,원덕,264,250,514
202101,중앙선,용문,1275,1023,2298
202101,중앙선,회기,10808,10767,21575
202101,중앙선,중랑,2601,2527,5128
202101,중앙선,상봉,3120,3071,6191
202101,중앙선,망우,3386,3455,6841
202101,중앙선,양원,621,688,1309
202101,중앙선,구리,5764,5919,11683
202101,중앙선,도농,3652,3709,7361
202101,중앙선,양정,322,266,588
202101,중앙선,덕소,2639,2662,5301
202101,중앙선,도심,921,830,1751
202101,중앙선,팔당,1215,1216,2431
202101,중앙선,운길산,869,766,1635
202101,중앙선,양수,1261,1155,2416
202101,중앙선,신원,223,158,381
202101,중앙선,국수,480,447,927
202101,중앙선,아신,321,286,607
202101,중앙선,오빈,123,117,240
202101,중앙선,양평,1499,1328,2827
202101,중앙선,원덕,215,183,398
202101,중앙선,지평,44,30,74
202101,중앙선,회기,14676,13931,28607
202101,중앙선,중랑,3531,3441,6972
202101,중앙선,상봉,3942,3963,7905
202101,중앙선,망우,4847,4813,9660
202101,중앙선,양원,838,851,1689
202101,중앙선,구리,8033,8393,16426
202101,중앙선,도농,5337,5077,10414
202101,중앙선,양정,412,379,791
202101,중앙선,덕소,3572,3598,7170
202101,중앙선,도심,1334,1159,2493
202101,중앙선,팔당,919,1017,1936
202101,중앙선,운길산,657,660,1317
202101,중앙선,양수,1170,1186,2356
202101,중앙선,신원,170,135,305
202101,중앙선,국수,442,499,941
202101,중앙선,아신,314,386,700
202101,중앙선,오빈,167,181,348
202101,중앙선,양평,1748,1881,3629
202101,중앙선,원덕,268,289,557
202101,중앙선,용문,1824,1890,3714
202101,중앙선,지평,37,32,69
202101,중앙선,아신,336,291,627
202101,중앙선,오빈,129,121,250
202101,중앙선,양평,1466,1331,2797
202101,중앙선,지평,43,19,62
202101,중앙선,용문,1315,1076,2391
202101,중앙선,원덕,226,211,437
202101,중앙선,회기,11116,11214,22330
202101,중앙선,중랑,2662,2596,5258
202101,중앙선,상봉,3037,3052,6089
202101,중앙선,망우,3583,3619,7202
202101,중앙선,양원,634,633,1267
202101,중앙선,구리,5701,5912,11613
202101,중앙선,도농,3693,3732,7425
202101,중앙선,양정,353,285,638
202101,중앙선,덕소,2588,2644,5232
