사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,일산선,대화,4616,4245,8861
202101,일산선,주엽,3317,3324,6641
202101,일산선,정발산,3419,3487,6906
202101,일산선,마두,2883,2841,5724
202101,일산선,백석,4388,4521,8909
202101,일산선,대곡,644,478,1122
202101,일산선,화정,7146,7424,14570
202101,일산선,원당,4470,4325,8795
202101,일산선,삼송,7405,7365,14770
202101,일산선,원흥,3623,3453,7076
202101,일산선,원흥,2701,2665,5366
202101,일산선,삼송,5645,5626,11271
202101,일산선,원당,3545,3321,6866
202101,일산선,화정,5239,5319,10558
202101,일산선,대곡,518,463,981
202101,일산선,백석,3377,3349,6726
202101,일산선,마두,1843,1849,3692
202101,일산선,정발산,2631,2559,5190
202101,일산선,주엽,2373,949,3322
202101,일산선,대화,3603,3297,6900
202101,일산선,대화,5316,5010,10326
202101,일산선,주엽,3653,3607,7260
202101,일산선,정발산,3609,3695,7304
202101,일산선,마두,3078,3113,6191
202101,일산선,백석,4916,5132,10048
202101,일산선,대곡,681,581,1262
202101,일산선,화정,7879,8243,16122
202101,일산선,원당,5024,4830,9854
202101,일산선,삼송,8452,8427,16879
202101,일산선,원흥,4077,3907,7984
202101,일산선,대화,3783,3549,7332
202101,일산선,주엽,2429,2394,4823
202101,일산선,정발산,2723,2664,5387
202101,일산선,마두,1903,1905,3808
202101,일산선,백석,3586,3509,7095
202101,일산선,대곡,528,395,923
202101,일산선,화정,5534,5747,11281
202101,일산선,원당,3622,3568,7190
202101,일산선,삼송,6259,6203,12462
202101,일산선,원흥,2809,2714,5523
202101,일산선,원흥,4738,4465,9203
202101,일산선,삼송,9997,9824,19821
202101,일산선,원당,5918,5902,11820
202101,일산선,화정,9258,9710,18968
202101,일산선,대곡,815,637,1452
202101,일산선,백석,5677,5902,11579
202101,일산선,마두,3695,3795,7490
202101,일산선,정발산,4440,4459,8899
202101,일산선,주엽,4412,4532,8944
202101,일산선,대화,6259,5649,11908
202101,일산선,대화,4243,4002,8245
202101,일산선,주엽,2857,2812,5669
202101,일산선,정발산,3140,3027,6167
202101,일산선,마두,2214,2162,4376
202101,일산선,백석,3977,3865,7842
202101,일산선,대곡,600,458,1058
202101,일산선,화정,6355,6441,12796
202101,일산선,원당,4088,3967,8055
202101,일산선,삼송,6859,6631,13490
202101,일산선,원흥,3196,3126,6322
202101,일산선,원흥,5136,5083,10219
202101,일산선,삼송,10913,10742,21655
202101,일산선,원당,6629,6344,12973
202101,일산선,화정,10223,10701,20924
202101,일산선,대곡,916,779,1695
202101,일산선,백석,6270,6398,12668
202101,일산선,마두,3983,4058,8041
202101,일산선,정발산,4879,4854,9733
202101,일산선,주엽,5036,5071,10107
202101,일산선,대화,6647,6214,12861
202101,일산선,원흥,3734,3555,7289
202101,일산선,삼송,7985,7872,15857
202101,일산선,원당,4777,4625,9402
202101,일산선,화정,6998,7269,14267
202101,일산선,대곡,691,579,1270
202101,일산선,백석,4466,4356,8822
202101,일산선,마두,2544,2540,5084
202101,일산선,정발산,3772,3711,7483
202101,일산선,주엽,3279,3207,6486
202101,일산선,대화,4555,4260,8815
202101,일산선,원흥,5174,5010,10184
202101,일산선,삼송,11080,11068,22148
202101,일산선,원당,6545,6405,12950
202101,일산선,화정,10364,10870,21234
202101,일산선,대곡,982,743,1725
202101,일산선,백석,6337,6290,12627
202101,일산선,마두,4067,4128,8195
202101,일산선,정발산,4892,5068,9960
202101,일산선,주엽,5098,5072,10170
202101,일산선,대화,6636,6020,12656
202101,일산선,원흥,3715,3641,7356
202101,일산선,삼송,8242,7953,16195
202101,일산선,원당,4686,4544,9230
202101,일산선,화정,7233,7538,14771
202101,일산선,대곡,717,529,1246
202101,일산선,백석,4550,4341,8891
202101,일산선,마두,2580,2607,5187
202101,일산선,정발산,3740,3744,7484
202101,일산선,주엽,3353,3416,6769
202101,일산선,대화,4750,4256,9006
202102,일산선,대화,7013,6488,13501
202102,일산선,주엽,5455,5453,10908
202102,일산선,정발산,5216,5292,10508
202102,일산선,마두,4164,4286,8450
202102,일산선,백석,6524,6657,13181
202102,일산선,대곡,986,858,1844
202102,일산선,화정,10868,11239,22107
202102,일산선,원당,6837,6751,13588
202102,일산선,삼송,11719,11740,23459
202102,일산선,원흥,5612,5459,11071
202102,일산선,대화,4957,4660,9617
202102,일산선,주엽,3621,3553,7174
202102,일산선,정발산,4011,3920,7931
202102,일산선,마두,2716,2703,5419
202102,일산선,백석,4690,4665,9355
202102,일산선,대곡,779,602,1381
202102,일산선,화정,7526,7711,15237
202102,일산선,원당,5033,4882,9915
202102,일산선,삼송,8676,8560,17236
202102,일산선,원흥,3909,3814,7723
202102,일산선,대화,5231,4796,10027
202102,일산선,주엽,3541,3465,7006
202102,일산선,정발산,4346,4580,8926
202102,일산선,마두,2941,2896,5837
202102,일산선,백석,4792,4688,9480
202102,일산선,원흥,3853,3759,7612
202102,일산선,삼송,9150,8977,18127
202102,일산선,원당,5201,4901,10102
202102,일산선,화정,8166,8449,16615
202102,일산선,대곡,773,615,1388
202102,일산선,원흥,3772,3608,7380
202102,일산선,삼송,8314,8245,16559
202102,일산선,원당,4914,4709,9623
202102,일산선,화정,7507,7675,15182
202102,일산선,대곡,746,549,1295
202102,일산선,백석,4575,4467,9042
202102,일산선,마두,2632,2662,5294
202102,일산선,정발산,4054,3995,8049
202102,일산선,주엽,3253,3165,6418
202102,일산선,대화,4784,4480,9264
202102,일산선,원흥,5877,5624,11501
202102,일산선,삼송,12615,12273,24888
202102,일산선,원당,7361,7014,14375
202102,일산선,화정,11574,12092,23666
202102,일산선,대곡,1119,940,2059
202102,일산선,백석,6878,6885,13763
202102,일산선,마두,4462,4606,9068
202102,일산선,정발산,5945,6164,12109
202102,일산선,주엽,5534,5507,11041
202102,일산선,대화,7408,6711,14119
202102,일산선,대화,5484,4960,10444
202102,일산선,주엽,3835,3679,7514
202102,일산선,정발산,4504,4434,8938
202102,일산선,마두,2973,3024,5997
202102,일산선,백석,5022,4964,9986
202102,일산선,대곡,918,702,1620
202102,일산선,화정,8196,8483,16679
202102,일산선,원당,5496,5307,10803
202102,일산선,삼송,9089,9016,18105
202102,일산선,원흥,4181,3979,8160
202102,일산선,원흥,6294,6024,12318
202102,일산선,삼송,13195,12671,25866
202102,일산선,원당,7833,7445,15278
202102,일산선,화정,11958,12344,24302
202102,일산선,대곡,1242,1020,2262
202102,일산선,백석,7151,7267,14418
202102,일산선,마두,4645,4798,9443
202102,일산선,정발산,6040,6278,12318
202102,일산선,주엽,5835,5726,11561
202102,일산선,대화,7841,7051,14892
202102,일산선,원흥,4675,4509,9184
202102,일산선,삼송,9927,9656,19583
202102,일산선,원당,5800,5521,11321
202102,일산선,화정,9043,9460,18503
202102,일산선,대곡,908,765,1673
202102,일산선,백석,5257,5342,10599
202102,일산선,마두,3175,3223,6398
202102,일산선,정발산,4769,4866,9635
202102,일산선,주엽,3932,3974,7906
202102,일산선,대화,5888,5314,11202
202103,일산선,원흥,6313,6091,12404
202103,일산선,지축,1,0,1
202103,일산선,삼송,12756,12497,25253
202103,일산선,원당,7969,7693,15662
202103,일산선,화정,12130,12536,24666
202103,일산선,대곡,1217,1048,2265
202103,일산선,백석,7093,7269,14362
202103,일산선,마두,4836,4894,9730
202103,일산선,정발산,6052,6233,12285
202103,일산선,주엽,5774,5879,11653
202103,일산선,대화,8208,7486,15694
202103,일산선,대화,5800,5301,11101
202103,일산선,주엽,3900,3796,7696
202103,일산선,정발산,4633,4584,9217
202103,일산선,마두,3160,3201,6361
202103,일산선,백석,5076,5005,10081
202103,일산선,대곡,996,741,1737
202103,일산선,화정,8559,8931,17490
202103,일산선,원당,5778,5536,11314
202103,일산선,삼송,9456,9318,18774
202103,일산선,원흥,4549,4452,9001
202103,일산선,원흥,6660,6278,12938
202103,일산선,삼송,13180,12834,26014
202103,일산선,원당,8007,7750,15757
202103,일산선,화정,12229,12876,25105
202103,일산선,대곡,1278,1050,2328
202103,일산선,백석,7343,7468,14811
202103,일산선,마두,4960,4901,9861
202103,일산선,정발산,6478,6637,13115
202103,일산선,주엽,6028,5932,11960
202103,일산선,대화,8045,7179,15224
202103,일산선,대화,5787,5284,11071
202103,일산선,주엽,3924,3883,7807
202103,일산선,정발산,5168,5080,10248
202103,일산선,마두,3179,3174,6353
202103,일산선,대곡,1015,830,1845
202103,일산선,화정,8839,9027,17866
202103,일산선,원당,5891,5734,11625
202103,일산선,삼송,9702,9343,19045
202103,일산선,원흥,4797,4780,9577
202103,일산선,백석,5176,5135,10311
202103,일산선,대화,8403,7750,16153
202103,일산선,주엽,5464,5485,10949
202103,일산선,정발산,5295,5453,10748
202103,일산선,마두,4568,4427,8995
202103,일산선,백석,6716,6737,13453
202103,일산선,대곡,1110,928,2038
202103,일산선,화정,11108,11494,22602
202103,일산선,원당,7244,7006,14250
202103,일산선,삼송,11905,11565,23470
202103,일산선,원흥,6005,5815,11820
202103,일산선,화정,8847,8983,17830
202103,일산선,원당,5817,5610,11427
202103,일산선,삼송,9501,9317,18818
202103,일산선,원흥,4670,4444,9114
202103,일산선,대화,6615,6169,12784
202103,일산선,주엽,4043,3935,7978
202103,일산선,정발산,4670,4461,9131
202103,일산선,마두,3212,3236,6448
202103,일산선,백석,5434,5170,10604
202103,일산선,대곡,1012,828,1840
202103,일산선,원흥,6181,5908,12089
202103,일산선,지축,1,0,1
202103,일산선,삼송,12208,11900,24108
202103,일산선,원당,7313,7102,14415
202103,일산선,화정,11510,11974,23484
