사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210102,경강선,여주,891,853,1744
20210102,경강선,세종대왕릉,135,136,271
20210102,경강선,부발,766,769,1535
20210102,경강선,이천,1235,1239,2474
20210102,경강선,신둔도예촌,458,441,899
20210102,경강선,곤지암,873,831,1704
20210102,경강선,초월,1065,1021,2086
20210102,경강선,경기광주,2452,2465,4917
20210102,경강선,삼동,798,747,1545
20210102,경강선,이매,385,291,676
20210102,경강선,판교,1587,1563,3150
20210103,경강선,판교,1325,1230,2555
20210103,경강선,이매,308,223,531
20210103,경강선,삼동,559,535,1094
20210103,경강선,경기광주,1926,1964,3890
20210103,경강선,초월,878,953,1831
20210103,경강선,곤지암,724,875,1599
20210103,경강선,신둔도예촌,446,373,819
20210103,경강선,이천,1060,1169,2229
20210103,경강선,부발,633,1354,1987
20210103,경강선,세종대왕릉,143,126,269
20210103,경강선,여주,1052,788,1840
20210109,경강선,여주,994,1003,1997
20210109,경강선,세종대왕릉,127,136,263
20210109,경강선,부발,1171,876,2047
20210109,경강선,이천,1470,1538,3008
20210109,경강선,신둔도예촌,546,531,1077
20210109,경강선,곤지암,1116,1017,2133
20210109,경강선,초월,1452,1351,2803
20210109,경강선,경기광주,3167,3145,6312
20210109,경강선,삼동,958,941,1899
20210109,경강선,이매,474,387,861
20210109,경강선,판교,1981,1903,3884
20210110,경강선,여주,842,758,1600
20210110,경강선,세종대왕릉,111,112,223
20210110,경강선,부발,692,1259,1951
20210110,경강선,이천,1056,1194,2250
20210110,경강선,신둔도예촌,408,418,826
20210110,경강선,곤지암,747,885,1632
20210110,경강선,초월,870,924,1794
20210110,경강선,경기광주,2155,2168,4323
20210110,경강선,삼동,567,582,1149
20210110,경강선,이매,341,236,577
20210110,경강선,판교,1529,1399,2928
20210116,경강선,판교,2038,1990,4028
20210116,경강선,이매,545,373,918
20210116,경강선,삼동,1025,1031,2056
20210116,경강선,경기광주,3570,3449,7019
20210116,경강선,초월,1505,1381,2886
20210116,경강선,곤지암,1298,1248,2546
20210116,경강선,신둔도예촌,678,645,1323
20210116,경강선,이천,1683,1717,3400
20210116,경강선,부발,1341,1022,2363
20210116,경강선,세종대왕릉,172,177,349
20210116,경강선,여주,1199,1212,2411
20210117,경강선,판교,1722,1511,3233
20210117,경강선,이매,413,287,700
20210117,경강선,삼동,717,758,1475
20210117,경강선,경기광주,2392,2500,4892
20210117,경강선,초월,1090,1162,2252
20210117,경강선,곤지암,914,1049,1963
