사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210102,경부선,광명,1109,840,1949
20210102,경부선,서동탄,491,480,971
20210102,경부선,당정,2110,2008,4118
20210102,경부선,천안,2932,2870,5802
20210102,경부선,두정,2363,2571,4934
20210102,경부선,직산,357,310,667
20210102,경부선,성환,1498,1565,3063
20210102,경부선,평택,6604,6489,13093
20210102,경부선,지제,1110,966,2076
20210102,경부선,서정리,2572,2788,5360
20210102,경부선,송탄,2187,2166,4353
20210102,경부선,진위,531,448,979
20210102,경부선,오산,4655,4751,9406
20210102,경부선,오산대,1253,1121,2374
20210102,경부선,세마,1006,966,1972
20210102,경부선,병점,5402,5754,11156
20210102,경부선,세류,1187,1246,2433
20210102,경부선,독산,4358,4480,8838
20210102,경부선,수원,18845,19061,37906
20210102,경부선,화서,2418,2374,4792
20210102,경부선,성균관대,4958,5081,10039
20210102,경부선,의왕,3203,3144,6347
20210102,경부선,군포,2314,2305,4619
20210102,경부선,금정,9649,9671,19320
20210102,경부선,명학,2458,2389,4847
20210102,경부선,안양,9055,9027,18082
20210102,경부선,관악,3139,2932,6071
20210102,경부선,석수,3594,3550,7144
20210102,경부선,금천구청,4336,4334,8670
20210102,경부선,가산디지털단지,2882,4278,7160
20210102,경부선,구로,6720,6934,13654
20210102,경부선,신길,3240,2848,6088
20210102,경부선,신도림,1292,1375,2667
20210102,경부선,영등포,21565,21970,43535
20210102,경부선,대방,3911,3934,7845
20210102,경부선,노량진,4195,4115,8310
20210102,경부선,용산,15207,13779,28986
20210102,경부선,남영,2809,3091,5900
20210102,경부선,서울,2092,513,2605
20210103,경부선,광명,1535,856,2391
20210103,경부선,서동탄,458,386,844
20210103,경부선,당정,1673,1697,3370
20210103,경부선,천안,3425,3195,6620
20210103,경부선,두정,2318,2535,4853
20210103,경부선,직산,309,387,696
20210103,경부선,성환,1369,1719,3088
20210103,경부선,평택,6328,6970,13298
20210103,경부선,지제,1309,1253,2562
20210103,경부선,서정리,2143,4158,6301
20210103,경부선,송탄,2016,2450,4466
20210103,경부선,진위,440,448,888
20210103,경부선,오산,4553,5137,9690
20210103,경부선,오산대,1108,1078,2186
20210103,경부선,세마,903,853,1756
20210103,경부선,병점,4795,5551,10346
20210103,경부선,세류,1268,1205,2473
20210103,경부선,독산,3344,3638,6982
20210103,경부선,수원,17961,17314,35275
20210103,경부선,화서,2062,1990,4052
20210103,경부선,성균관대,4207,4630,8837
20210103,경부선,의왕,2446,2468,4914
20210103,경부선,군포,1958,1900,3858
20210103,경부선,서울,3889,580,4469
20210103,경부선,남영,2100,2404,4504
20210103,경부선,용산,16227,12871,29098
20210103,경부선,노량진,3046,3141,6187
20210103,경부선,대방,3183,3578,6761
20210103,경부선,영등포,18497,17774,36271
20210103,경부선,신도림,1090,1096,2186
20210103,경부선,신길,2724,2559,5283
20210103,경부선,구로,5546,5575,11121
20210103,경부선,가산디지털단지,2505,3653,6158
20210103,경부선,금천구청,3585,3504,7089
20210103,경부선,석수,3066,2988,6054
20210103,경부선,관악,2646,2436,5082
20210103,경부선,안양,7605,7249,14854
20210103,경부선,명학,1921,1979,3900
20210103,경부선,금정,7531,7871,15402
20210109,경부선,광명,1323,1188,2511
20210109,경부선,서동탄,527,551,1078
20210109,경부선,당정,2609,2482,5091
20210109,경부선,천안,3040,3225,6265
20210109,경부선,두정,3008,2973,5981
20210109,경부선,직산,359,320,679
20210109,경부선,성환,1643,1587,3230
20210109,경부선,평택,7496,7175,14671
20210109,경부선,지제,1738,1557,3295
20210109,경부선,서정리,4046,3229,7275
20210109,경부선,송탄,2731,2457,5188
20210109,경부선,진위,647,544,1191
20210109,경부선,오산,5555,5390,10945
20210109,경부선,오산대,1560,1430,2990
20210109,경부선,세마,1248,1111,2359
20210109,경부선,병점,7141,7061,14202
