사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210102,경의선,임진강,19,19,38
20210102,경의선,문산,2261,2272,4533
20210102,경의선,파주,399,312,711
20210102,경의선,월롱,539,577,1116
20210102,경의선,금촌,2766,2843,5609
20210102,경의선,금릉,1825,1756,3581
20210102,경의선,운정,2095,2049,4144
20210102,경의선,야당,2450,2321,4771
20210102,경의선,탄현,2721,2646,5367
20210102,경의선,일산,2999,2925,5924
20210102,경의선,풍산,2121,2013,4134
20210102,경의선,백마,2035,1927,3962
20210102,경의선,곡산,200,203,403
20210102,경의선,능곡,1423,1400,2823
20210102,경의선,행신,2479,2467,4946
20210102,경의선,강매,997,898,1895
20210102,경의선,화전,449,454,903
20210102,경의선,수색,642,673,1315
20210102,경의선,디지털미디어시티,885,803,1688
20210102,경의선,가좌,1938,1928,3866
20210102,경의선,홍대입구,708,793,1501
20210102,경의선,서강대,859,822,1681
20210102,경의선,공덕,1140,925,2065
20210102,경의선,효창공원앞,935,1040,1975
20210102,경의선,신촌,163,150,313
20210102,경의선,서울,477,514,991
20210103,경의선,임진강,15,18,33
20210103,경의선,문산,1890,1822,3712
20210103,경의선,파주,348,310,658
20210103,경의선,월롱,413,824,1237
20210103,경의선,금촌,2225,2352,4577
20210103,경의선,금릉,1363,1344,2707
20210103,경의선,운정,1765,1657,3422
20210103,경의선,야당,1945,1830,3775
20210103,경의선,탄현,2226,2087,4313
20210103,경의선,일산,2683,2424,5107
20210103,경의선,풍산,1773,1619,3392
20210103,경의선,백마,1687,1632,3319
20210103,경의선,곡산,143,131,274
20210103,경의선,능곡,1233,1142,2375
20210103,경의선,행신,2178,2149,4327
20210103,경의선,강매,741,712,1453
20210103,경의선,화전,384,373,757
20210103,경의선,수색,473,519,992
20210103,경의선,디지털미디어시티,709,686,1395
20210103,경의선,가좌,1483,1505,2988
20210103,경의선,홍대입구,579,635,1214
20210103,경의선,서강대,616,670,1286
20210103,경의선,공덕,837,682,1519
20210103,경의선,효창공원앞,685,867,1552
20210103,경의선,신촌,103,116,219
20210103,경의선,서울,493,453,946
20210109,경의선,임진강,6,11,17
20210109,경의선,문산,2372,2431,4803
20210109,경의선,파주,447,326,773
20210109,경의선,월롱,829,718,1547
20210109,경의선,금촌,3008,2923,5931
20210109,경의선,금릉,1952,1948,3900
20210109,경의선,운정,2337,2306,4643
20210109,경의선,야당,2778,2679,5457
20210109,경의선,탄현,3098,3159,6257
20210109,경의선,일산,3441,3458,6899
20210109,경의선,풍산,2248,2266,4514
20210109,경의선,백마,2358,2286,4644
20210109,경의선,곡산,188,201,389
20210109,경의선,능곡,1503,1552,3055
20210109,경의선,행신,2876,2924,5800
20210109,경의선,강매,1112,963,2075
20210109,경의선,화전,1611,1461,3072
20210109,경의선,수색,744,732,1476
20210109,경의선,디지털미디어시티,1037,970,2007
20210109,경의선,가좌,2283,2237,4520
20210109,경의선,홍대입구,820,931,1751
20210109,경의선,서강대,981,929,1910
20210109,경의선,공덕,1554,1105,2659
20210109,경의선,효창공원앞,1104,1270,2374
20210109,경의선,신촌,201,205,406
20210109,경의선,서울,589,664,1253
20210110,경의선,임진강,11,10,21
20210110,경의선,문산,1779,1764,3543
20210110,경의선,파주,324,277,601
20210110,경의선,월롱,453,860,1313
20210110,경의선,금촌,2240,2478,4718
20210110,경의선,금릉,1430,1393,2823
20210110,경의선,운정,1772,1680,3452
20210110,경의선,야당,2038,1875,3913
20210110,경의선,탄현,2125,2097,4222
20210110,경의선,일산,2423,2316,4739
20210110,경의선,풍산,1792,1591,3383
20210110,경의선,백마,1661,1688,3349
20210110,경의선,곡산,139,145,284
20210110,경의선,능곡,1198,1154,2352
20210110,경의선,행신,2156,2170,4326
20210110,경의선,강매,728,728,1456
20210110,경의선,화전,426,404,830
20210110,경의선,수색,497,513,1010
20210110,경의선,디지털미디어시티,686,644,1330
20210110,경의선,가좌,1486,1514,3000
20210110,경의선,홍대입구,683,683,1366
20210110,경의선,서강대,626,660,1286
20210110,경의선,공덕,953,740,1693
20210110,경의선,효창공원앞,744,873,1617
20210110,경의선,신촌,126,140,266
20210110,경의선,서울,450,450,900
20210116,경의선,서울,747,805,1552
20210116,경의선,신촌,251,226,477
20210116,경의선,효창공원앞,1321,1456,2777
20210116,경의선,공덕,1658,1301,2959
20210116,경의선,서강대,1538,1449,2987
20210116,경의선,홍대입구,1029,1196,2225
20210116,경의선,가좌,2725,2650,5375
20210116,경의선,디지털미디어시티,1294,1189,2483
20210116,경의선,수색,878,887,1765
20210116,경의선,화전,686,642,1328
20210116,경의선,강매,1407,1288,2695
20210116,경의선,행신,3329,3498,6827
20210116,경의선,능곡,1910,1893,3803
20210116,경의선,곡산,215,232,447
20210116,경의선,백마,2789,2692,5481
20210116,경의선,풍산,2762,2730,5492
20210116,경의선,일산,4109,4151,8260
20210116,경의선,탄현,3531,3421,6952
20210116,경의선,야당,3138,3135,6273
20210116,경의선,운정,2836,2715,5551
20210116,경의선,금릉,2379,2296,4675
20210116,경의선,금촌,3835,3839,7674
20210116,경의선,월롱,862,847,1709
20210116,경의선,파주,514,407,921
20210116,경의선,문산,2867,2840,5707
20210116,경의선,임진강,13,9,22
20210117,경의선,임진강,12,12,24
20210117,경의선,문산,2055,2028,4083
20210117,경의선,파주,383,327,710
20210117,경의선,월롱,495,957,1452
20210117,경의선,금촌,2512,2709,5221
20210117,경의선,금릉,1618,1601,3219
20210117,경의선,운정,1983,1887,3870
20210117,경의선,야당,2245,2216,4461
20210117,경의선,탄현,2555,2466,5021
20210117,경의선,일산,2871,2609,5480
20210117,경의선,풍산,2017,1891,3908
20210117,경의선,백마,2024,1897,3921
20210117,경의선,곡산,169,167,336
20210117,경의선,능곡,1427,1336,2763
20210117,경의선,행신,2492,2494,4986
20210117,경의선,강매,849,836,1685
20210117,경의선,화전,426,450,876
20210117,경의선,수색,630,699,1329
20210117,경의선,디지털미디어시티,806,755,1561
20210117,경의선,가좌,1785,1810,3595
20210117,경의선,홍대입구,832,925,1757
20210117,경의선,서강대,794,749,1543
20210117,경의선,공덕,1117,866,1983
20210117,경의선,효창공원앞,828,987,1815
20210117,경의선,신촌,137,155,292
20210117,경의선,서울,559,554,1113
20210123,경의선,서울,874,905,1779
20210123,경의선,신촌,290,265,555
