사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210102,공항철도 1호선,영종,1351,1383,2734
20210102,공항철도 1호선,인천공항2터미널,1362,1267,2629
20210102,공항철도 1호선,인천공항1터미널,2500,2491,4991
20210102,공항철도 1호선,공항화물청사,1000,1059,2059
20210102,공항철도 1호선,운서,3250,3399,6649
20210102,공항철도 1호선,청라국제도시,1850,1693,3543
20210102,공항철도 1호선,검암,2453,2469,4922
20210102,공항철도 1호선,계양,3031,3034,6065
20210102,공항철도 1호선,김포공항,5590,2573,8163
20210102,공항철도 1호선,마곡나루,1084,1149,2233
20210102,공항철도 1호선,디지털미디어시티,2435,2360,4795
20210102,공항철도 1호선,홍대입구,3907,3896,7803
20210102,공항철도 1호선,공덕,669,968,1637
20210102,공항철도 1호선,서울,3039,2472,5511
20210103,공항철도 1호선,운서,2822,3256,6078
20210103,공항철도 1호선,공항화물청사,738,827,1565
20210103,공항철도 1호선,인천공항1터미널,2393,2370,4763
20210103,공항철도 1호선,인천공항2터미널,1351,1286,2637
20210103,공항철도 1호선,영종,1131,1107,2238
20210103,공항철도 1호선,서울,3898,2847,6745
20210103,공항철도 1호선,공덕,590,856,1446
20210103,공항철도 1호선,홍대입구,3208,3285,6493
20210103,공항철도 1호선,디지털미디어시티,1916,2039,3955
20210103,공항철도 1호선,마곡나루,934,1067,2001
20210103,공항철도 1호선,김포공항,7307,3153,10460
20210103,공항철도 1호선,계양,2634,2492,5126
20210103,공항철도 1호선,검암,2081,2077,4158
20210103,공항철도 1호선,청라국제도시,1616,1433,3049
20210109,공항철도 1호선,영종,1433,1514,2947
20210109,공항철도 1호선,인천공항2터미널,1533,1403,2936
20210109,공항철도 1호선,인천공항1터미널,2344,2493,4837
20210109,공항철도 1호선,공항화물청사,1153,1206,2359
20210109,공항철도 1호선,운서,3579,3675,7254
20210109,공항철도 1호선,청라국제도시,2272,2130,4402
20210109,공항철도 1호선,검암,2791,2798,5589
20210109,공항철도 1호선,계양,3483,3551,7034
20210109,공항철도 1호선,김포공항,5658,3140,8798
20210109,공항철도 1호선,마곡나루,1416,1386,2802
20210109,공항철도 1호선,디지털미디어시티,3125,3062,6187
20210109,공항철도 1호선,홍대입구,4761,4800,9561
20210109,공항철도 1호선,공덕,914,1378,2292
20210109,공항철도 1호선,서울,3444,3378,6822
20210110,공항철도 1호선,영종,1211,1154,2365
20210110,공항철도 1호선,인천공항2터미널,1415,1392,2807
20210110,공항철도 1호선,인천공항1터미널,2340,2434,4774
20210110,공항철도 1호선,공항화물청사,858,899,1757
20210110,공항철도 1호선,운서,2917,3110,6027
20210110,공항철도 1호선,청라국제도시,1624,1509,3133
20210110,공항철도 1호선,검암,2146,2124,4270
20210110,공항철도 1호선,계양,2567,2517,5084
20210110,공항철도 1호선,김포공항,5375,2999,8374
20210110,공항철도 1호선,마곡나루,981,1044,2025
20210110,공항철도 1호선,디지털미디어시티,2061,2048,4109
20210110,공항철도 1호선,홍대입구,3779,3464,7243
20210110,공항철도 1호선,공덕,597,794,1391
20210110,공항철도 1호선,서울,3342,2723,6065
20210116,공항철도 1호선,서울,3907,3856,7763
20210116,공항철도 1호선,공덕,956,1437,2393
20210116,공항철도 1호선,홍대입구,5975,5830,11805
20210116,공항철도 1호선,디지털미디어시티,3434,3253,6687
20210116,공항철도 1호선,마곡나루,1724,1769,3493
20210116,공항철도 1호선,김포공항,6300,3720,10020
20210116,공항철도 1호선,계양,4178,4131,8309
20210116,공항철도 1호선,검암,3151,3144,6295
20210116,공항철도 1호선,청라국제도시,2514,2453,4967
20210116,공항철도 1호선,운서,4063,4092,8155
20210116,공항철도 1호선,공항화물청사,1215,1184,2399
20210116,공항철도 1호선,인천공항1터미널,2629,2858,5487
20210116,공항철도 1호선,인천공항2터미널,1556,1376,2932
20210116,공항철도 1호선,영종,1718,1839,3557
20210117,공항철도 1호선,영종,1349,1305,2654
20210117,공항철도 1호선,인천공항2터미널,1490,1389,2879
20210117,공항철도 1호선,인천공항1터미널,2530,2600,5130
20210117,공항철도 1호선,공항화물청사,830,945,1775
20210117,공항철도 1호선,운서,3251,3468,6719
20210117,공항철도 1호선,청라국제도시,1882,1686,3568
20210117,공항철도 1호선,검암,2299,2392,4691
20210117,공항철도 1호선,계양,2883,2791,5674
20210117,공항철도 1호선,김포공항,6833,3784,10617
20210117,공항철도 1호선,마곡나루,1159,1203,2362
20210117,공항철도 1호선,디지털미디어시티,2477,2397,4874
20210117,공항철도 1호선,홍대입구,4647,4094,8741
20210117,공항철도 1호선,공덕,795,1019,1814
20210117,공항철도 1호선,서울,3989,3450,7439
20210123,공항철도 1호선,서울,4466,4274,8740
20210123,공항철도 1호선,공덕,1112,1685,2797
20210123,공항철도 1호선,홍대입구,7364,7226,14590
20210123,공항철도 1호선,디지털미디어시티,4193,3829,8022
20210123,공항철도 1호선,마곡나루,2122,2280,4402
20210123,공항철도 1호선,김포공항,6862,3886,10748
20210123,공항철도 1호선,계양,4705,4370,9075
20210123,공항철도 1호선,검암,3566,3688,7254
20210123,공항철도 1호선,청라국제도시,3027,2884,5911
20210123,공항철도 1호선,운서,4414,4457,8871
20210123,공항철도 1호선,공항화물청사,1237,1240,2477
20210123,공항철도 1호선,인천공항1터미널,2642,2793,5435
20210123,공항철도 1호선,인천공항2터미널,1543,1393,2936
20210123,공항철도 1호선,영종,1961,2047,4008
20210124,공항철도 1호선,서울,4265,3662,7927
20210124,공항철도 1호선,공덕,849,1195,2044
20210124,공항철도 1호선,홍대입구,6020,5465,11485
20210124,공항철도 1호선,디지털미디어시티,2712,2613,5325
20210124,공항철도 1호선,마곡나루,1544,1598,3142
20210124,공항철도 1호선,김포공항,7233,4081,11314
20210124,공항철도 1호선,계양,3353,3246,6599
20210124,공항철도 1호선,검암,2666,2800,5466
20210124,공항철도 1호선,청라국제도시,2158,2067,4225
20210124,공항철도 1호선,운서,3525,3732,7257
20210124,공항철도 1호선,공항화물청사,822,924,1746
20210124,공항철도 1호선,인천공항1터미널,2761,2688,5449
20210124,공항철도 1호선,인천공항2터미널,1393,1248,2641
20210124,공항철도 1호선,영종,1567,1569,3136
20210130,공항철도 1호선,서울,4394,4250,8644
20210130,공항철도 1호선,공덕,1124,1665,2789
20210130,공항철도 1호선,홍대입구,8013,7493,15506
20210130,공항철도 1호선,디지털미디어시티,3811,3475,7286
20210130,공항철도 1호선,마곡나루,2086,2234,4320
20210130,공항철도 1호선,김포공항,7512,4143,11655
20210130,공항철도 1호선,계양,4681,4414,9095
20210130,공항철도 1호선,검암,3528,3510,7038
20210130,공항철도 1호선,청라국제도시,2949,2839,5788
20210130,공항철도 1호선,운서,4360,4342,8702
20210130,공항철도 1호선,공항화물청사,1192,1203,2395
20210130,공항철도 1호선,인천공항1터미널,2586,2789,5375
20210130,공항철도 1호선,인천공항2터미널,1565,1423,2988
20210130,공항철도 1호선,영종,1986,2133,4119
20210131,공항철도 1호선,서울,4296,3711,8007
20210131,공항철도 1호선,공덕,860,1169,2029
20210131,공항철도 1호선,홍대입구,6195,5711,11906
20210131,공항철도 1호선,디지털미디어시티,2701,2718,5419
20210131,공항철도 1호선,마곡나루,1582,1692,3274
20210131,공항철도 1호선,김포공항,7986,4279,12265
20210131,공항철도 1호선,계양,3343,3321,6664
20210131,공항철도 1호선,검암,2740,2790,5530
20210131,공항철도 1호선,청라국제도시,2215,2066,4281
20210131,공항철도 1호선,운서,3661,3883,7544
20210131,공항철도 1호선,공항화물청사,885,943,1828
20210131,공항철도 1호선,인천공항1터미널,2781,2889,5670
20210131,공항철도 1호선,인천공항2터미널,1454,1428,2882
20210131,공항철도 1호선,영종,1632,1538,3170
20210206,공항철도 1호선,서울,4513,4437,8950
20210206,공항철도 1호선,공덕,1181,1672,2853
20210206,공항철도 1호선,홍대입구,8633,8144,16777
20210206,공항철도 1호선,디지털미디어시티,4165,3803,7968
20210206,공항철도 1호선,마곡나루,2190,2371,4561
20210206,공항철도 1호선,김포공항,8022,4659,12681
20210206,공항철도 1호선,계양,5056,4727,9783
20210206,공항철도 1호선,검암,3643,3665,7308
20210206,공항철도 1호선,청라국제도시,3115,3049,6164
20210206,공항철도 1호선,운서,4448,4665,9113
20210206,공항철도 1호선,공항화물청사,1174,1226,2400
20210206,공항철도 1호선,인천공항1터미널,2616,2702,5318
20210206,공항철도 1호선,인천공항2터미널,1535,1409,2944
20210206,공항철도 1호선,영종,2022,2087,4109
20210207,공항철도 1호선,영종,1603,1622,3225
20210207,공항철도 1호선,인천공항2터미널,1406,1264,2670
20210207,공항철도 1호선,인천공항1터미널,2599,2618,5217
20210207,공항철도 1호선,공항화물청사,908,991,1899
20210207,공항철도 1호선,운서,3906,3861,7767
20210207,공항철도 1호선,청라국제도시,2212,2115,4327
20210207,공항철도 1호선,검암,2679,2701,5380
20210207,공항철도 1호선,계양,3528,3435,6963
20210207,공항철도 1호선,김포공항,8219,4730,12949
20210207,공항철도 1호선,마곡나루,1423,1596,3019
20210207,공항철도 1호선,디지털미디어시티,2721,2718,5439
20210207,공항철도 1호선,홍대입구,6711,5992,12703
20210207,공항철도 1호선,공덕,866,1146,2012
20210207,공항철도 1호선,서울,4091,4015,8106
20210213,공항철도 1호선,서울,4957,3264,8221
20210213,공항철도 1호선,공덕,819,1193,2012
20210213,공항철도 1호선,홍대입구,6784,6954,13738
20210213,공항철도 1호선,디지털미디어시티,2724,2788,5512
20210213,공항철도 1호선,마곡나루,1475,1722,3197
20210213,공항철도 1호선,김포공항,9303,4219,13522
20210213,공항철도 1호선,계양,3880,3600,7480
20210213,공항철도 1호선,검암,3006,3006,6012
20210213,공항철도 1호선,청라국제도시,2394,2184,4578
20210213,공항철도 1호선,운서,3623,3987,7610
20210213,공항철도 1호선,공항화물청사,858,889,1747
20210213,공항철도 1호선,인천공항1터미널,2940,2910,5850
20210213,공항철도 1호선,인천공항2터미널,1492,1283,2775
20210213,공항철도 1호선,영종,1796,1794,3590
20210214,공항철도 1호선,영종,1667,1637,3304
20210214,공항철도 1호선,인천공항2터미널,1389,1270,2659
20210214,공항철도 1호선,인천공항1터미널,2668,2629,5297
20210214,공항철도 1호선,공항화물청사,805,902,1707
20210214,공항철도 1호선,운서,3597,4087,7684
20210214,공항철도 1호선,청라국제도시,2327,2171,4498
20210214,공항철도 1호선,검암,2803,2818,5621
20210214,공항철도 1호선,계양,3554,3494,7048
20210214,공항철도 1호선,김포공항,12693,4938,17631
20210214,공항철도 1호선,마곡나루,1387,1549,2936
20210214,공항철도 1호선,디지털미디어시티,2561,2789,5350
20210214,공항철도 1호선,홍대입구,6645,6558,13203
20210214,공항철도 1호선,공덕,856,1119,1975
20210214,공항철도 1호선,서울,5047,3875,8922
20210220,공항철도 1호선,서울,5696,5756,11452
20210220,공항철도 1호선,공덕,1364,1915,3279
20210220,공항철도 1호선,홍대입구,10031,9531,19562
20210220,공항철도 1호선,디지털미디어시티,4583,4419,9002
20210220,공항철도 1호선,마곡나루,2503,2759,5262
20210220,공항철도 1호선,김포공항,9382,5023,14405
20210220,공항철도 1호선,계양,5640,5145,10785
20210220,공항철도 1호선,검암,4212,4374,8586
20210220,공항철도 1호선,청라국제도시,3493,3333,6826
20210220,공항철도 1호선,운서,5002,5112,10114
20210220,공항철도 1호선,공항화물청사,1191,1261,2452
20210220,공항철도 1호선,인천공항1터미널,2895,3099,5994
20210220,공항철도 1호선,인천공항2터미널,1523,1367,2890
20210220,공항철도 1호선,영종,2385,2451,4836
20210221,공항철도 1호선,영종,1937,1911,3848
20210221,공항철도 1호선,인천공항2터미널,1452,1331,2783
20210221,공항철도 1호선,인천공항1터미널,3095,3096,6191
20210221,공항철도 1호선,공항화물청사,886,967,1853
20210221,공항철도 1호선,운서,4068,4415,8483
20210221,공항철도 1호선,청라국제도시,2603,2501,5104
20210221,공항철도 1호선,검암,3128,3266,6394
20210221,공항철도 1호선,계양,4115,4071,8186
20210221,공항철도 1호선,김포공항,9657,4897,14554
20210221,공항철도 1호선,마곡나루,1752,1937,3689
20210221,공항철도 1호선,디지털미디어시티,3171,3191,6362
20210221,공항철도 1호선,홍대입구,8279,7254,15533
20210221,공항철도 1호선,공덕,995,1363,2358
20210221,공항철도 1호선,서울,5234,4688,9922
20210227,공항철도 1호선,서울,6222,6895,13117
20210227,공항철도 1호선,공덕,1321,2054,3375
20210227,공항철도 1호선,홍대입구,10436,10063,20499
20210227,공항철도 1호선,디지털미디어시티,5068,4524,9592
20210227,공항철도 1호선,마곡나루,2663,2895,5558
20210227,공항철도 1호선,김포공항,11102,5131,16233
20210227,공항철도 1호선,계양,6115,5521,11636
20210227,공항철도 1호선,검암,4513,4487,9000
20210227,공항철도 1호선,청라국제도시,3843,3552,7395
20210227,공항철도 1호선,운서,5247,5516,10763
20210227,공항철도 1호선,공항화물청사,1253,1286,2539
20210227,공항철도 1호선,인천공항1터미널,3264,3512,6776
20210227,공항철도 1호선,인천공항2터미널,1597,1498,3095
20210227,공항철도 1호선,영종,2523,2614,5137
20210228,공항철도 1호선,서울,5283,4864,10147
20210228,공항철도 1호선,공덕,977,1410,2387
20210228,공항철도 1호선,홍대입구,8709,8048,16757
20210228,공항철도 1호선,디지털미디어시티,3185,3241,6426
20210228,공항철도 1호선,마곡나루,1924,2211,4135
20210228,공항철도 1호선,김포공항,9626,5047,14673
20210228,공항철도 1호선,계양,4485,4229,8714
20210228,공항철도 1호선,검암,3404,3544,6948
20210228,공항철도 1호선,청라국제도시,2791,2701,5492
20210228,공항철도 1호선,운서,4684,4824,9508
