사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210102,과천선,범계,10408,9875,20283
20210102,과천선,평촌,4615,4557,9172
20210102,과천선,인덕원,7595,7536,15131
20210102,과천선,정부과천청사,2590,2651,5241
20210102,과천선,과천,1995,1789,3784
20210102,과천선,대공원,1691,1777,3468
20210102,과천선,경마공원,598,594,1192
20210102,과천선,선바위,2460,2269,4729
20210103,과천선,선바위,1852,1778,3630
20210103,과천선,경마공원,490,460,950
20210103,과천선,대공원,1495,1593,3088
20210103,과천선,과천,1560,1448,3008
20210103,과천선,정부과천청사,2001,2141,4142
20210103,과천선,인덕원,5628,5627,11255
20210103,과천선,평촌,3406,3353,6759
20210103,과천선,범계,7540,7147,14687
20210109,과천선,범계,12881,12522,25403
20210109,과천선,평촌,6096,6114,12210
20210109,과천선,인덕원,9401,9318,18719
20210109,과천선,정부과천청사,3029,3175,6204
20210109,과천선,과천,2512,2087,4599
20210109,과천선,대공원,1151,1270,2421
20210109,과천선,경마공원,699,707,1406
20210109,과천선,선바위,2948,2720,5668
20210110,과천선,범계,8451,8084,16535
20210110,과천선,평촌,3806,3700,7506
20210110,과천선,인덕원,6125,6231,12356
20210110,과천선,정부과천청사,2140,2134,4274
20210110,과천선,과천,1649,1422,3071
20210110,과천선,대공원,1362,1488,2850
20210110,과천선,경마공원,534,514,1048
20210110,과천선,선바위,1855,1895,3750
20210116,과천선,선바위,3305,3096,6401
20210116,과천선,경마공원,717,688,1405
20210116,과천선,대공원,2085,2291,4376
20210116,과천선,과천,3006,2710,5716
20210116,과천선,정부과천청사,3675,3740,7415
20210116,과천선,인덕원,10706,10473,21179
20210116,과천선,평촌,6509,6577,13086
20210116,과천선,범계,14097,13762,27859
20210117,과천선,범계,9477,8914,18391
20210117,과천선,평촌,4288,4029,8317
20210117,과천선,인덕원,6896,6828,13724
20210117,과천선,정부과천청사,2435,2433,4868
20210117,과천선,과천,1879,1873,3752
20210117,과천선,대공원,1578,1716,3294
20210117,과천선,경마공원,518,505,1023
20210117,과천선,선바위,2203,2110,4313
20210123,과천선,선바위,3849,3435,7284
20210123,과천선,경마공원,866,841,1707
20210123,과천선,대공원,2527,2711,5238
20210123,과천선,과천,3085,2892,5977
20210123,과천선,정부과천청사,3875,3912,7787
20210123,과천선,인덕원,12096,11705,23801
20210123,과천선,평촌,7090,7145,14235
20210123,과천선,범계,15385,15031,30416
20210124,과천선,선바위,2550,2488,5038
20210124,과천선,경마공원,567,569,1136
20210124,과천선,대공원,2814,2942,5756
20210124,과천선,과천,2250,2004,4254
20210124,과천선,정부과천청사,2767,2929,5696
20210124,과천선,인덕원,8203,8032,16235
20210124,과천선,평촌,4597,4492,9089
20210124,과천선,범계,10510,10310,20820
20210130,과천선,선바위,3584,3386,6970
20210130,과천선,경마공원,809,805,1614
20210130,과천선,대공원,2176,2399,4575
20210130,과천선,과천,3140,2911,6051
20210130,과천선,정부과천청사,4032,4137,8169
20210130,과천선,인덕원,12095,11873,23968
20210130,과천선,평촌,7402,7383,14785
20210130,과천선,범계,15812,15304,31116
20210131,과천선,선바위,2465,2338,4803
20210131,과천선,경마공원,601,550,1151
20210131,과천선,대공원,2522,2748,5270
20210131,과천선,과천,2410,2134,4544
20210131,과천선,정부과천청사,2884,2952,5836
20210131,과천선,인덕원,8022,8027,16049
20210131,과천선,평촌,4738,4503,9241
20210131,과천선,범계,10506,10342,20848
20210206,과천선,선바위,3996,3589,7585
20210206,과천선,경마공원,829,823,1652
20210206,과천선,대공원,2814,3032,5846
20210206,과천선,과천,3493,3214,6707
20210206,과천선,정부과천청사,4428,4509,8937
20210206,과천선,인덕원,12433,12496,24929
20210206,과천선,평촌,7573,7463,15036
20210206,과천선,범계,16378,15912,32290
20210207,과천선,범계,11332,10890,22222
20210207,과천선,평촌,4778,4602,9380
20210207,과천선,인덕원,8543,8501,17044
20210207,과천선,정부과천청사,2946,3162,6108
20210207,과천선,과천,2345,2211,4556
20210207,과천선,대공원,2174,2317,4491
20210207,과천선,경마공원,488,460,948
20210207,과천선,선바위,2639,2503,5142
20210213,과천선,선바위,2660,2379,5039
20210213,과천선,경마공원,385,347,732
20210213,과천선,대공원,3815,4015,7830
20210213,과천선,과천,2544,2122,4666
20210213,과천선,정부과천청사,3209,3230,6439
20210213,과천선,인덕원,8932,8798,17730
20210213,과천선,평촌,4866,4943,9809
20210213,과천선,범계,12367,11769,24136
20210214,과천선,범계,11355,10767,22122
20210214,과천선,평촌,4669,4562,9231
20210214,과천선,인덕원,8314,8352,16666
20210214,과천선,정부과천청사,2991,3180,6171
20210214,과천선,과천,2470,2119,4589
20210214,과천선,대공원,2814,3005,5819
20210214,과천선,경마공원,440,411,851
20210214,과천선,선바위,2595,2399,4994
20210220,과천선,선바위,4452,4018,8470
20210220,과천선,경마공원,963,936,1899
20210220,과천선,대공원,3565,3909,7474
20210220,과천선,과천,3868,3322,7190
20210220,과천선,정부과천청사,5025,5202,10227
20210220,과천선,인덕원,13628,13146,26774
20210220,과천선,평촌,8406,8246,16652
20210220,과천선,범계,18055,17858,35913
20210221,과천선,범계,12538,12033,24571
