사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210102,분당선,매교,978,1008,1986
20210102,분당선,수원시청,5164,5641,10805
20210102,분당선,매탄권선,1732,1726,3458
20210102,분당선,망포,4315,4211,8526
20210102,분당선,영통,3215,3246,6461
20210102,분당선,청명,1336,1300,2636
20210102,분당선,상갈,2044,2044,4088
20210102,분당선,기흥,3519,3313,6832
20210102,분당선,신갈,1379,1417,2796
20210102,분당선,구성,1684,1720,3404
20210102,분당선,죽전,5628,6418,12046
20210102,분당선,보정,787,752,1539
20210102,분당선,이매,1869,1869,3738
20210102,분당선,오리,4351,3739,8090
20210102,분당선,미금,6304,6358,12662
20210102,분당선,정자,5544,5690,11234
20210102,분당선,수내,4893,4807,9700
20210102,분당선,서현,10585,10503,21088
20210102,분당선,야탑,9169,9617,18786
20210102,분당선,모란,9165,9408,18573
20210102,분당선,태평,6241,6236,12477
20210102,분당선,가천대,2402,2867,5269
20210102,분당선,선정릉,1559,1619,3178
20210102,분당선,강남구청,2394,2759,5153
20210102,분당선,압구정로데오,8455,8885,17340
20210102,분당선,서울숲,2422,2457,4879
20210102,분당선,수원,4042,3301,7343
20210102,분당선,수서,4770,4354,9124
20210102,분당선,대모산입구,1120,1041,2161
20210102,분당선,개포동,1181,1203,2384
20210102,분당선,구룡,470,434,904
20210102,분당선,도곡,2193,2136,4329
20210102,분당선,한티,5624,5672,11296
20210102,분당선,선릉,2467,3453,5920
20210103,분당선,선릉,1530,2294,3824
20210103,분당선,한티,3937,4139,8076
20210103,분당선,도곡,1430,1393,2823
20210103,분당선,구룡,314,377,691
20210103,분당선,개포동,887,925,1812
20210103,분당선,대모산입구,830,792,1622
20210103,분당선,수서,4605,4022,8627
20210103,분당선,수원,3277,2678,5955
20210103,분당선,서울숲,1937,1943,3880
20210103,분당선,압구정로데오,5047,5418,10465
20210103,분당선,강남구청,1557,1746,3303
20210103,분당선,선정릉,1047,1158,2205
20210103,분당선,가천대,1933,2469,4402
20210103,분당선,태평,4935,4748,9683
20210103,분당선,모란,6322,6744,13066
20210103,분당선,야탑,7491,7235,14726
20210103,분당선,서현,7656,7713,15369
20210103,분당선,수내,3671,3530,7201
20210103,분당선,정자,3917,4110,8027
20210103,분당선,미금,4098,4425,8523
20210103,분당선,오리,3110,2852,5962
20210103,분당선,이매,1418,1470,2888
20210103,분당선,보정,542,530,1072
20210103,분당선,죽전,4527,5173,9700
20210103,분당선,구성,1285,1280,2565
20210103,분당선,신갈,1031,1065,2096
20210103,분당선,기흥,2895,2745,5640
20210103,분당선,상갈,1601,1700,3301
20210103,분당선,청명,1023,1057,2080
20210103,분당선,영통,2483,2554,5037
20210103,분당선,망포,3415,3812,7227
20210103,분당선,매탄권선,1373,1326,2699
20210103,분당선,수원시청,4007,3946,7953
20210103,분당선,매교,754,807,1561
20210109,분당선,오리,5248,4483,9731
20210109,분당선,미금,7974,7943,15917
20210109,분당선,정자,7504,7683,15187
20210109,분당선,수내,6546,6242,12788
20210109,분당선,서현,13426,13329,26755
20210109,분당선,야탑,11646,12516,24162
20210109,분당선,모란,12226,12401,24627
20210109,분당선,태평,7961,7737,15698
20210109,분당선,가천대,3144,3643,6787
20210109,분당선,선정릉,2305,2419,4724
20210109,분당선,강남구청,3529,4042,7571
20210109,분당선,압구정로데오,11461,12019,23480
20210109,분당선,서울숲,3261,3280,6541
20210109,분당선,수원,4786,3994,8780
20210109,분당선,수서,5948,6146,12094
20210109,분당선,대모산입구,1803,1655,3458
20210109,분당선,개포동,1647,1666,3313
20210109,분당선,구룡,865,776,1641
20210109,분당선,도곡,2836,2728,5564
20210109,분당선,한티,7722,7553,15275
20210109,분당선,선릉,3524,5138,8662
20210109,분당선,매교,1268,1360,2628
20210109,분당선,수원시청,7335,7815,15150
20210109,분당선,매탄권선,2389,2323,4712
20210109,분당선,망포,6451,6025,12476
20210109,분당선,영통,4498,4454,8952
