사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210102,수인선,인천,634,986,1620
20210102,수인선,신포,797,823,1620
20210102,수인선,숭의,1542,1442,2984
20210102,수인선,인하대,2208,2125,4333
20210102,수인선,송도,1187,1125,2312
20210102,수인선,연수,2123,2095,4218
20210102,수인선,원인재,2108,2232,4340
20210102,수인선,남동인더스파크,507,508,1015
20210102,수인선,호구포,1277,1341,2618
20210102,수인선,인천논현,2535,2554,5089
20210102,수인선,소래포구,2892,2907,5799
20210102,수인선,월곶,1194,1130,2324
20210102,수인선,달월,39,39,78
20210102,수인선,사리,1559,1353,2912
20210102,수인선,야목,80,82,162
20210102,수인선,어천,254,254,508
20210102,수인선,오목천,875,806,1681
20210102,수인선,고색,1078,1109,2187
20210103,수인선,고색,889,948,1837
20210103,수인선,오목천,698,711,1409
20210103,수인선,어천,215,337,552
20210103,수인선,야목,87,75,162
20210103,수인선,사리,1197,1004,2201
20210103,수인선,달월,37,30,67
20210103,수인선,월곶,959,909,1868
20210103,수인선,소래포구,2379,2288,4667
20210103,수인선,인천논현,1784,1852,3636
20210103,수인선,호구포,1124,1191,2315
20210103,수인선,남동인더스파크,328,422,750
20210103,수인선,원인재,1633,1658,3291
20210103,수인선,연수,1616,1597,3213
20210103,수인선,송도,905,858,1763
20210103,수인선,인하대,1801,1697,3498
20210103,수인선,숭의,1148,1061,2209
20210103,수인선,신포,654,606,1260
20210103,수인선,인천,509,806,1315
20210109,수인선,인천,598,977,1575
20210109,수인선,신포,856,886,1742
20210109,수인선,숭의,1739,1671,3410
20210109,수인선,인하대,3622,3227,6849
20210109,수인선,송도,1266,1187,2453
20210109,수인선,연수,2457,2508,4965
20210109,수인선,야목,123,102,225
20210109,수인선,어천,304,285,589
20210109,수인선,오목천,1196,1091,2287
20210109,수인선,고색,1630,1665,3295
20210109,수인선,원인재,2426,2594,5020
20210109,수인선,남동인더스파크,782,800,1582
20210109,수인선,호구포,1812,1748,3560
20210109,수인선,인천논현,2952,2984,5936
