사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
20210102,장항선,신창,425,447,872
20210102,장항선,온양온천,2035,2011,4046
20210102,장항선,배방,408,407,815
20210102,장항선,아산,1344,1102,2446
20210102,장항선,쌍용,773,703,1476
20210102,장항선,봉명,411,375,786
20210103,장항선,봉명,342,328,670
20210103,장항선,쌍용,694,321,1015
20210103,장항선,아산,1990,1231,3221
20210103,장항선,배방,357,475,832
20210103,장항선,온양온천,2108,2025,4133
20210103,장항선,신창,484,584,1068
20210109,장항선,신창,519,484,1003
20210109,장항선,온양온천,2363,2407,4770
20210109,장항선,배방,552,491,1043
20210109,장항선,아산,1469,1473,2942
20210109,장항선,쌍용,971,836,1807
20210109,장항선,봉명,509,515,1024
20210110,장항선,신창,459,488,947
20210110,장항선,온양온천,1867,1958,3825
20210110,장항선,배방,381,471,852
20210110,장항선,아산,1500,1151,2651
20210110,장항선,쌍용,687,695,1382
20210110,장항선,봉명,367,343,710
20210116,장항선,봉명,582,552,1134
20210116,장항선,쌍용,1038,908,1946
20210116,장항선,아산,1696,1667,3363
20210116,장항선,배방,628,596,1224
20210116,장항선,온양온천,2605,2578,5183
20210116,장항선,신창,664,539,1203
20210117,장항선,신창,535,621,1156
20210117,장항선,온양온천,2299,2247,4546
20210117,장항선,배방,502,544,1046
20210117,장항선,아산,1893,1391,3284
20210117,장항선,쌍용,737,761,1498
20210117,장항선,봉명,377,368,745
20210123,장항선,봉명,557,550,1107
20210123,장항선,쌍용,1099,1034,2133
20210123,장항선,아산,1928,1981,3909
20210123,장항선,배방,658,652,1310
20210123,장항선,온양온천,2840,2784,5624
20210123,장항선,신창,700,647,1347
20210124,장항선,봉명,469,454,923
20210124,장항선,쌍용,967,948,1915
20210124,장항선,아산,2061,1511,3572
20210124,장항선,배방,603,689,1292
20210124,장항선,온양온천,3241,3300,6541
20210124,장항선,신창,718,723,1441
20210130,장항선,봉명,566,561,1127
20210130,장항선,쌍용,1125,1030,2155
20210130,장항선,아산,1797,1788,3585
20210130,장항선,배방,687,666,1353
20210130,장항선,온양온천,2692,2719,5411
20210130,장항선,신창,727,683,1410
20210131,장항선,봉명,392,411,803
20210131,장항선,쌍용,853,890,1743
20210131,장항선,아산,1966,1523,3489
20210131,장항선,배방,529,567,1096
20210131,장항선,온양온천,2485,2429,4914
20210131,장항선,신창,635,695,1330
20210206,장항선,신창,676,656,1332
20210206,장항선,온양온천,2836,2851,5687
20210206,장항선,배방,726,666,1392
20210206,장항선,아산,1934,1893,3827
20210206,장항선,쌍용,1196,1061,2257
20210206,장항선,봉명,639,610,1249
20210207,장항선,쌍용,901,886,1787
20210207,장항선,봉명,426,443,869
20210207,장항선,아산,1811,1504,3315
20210207,장항선,배방,574,609,1183
20210207,장항선,온양온천,2349,2481,4830
20210207,장항선,신창,625,640,1265
20210213,장항선,신창,798,615,1413
20210213,장항선,온양온천,2810,2513,5323
20210213,장항선,배방,574,533,1107
20210213,장항선,아산,1907,1430,3337
20210213,장항선,쌍용,934,796,1730
20210213,장항선,봉명,379,383,762
20210214,장항선,봉명,390,418,808
20210214,장항선,쌍용,909,870,1779
20210214,장항선,아산,2271,1616,3887
20210214,장항선,배방,624,670,1294
20210214,장항선,온양온천,3131,2993,6124
20210214,장항선,신창,860,791,1651
20210220,장항선,신창,806,664,1470
20210220,장항선,온양온천,2830,2952,5782
20210220,장항선,배방,749,718,1467
20210220,장항선,아산,2058,1984,4042
20210220,장항선,쌍용,1241,1146,2387
20210220,장항선,봉명,616,605,1221
20210221,장항선,신창,681,763,1444
20210221,장항선,온양온천,2496,2527,5023
20210221,장항선,배방,635,690,1325
20210221,장항선,아산,1949,1538,3487
20210221,장항선,쌍용,902,932,1834
20210221,장항선,봉명,471,438,909
20210227,장항선,봉명,626,610,1236
20210227,장항선,쌍용,1301,1143,2444
20210227,장항선,아산,2272,2364,4636
20210227,장항선,배방,866,784,1650
20210227,장항선,온양온천,3262,3274,6536
20210227,장항선,신창,835,874,1709
20210228,장항선,봉명,460,472,932
20210228,장항선,쌍용,973,931,1904
20210228,장항선,아산,1961,1580,3541
20210228,장항선,배방,605,636,1241
20210228,장항선,온양온천,2773,2768,5541
20210228,장항선,신창,821,898,1719
20210306,장항선,봉명,670,639,1309
20210306,장항선,쌍용,1329,1241,2570
20210306,장항선,아산,2249,2184,4433
20210306,장항선,배방,858,804,1662
20210306,장항선,온양온천,3163,3209,6372
20210306,장항선,신창,1026,881,1907
20210307,장항선,신창,842,1214,2056
20210307,장항선,온양온천,2851,2812,5663
20210307,장항선,배방,684,804,1488
20210307,장항선,아산,2307,1760,4067
20210307,장항선,쌍용,1010,1076,2086
20210307,장항선,봉명,469,473,942
20210313,장항선,봉명,684,610,1294
20210313,장항선,쌍용,1411,1313,2724
20210313,장항선,아산,2389,2274,4663
20210313,장항선,배방,928,842,1770
20210313,장항선,온양온천,3372,3357,6729
20210313,장항선,신창,1056,972,2028
20210314,장항선,신창,893,1278,2171
20210314,장항선,온양온천,4007,3935,7942
20210314,장항선,배방,693,870,1563
20210314,장항선,아산,2813,1993,4806
20210314,장항선,쌍용,1208,1295,2503
20210314,장항선,봉명,567,628,1195
20210320,장항선,신창,991,895,1886
20210320,장항선,온양온천,3094,3104,6198
20210320,장항선,배방,888,771,1659
20210320,장항선,아산,2356,2247,4603
20210320,장항선,쌍용,1356,1199,2555
20210320,장항선,봉명,649,617,1266
20210321,장항선,신창,898,1236,2134
