사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,경강선,판교,738,645,1383
202101,경강선,이매,268,182,450
202101,경강선,삼동,383,423,806
202101,경강선,경기광주,1614,1685,3299
202101,경강선,초월,766,713,1479
202101,경강선,곤지암,666,656,1322
202101,경강선,신둔도예촌,302,323,625
202101,경강선,이천,926,988,1914
202101,경강선,부발,664,559,1223
202101,경강선,세종대왕릉,121,111,232
202101,경강선,여주,750,770,1520
202101,경강선,여주,1236,1207,2443
202101,경강선,세종대왕릉,207,186,393
202101,경강선,부발,1178,1259,2437
202101,경강선,이천,1717,1838,3555
202101,경강선,신둔도예촌,899,868,1767
202101,경강선,곤지암,1529,1478,3007
202101,경강선,초월,2325,2290,4615
202101,경강선,경기광주,5277,5193,10470
202101,경강선,삼동,1907,1765,3672
202101,경강선,이매,809,699,1508
202101,경강선,판교,3484,3306,6790
202101,경강선,여주,1136,1189,2325
202101,경강선,세종대왕릉,184,198,382
202101,경강선,부발,1220,1161,2381
202101,경강선,이천,1644,1741,3385
202101,경강선,신둔도예촌,875,806,1681
202101,경강선,곤지암,1490,1439,2929
202101,경강선,초월,2308,2299,4607
202101,경강선,경기광주,5377,5181,10558
202101,경강선,삼동,1764,1704,3468
202101,경강선,이매,818,685,1503
202101,경강선,판교,3472,3278,6750
202101,경강선,여주,1115,1109,2224
202101,경강선,세종대왕릉,186,164,350
202101,경강선,부발,1251,1254,2505
202101,경강선,이천,1639,1736,3375
202101,경강선,신둔도예촌,827,790,1617
202101,경강선,곤지암,1479,1457,2936
202101,경강선,초월,2383,2626,5009
202101,경강선,경기광주,5341,6223,11564
202101,경강선,삼동,2094,2376,4470
202101,경강선,이매,838,738,1576
202101,경강선,판교,3787,3342,7129
202101,경강선,여주,1228,1277,2505
202101,경강선,세종대왕릉,193,180,373
202101,경강선,부발,1627,1637,3264
202101,경강선,이천,2148,2272,4420
202101,경강선,신둔도예촌,1025,953,1978
202101,경강선,곤지암,1879,2025,3904
202101,경강선,초월,3534,3736,7270
202101,경강선,경기광주,8619,8856,17475
202101,경강선,삼동,3946,3963,7909
202101,경강선,이매,1219,991,2210
202101,경강선,판교,4759,5316,10075
202101,경강선,판교,3989,4061,8050
202101,경강선,이매,957,815,1772
202101,경강선,삼동,2425,2207,4632
202101,경강선,경기광주,6686,6365,13051
202101,경강선,초월,2865,2649,5514
202101,경강선,곤지암,1736,1666,3402
202101,경강선,신둔도예촌,986,938,1924
202101,경강선,이천,2032,2131,4163
202101,경강선,부발,1955,1368,3323
202101,경강선,세종대왕릉,214,179,393
202101,경강선,여주,1303,1350,2653
202101,경강선,판교,3743,3564,7307
202101,경강선,이매,842,732,1574
202101,경강선,삼동,2161,1872,4033
202101,경강선,경기광주,5692,5599,11291
202101,경강선,초월,2436,2397,4833
202101,경강선,곤지암,1522,1545,3067
202101,경강선,신둔도예촌,900,847,1747
202101,경강선,이천,1785,1898,3683
202101,경강선,부발,1242,1304,2546
202101,경강선,세종대왕릉,190,182,372
202101,경강선,여주,1188,1135,2323
202101,경강선,여주,1287,1216,2503
202101,경강선,세종대왕릉,218,204,422
202101,경강선,부발,1904,1285,3189
202101,경강선,이천,1949,1954,3903
202101,경강선,신둔도예촌,1002,892,1894
202101,경강선,곤지암,1865,1638,3503
202101,경강선,초월,2837,3017,5854
202101,경강선,경기광주,6379,7632,14011
202101,경강선,삼동,2214,2927,5141
202101,경강선,이매,905,880,1785
202101,경강선,판교,4839,3649,8488
202101,경강선,여주,1284,1277,2561
202101,경강선,세종대왕릉,187,199,386
202101,경강선,부발,1341,1392,2733
202101,경강선,이천,1871,2058,3929
202101,경강선,신둔도예촌,962,919,1881
202101,경강선,곤지암,1717,1794,3511
202101,경강선,초월,2725,2586,5311
202101,경강선,경기광주,6406,5768,12174
202101,경강선,삼동,2229,2022,4251
202101,경강선,이매,940,778,1718
202101,경강선,판교,3711,3879,7590
202101,경강선,판교,3720,3553,7273
202101,경강선,이매,840,748,1588
202101,경강선,삼동,1993,1872,3865
202101,경강선,경기광주,5938,5691,11629
202101,경강선,초월,2515,2434,4949
202101,경강선,곤지암,1603,1562,3165
202101,경강선,신둔도예촌,971,921,1892
202101,경강선,이천,1824,1892,3716
202101,경강선,부발,1439,1266,2705
202101,경강선,세종대왕릉,211,205,416
202101,경강선,여주,1302,1274,2576
202101,경강선,판교,3764,3623,7387
202101,경강선,이매,870,769,1639
202101,경강선,삼동,2039,1888,3927
202101,경강선,경기광주,5935,5712,11647
202101,경강선,초월,2562,2413,4975
202101,경강선,곤지암,1774,1612,3386
202101,경강선,신둔도예촌,1073,954,2027
202101,경강선,이천,2057,2164,4221
202101,경강선,부발,1950,1445,3395
202101,경강선,세종대왕릉,228,213,441
202101,경강선,여주,1360,1508,2868
202101,경강선,여주,1420,1393,2813
202101,경강선,세종대왕릉,203,186,389
202101,경강선,부발,1442,1542,2984
202101,경강선,이천,2110,2196,4306
202101,경강선,신둔도예촌,996,985,1981
202101,경강선,곤지암,1692,1716,3408
202101,경강선,초월,2813,2750,5563
202101,경강선,경기광주,6437,6193,12630
202101,경강선,삼동,2235,2086,4321
202101,경강선,이매,972,821,1793
202101,경강선,판교,4025,3930,7955
202101,경강선,판교,3807,3650,7457
202101,경강선,이매,857,728,1585
202101,경강선,삼동,1976,1921,3897
202101,경강선,경기광주,5853,5657,11510
202101,경강선,초월,2541,2432,4973
202101,경강선,곤지암,1630,1554,3184
202101,경강선,신둔도예촌,915,858,1773
202101,경강선,이천,1842,1973,3815
202101,경강선,부발,1263,1293,2556
202101,경강선,세종대왕릉,192,189,381
202101,경강선,여주,1244,1242,2486
202101,경강선,여주,1355,1395,2750
202101,경강선,세종대왕릉,223,214,437
202101,경강선,부발,1396,1361,2757
202101,경강선,이천,1914,2052,3966
202101,경강선,신둔도예촌,996,938,1934
202101,경강선,곤지암,1711,1668,3379
202101,경강선,초월,2602,2472,5074
202101,경강선,경기광주,5951,5884,11835
202101,경강선,삼동,2102,1927,4029
202101,경강선,이매,845,778,1623
202101,경강선,판교,3860,3659,7519
202101,경강선,여주,1346,1337,2683
202101,경강선,세종대왕릉,203,181,384
202101,경강선,부발,1382,1312,2694
202101,경강선,이천,1925,1993,3918
202101,경강선,신둔도예촌,963,884,1847
202101,경강선,곤지암,1614,1581,3195
202101,경강선,초월,2564,2460,5024
202101,경강선,경기광주,5873,5794,11667
202101,경강선,삼동,2044,1992,4036
202101,경강선,이매,867,786,1653
202101,경강선,판교,3886,3769,7655
202101,경강선,여주,1504,1609,3113
202101,경강선,세종대왕릉,247,224,471
202101,경강선,부발,1925,1449,3374
202101,경강선,이천,2194,2338,4532
202101,경강선,신둔도예촌,1068,1000,2068
202101,경강선,곤지암,1876,1761,3637
202101,경강선,초월,2670,2533,5203
202101,경강선,경기광주,6255,5916,12171
202101,경강선,삼동,2088,1925,4013
202101,경강선,이매,912,755,1667
202101,경강선,판교,4003,3819,7822
202101,경강선,판교,4002,3802,7804
202101,경강선,이매,925,782,1707
202101,경강선,삼동,2127,2035,4162
202101,경강선,경기광주,6149,5962,12111
202101,경강선,초월,2675,2614,5289
202101,경강선,곤지암,1698,1626,3324
202101,경강선,신둔도예촌,950,932,1882
202101,경강선,이천,2126,2192,4318
202101,경강선,부발,1293,1433,2726
202101,경강선,세종대왕릉,221,217,438
202101,경강선,여주,1633,1584,3217
202101,경강선,판교,3966,3768,7734
202101,경강선,이매,909,779,1688
202101,경강선,삼동,2061,1990,4051
202101,경강선,경기광주,6009,5840,11849
202101,경강선,초월,2537,2509,5046
202101,경강선,곤지암,1670,1635,3305
202101,경강선,신둔도예촌,985,960,1945
202101,경강선,이천,2006,2087,4093
202101,경강선,부발,1353,1381,2734
202101,경강선,세종대왕릉,229,211,440
202101,경강선,여주,1353,1317,2670
202101,경강선,판교,3995,3882,7877
202101,경강선,이매,902,765,1667
202101,경강선,삼동,2096,1970,4066
202101,경강선,경기광주,6252,6055,12307
202101,경강선,초월,2709,2625,5334
202101,경강선,곤지암,1770,1694,3464
202101,경강선,신둔도예촌,988,913,1901
202101,경강선,이천,2035,2180,4215
202101,경강선,부발,1428,1383,2811
202101,경강선,세종대왕릉,231,229,460
202101,경강선,여주,1467,1482,2949
202101,경강선,판교,4083,3809,7892
202101,경강선,이매,924,798,1722
202101,경강선,삼동,2143,2036,4179
202101,경강선,경기광주,6071,5868,11939
202101,경강선,초월,2567,2563,5130
202101,경강선,곤지암,1691,1613,3304
202101,경강선,신둔도예촌,982,933,1915
202101,경강선,이천,2020,2105,4125
202101,경강선,부발,1464,1395,2859
202101,경강선,세종대왕릉,227,218,445
202101,경강선,여주,1319,1373,2692
202101,경강선,판교,3963,3773,7736
202101,경강선,이매,859,722,1581
202101,경강선,삼동,2007,1853,3860
202101,경강선,경기광주,5995,5724,11719
