사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,경부선,서울,1363,520,1883
202101,경부선,남영,2043,1986,4029
202101,경부선,용산,10812,12323,23135
202101,경부선,노량진,3362,3143,6505
202101,경부선,대방,2717,2671,5388
202101,경부선,영등포,13323,13885,27208
202101,경부선,신도림,944,885,1829
202101,경부선,신길,2502,2072,4574
202101,경부선,구로,4952,5190,10142
202101,경부선,가산디지털단지,2239,3083,5322
202101,경부선,금천구청,3031,3037,6068
202101,경부선,석수,2443,2382,4825
202101,경부선,관악,2112,2046,4158
202101,경부선,안양,6256,6440,12696
202101,경부선,명학,1756,1683,3439
202101,경부선,금정,6731,6792,13523
202101,경부선,군포,1786,1591,3377
202101,경부선,의왕,2167,2123,4290
202101,경부선,성균관대,3578,3646,7224
202101,경부선,화서,1715,1771,3486
202101,경부선,수원,13351,14446,27797
202101,경부선,독산,3029,3017,6046
202101,경부선,세류,1018,990,2008
202101,경부선,병점,4195,4293,8488
202101,경부선,세마,748,700,1448
202101,경부선,오산대,979,871,1850
202101,경부선,오산,3992,3831,7823
202101,경부선,진위,444,391,835
202101,경부선,송탄,1869,1683,3552
202101,경부선,서정리,2276,1967,4243
202101,경부선,지제,862,923,1785
202101,경부선,평택,5087,5111,10198
202101,경부선,성환,1289,1156,2445
202101,경부선,직산,279,258,537
202101,경부선,두정,2101,2111,4212
202101,경부선,천안,2302,2505,4807
202101,경부선,당정,1389,1394,2783
202101,경부선,서동탄,313,327,640
202101,경부선,광명,686,688,1374
202101,경부선,가산디지털단지,15515,18128,33643
202101,경부선,구로,15065,15053,30118
202101,경부선,신길,7785,6565,14350
202101,경부선,신도림,3353,3341,6694
202101,경부선,영등포,28316,28598,56914
202101,경부선,대방,10516,10932,21448
202101,경부선,노량진,5832,6283,12115
202101,경부선,용산,22953,22523,45476
202101,경부선,남영,7566,8028,15594
202101,경부선,서울,3576,1108,4684
202101,경부선,금천구청,9578,9570,19148
202101,경부선,석수,8309,7392,15701
202101,경부선,관악,5898,5507,11405
202101,경부선,안양,16465,16613,33078
202101,경부선,명학,7801,7762,15563
202101,경부선,금정,21251,22229,43480
202101,경부선,군포,6535,6773,13308
202101,경부선,의왕,7220,7256,14476
202101,경부선,성균관대,10909,11026,21935
202101,경부선,화서,5959,5765,11724
202101,경부선,수원,23837,24667,48504
202101,경부선,독산,14763,15759,30522
202101,경부선,세류,2379,2208,4587
202101,경부선,병점,10067,9990,20057
202101,경부선,세마,1916,1756,3672
202101,경부선,오산대,2300,2120,4420
202101,경부선,오산,6894,7124,14018
202101,경부선,진위,1232,1107,2339
202101,경부선,송탄,3104,3005,6109
202101,경부선,서정리,4237,4415,8652
202101,경부선,지제,2109,1929,4038
202101,경부선,평택,8357,8055,16412
202101,경부선,성환,2329,2429,4758
202101,경부선,직산,527,533,1060
202101,경부선,두정,3724,3702,7426
202101,경부선,천안,3348,3439,6787
202101,경부선,당정,4908,4740,9648
