사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202101,공항철도 1호선,서울,2366,2474,4840
202101,공항철도 1호선,공덕,543,759,1302
202101,공항철도 1호선,홍대입구,2865,2534,5399
202101,공항철도 1호선,디지털미디어시티,1919,1767,3686
202101,공항철도 1호선,마곡나루,752,839,1591
202101,공항철도 1호선,김포공항,4299,2762,7061
202101,공항철도 1호선,계양,2176,2128,4304
202101,공항철도 1호선,검암,1756,1969,3725
202101,공항철도 1호선,청라국제도시,1349,1307,2656
202101,공항철도 1호선,운서,2999,2910,5909
202101,공항철도 1호선,공항화물청사,915,945,1860
202101,공항철도 1호선,인천공항1터미널,2532,2708,5240
202101,공항철도 1호선,인천공항2터미널,1405,1294,2699
202101,공항철도 1호선,영종,1226,1079,2305
202101,공항철도 1호선,서울,4854,4252,9106
202101,공항철도 1호선,공덕,1746,2158,3904
202101,공항철도 1호선,홍대입구,5280,5727,11007
202101,공항철도 1호선,디지털미디어시티,11595,10386,21981
202101,공항철도 1호선,마곡나루,6209,5865,12074
202101,공항철도 1호선,김포공항,7521,4229,11750
202101,공항철도 1호선,계양,7388,6963,14351
202101,공항철도 1호선,검암,5760,5549,11309
202101,공항철도 1호선,청라국제도시,5208,4856,10064
202101,공항철도 1호선,운서,4612,4677,9289
202101,공항철도 1호선,공항화물청사,1994,2189,4183
202101,공항철도 1호선,인천공항1터미널,2727,2853,5580
202101,공항철도 1호선,인천공항2터미널,1684,1703,3387
202101,공항철도 1호선,영종,2130,2147,4277
202101,공항철도 1호선,영종,2063,2105,4168
202101,공항철도 1호선,인천공항2터미널,1742,1710,3452
202101,공항철도 1호선,인천공항1터미널,2948,3150,6098
202101,공항철도 1호선,공항화물청사,2018,2257,4275
202101,공항철도 1호선,운서,4721,4737,9458
202101,공항철도 1호선,청라국제도시,5225,4949,10174
202101,공항철도 1호선,검암,5631,5547,11178
202101,공항철도 1호선,계양,7208,6741,13949
202101,공항철도 1호선,김포공항,6550,3941,10491
202101,공항철도 1호선,마곡나루,6070,5697,11767
202101,공항철도 1호선,디지털미디어시티,11440,10167,21607
202101,공항철도 1호선,홍대입구,5231,5462,10693
202101,공항철도 1호선,공덕,1694,2205,3899
202101,공항철도 1호선,서울,4458,3909,8367
202101,공항철도 1호선,영종,2021,2150,4171
202101,공항철도 1호선,인천공항2터미널,1805,1628,3433
202101,공항철도 1호선,인천공항1터미널,3030,3133,6163
202101,공항철도 1호선,공항화물청사,2197,2290,4487
202101,공항철도 1호선,운서,4658,4669,9327
202101,공항철도 1호선,청라국제도시,5183,4997,10180
202101,공항철도 1호선,검암,5680,5317,10997
202101,공항철도 1호선,계양,7001,6890,13891
202101,공항철도 1호선,김포공항,6745,4169,10914
202101,공항철도 1호선,마곡나루,6170,5574,11744
202101,공항철도 1호선,디지털미디어시티,12022,10160,22182
202101,공항철도 1호선,홍대입구,5501,5737,11238
202101,공항철도 1호선,공덕,1733,2298,4031
202101,공항철도 1호선,서울,4575,4120,8695
202101,공항철도 1호선,영종,2138,2139,4277
202101,공항철도 1호선,인천공항2터미널,1998,2077,4075
202101,공항철도 1호선,인천공항1터미널,3312,3706,7018
202101,공항철도 1호선,공항화물청사,2360,2770,5130
202101,공항철도 1호선,운서,4879,4819,9698
202101,공항철도 1호선,청라국제도시,5749,5418,11167
202101,공항철도 1호선,검암,5724,5749,11473
202101,공항철도 1호선,계양,7086,6822,13908
202101,공항철도 1호선,김포공항,5841,4167,10008
202101,공항철도 1호선,마곡나루,6299,6207,12506
202101,공항철도 1호선,디지털미디어시티,12346,11188,23534
202101,공항철도 1호선,홍대입구,5346,5641,10987
202101,공항철도 1호선,공덕,1783,2328,4111
202101,공항철도 1호선,서울,4989,4357,9346
202101,공항철도 1호선,영종,2002,2044,4046
202101,공항철도 1호선,인천공항2터미널,1920,1839,3759
202101,공항철도 1호선,인천공항1터미널,2996,3340,6336
202101,공항철도 1호선,공항화물청사,2112,2332,4444
202101,공항철도 1호선,운서,4608,4637,9245
